Date,Close
06/1994,10000
07/1994,10007.731429954632
08/1994,10329.908949525816
09/1994,10053.209125058476
10/1994,10398.45367191419
11/1994,9754.006211097465
12/1994,9805.003393612027
01/1995,9469.559173563232
02/1995,9547.75303585408
03/1995,10119.913830454294
04/1995,10563.368776195577
05/1995,10593.287592305556
06/1995,10875.091977660271
07/1995,11291.111045917443
08/1995,11218.639800728448
09/1995,11762.239131037273
10/1995,11902.356056331513
11/1995,12290.019347512281
12/1995,12465.867632422553
01/1996,12837.24941507926
02/1996,13017.443573201741
03/1996,13170.53044189136
04/1996,13299.40983686256
05/1996,13565.575716796824
06/1996,13856.571375236334
07/1996,13309.229748208596
08/1996,13475.09450054748
09/1996,14080.785795871614
10/1996,14199.375690528123
11/1996,15026.345361507174
12/1996,14871.053275681292
01/1997,15548.181302876861
02/1997,15599.321460284007
03/1997,15249.099055510786
04/1997,16169.138572179509
05/1997,17001.42506800488
06/1997,17945.37916342715
07/1997,19302.040216300018
08/1997,17719.511193832914
09/1997,19129.782351765236
10/1997,18143.608976219813
11/1997,18495.143105118954
12/1997,18979.80411397957
01/1998,19521.622593414282
02/1998,20800.076338194223
03/1998,22188.89793691612
04/1998,22695.46637199295
05/1998,22702.869853592776
06/1998,23555.001841037418
07/1998,24498.802561186414
08/1998,20728.020117658212
09/1998,20615.861780103336
10/1998,22126.630014618666
11/1998,23701.265726977377
12/1998,25969.543070756372
01/1999,27190.687305238513
02/1999,26171.181012269924
03/1999,26988.250224849675
04/1999,26820.226347279648
05/1999,25960.548544487658
06/1999,27873.09585660176
07/1999,27772.983994326154
08/1999,27662.251522572817
09/1999,27804.02550155954
10/1999,29667.44322215664
11/1999,31852.150418876878
12/1999,37630.187135916414
01/2000,35259.96137479651
02/2000,38169.54396724786
03/2000,39554.66214866912
04/2000,36709.01623458744
05/2000,33917.828619788714
06/2000,35810.440999606086
07/2000,34350.77924188966
08/2000,36432.980237639465
09/2000,32408.588422484772
10/2000,30529.101709726194
11/2000,29421.566537630566
12/2000,30376.076644127246
01/2001,29021.84442543851
02/2001,27612.309763884197
03/2001,26024.012122332882
04/2001,27241.467981072467
05/2001,27189.41802994495
06/2001,26734.44533575639
07/2001,26362.948025675218
08/2001,25966.174476297198
09/2001,23735.51147916426
10/2001,23128.981538126198
11/2001,23608.10407647785
12/2001,23964.35138538434
01/2002,23759.466367337027
02/2002,23690.384447981596
03/2002,24674.626452052216
04/2002,24618.125004687918
05/2002,24889.267832046447
06/2002,23915.450196116202
07/2002,22379.72427421619
08/2002,22469.819578302362
09/2002,21389.80594037943
10/2002,21262.52070513847
11/2002,21091.724916705007
12/2002,20355.339551362445
01/2003,19784.72324265467
02/2003,19685.1575393346
03/2003,19725.613030639568
04/2003,21034.869968998704
05/2003,21985.416889288834
06/2003,22181.27115097932
07/2003,22484.406395586255
08/2003,22787.43832159896
09/2003,23027.233479067345
10/2003,24350.058677286957
11/2003,24624.68208660476
12/2003,25453.21977604192
01/2004,25734.65918677383
02/2004,26234.520552655355
03/2004,27235.6968768231
04/2004,26316.807042519322
05/2004,26582.8168068708
06/2004,27409.48414258391
07/2004,26261.506538281566
08/2004,26591.6923405044
09/2004,27447.898548668632
10/2004,27938.485622687593
11/2004,29981.643548655396
12/2004,30671.14360661119
01/2005,30291.626105383755
02/2005,32711.950556703778
03/2005,31985.43058990393
04/2005,30632.959798216427
05/2005,31527.15077122737
06/2005,32866.97953912851
07/2005,34293.62536113272
08/2005,35366.1323304862
09/2005,37092.81849629239
10/2005,35557.62180312293
11/2005,36767.16481483067
12/2005,39085.460668654734
01/2006,42034.3208490775
02/2006,41032.30166866708
03/2006,42450.88603799233
04/2006,43914.75007029538
05/2006,41291.571827366395
06/2006,41035.089567706826
07/2006,40840.04098209645
08/2006,40957.51914354735
09/2006,40688.01992344788
10/2006,43163.5848879365
11/2006,44792.41747232622
12/2006,46272.05684779615
01/2007,47028.81003923953
02/2007,46905.0806241929
03/2007,48368.046731978844
04/2007,50167.81870811679
05/2007,51793.27214998218
06/2007,51452.56391055474
07/2007,51218.67214319818
08/2007,50583.177386102405
09/2007,54630.55120171613
10/2007,57102.22477819585
11/2007,54646.8664586229
12/2007,55100.997511346905
01/2008,49264.708262003944
02/2008,50167.447925199405
03/2008,49486.29812339412
04/2008,52770.36527151333
05/2008,54274.84116037296
06/2008,53330.061802060554
07/2008,48941.06633952029
08/2008,47733.052283216995
09/2008,39748.52802834709
10/2008,34315.27997289612
11/2008,31922.76109115469
12/2008,32845.27647427343
01/2009,29955.7278126654
02/2009,26842.725249757255
03/2009,28292.96465020571
04/2009,29484.262586104585
05/2009,31048.21857275281
06/2009,30738.094755409096
07/2009,33247.76921544163
08/2009,33881.62959168349
09/2009,35374.32615869338
10/2009,34917.19558996966
11/2009,36383.91059086052
12/2009,37400.409032540665
01/2010,34952.60006886015
02/2010,35907.85537863124
03/2010,38464.45669851384
04/2010,38948.607740442785
05/2010,35399.468692851064
06/2010,34034.16963547732
07/2010,36736.47433718049
08/2010,35072.61707699495
09/2010,39152.96003873657
10/2010,40902.17048796846
11/2010,41067.11819950416
12/2010,43297.037634039
01/2011,43608.78415189815
02/2011,45196.60754729965
03/2011,45743.986559269884
04/2011,48123.153894412535
05/2011,47291.69190345953
06/2011,46872.1320713125
07/2011,46221.96758481826
08/2011,43638.538130400106
09/2011,41618.25409674495
10/2011,44358.60809534395
11/2011,44328.9394774452
12/2011,44985.25337969917
01/2012,45610.068186663535
02/2012,47653.66860684068
03/2012,49165.297197463224
04/2012,49593.66897830683
05/2012,47313.19165676533
06/2012,49252.22819043453
07/2012,50174.07900884313
08/2012,50838.920692348525
09/2012,51962.92941274311
10/2012,50829.2853724352
11/2012,51401.3577231793
12/2012,51168.779057603635
01/2013,53281.77690923604
02/2013,54091.45463383166
03/2013,56303.52551398853
04/2013,58028.28460571136
05/2013,57265.602053189454
06/2013,57525.694994840895
07/2013,59417.64677876005
08/2013,57670.85879190407
09/2013,61173.908248014144
10/2013,62960.85658253712
11/2013,64334.51552214556
12/2013,66148.85867888259
01/2014,64307.84949158397
02/2014,67970.85166770923
03/2014,66026.16934093615
04/2014,65249.07212223363
05/2014,67571.67976493335
06/2014,68989.23779572669
07/2014,67578.89453063585
08/2014,69686.41563693211
09/2014,68274.80512659212
10/2014,68839.29906204174
11/2014,71002.18538028088
12/2014,70271.28139823688
01/2015,70124.64122310777
02/2015,73738.8662916681
03/2015,73071.9120088569
04/2015,73288.42031082827
05/2015,74695.71317408685
06/2015,73466.64460429568
07/2015,75772.06141335424
08/2015,70743.47241512283
09/2015,68132.57913098646
10/2015,72831.11883956444
11/2015,72914.73162781315
12/2015,72908.20891872798
01/2016,69761.75719007345
02/2016,68841.59225484612
03/2016,72611.73900699637
04/2016,72723.34553420603
05/2016,74175.9349447059
06/2016,76193.94365920809
07/2016,78280.87913943823
08/2016,76107.04997576715
09/2016,76628.7971341794
10/2016,74314.80547964388
11/2016,74628.41852605429
12/2016,75735.16953732457
01/2017,78427.66736947595
02/2017,80270.21203785618
03/2017,81954.63178824176
04/2017,83479.26986100376
05/2017,86983.71642043117
06/2017,87169.41021084598
07/2017,89844.1742813807
08/2017,91125.09853851888
09/2017,93432.03230615391
10/2017,97670.2861291255
11/2017,99466.68887518432
12/2017,99743.40243053062
01/2018,107758.95829827589
02/2018,105986.02933129808
03/2018,102500.62884231287
04/2018,103527.27777155243
05/2018,106441.58570345967
06/2018,106036.40937353182
07/2018,108367.38631935349
08/2018,113228.73892441012
09/2018,114296.42160541398
10/2018,102980.20113273796
11/2018,104425.12833091579
12/2018,96696.1619548808
01/2019,102843.28377049234
02/2019,106597.24928381303
03/2019,109320.0531572846
04/2019,112806.20844662268
05/2019,108686.77036931751
06/2019,115533.69361025664
07/2019,116667.74311061419
08/2019,116716.48108431393
09/2019,115742.25792572727
10/2019,117146.20151402534
11/2019,120166.21485636338
12/2019,123094.31691130712
01/2020,126303.05615175664
02/2020,117207.13310515333
03/2020,105201.35507401744
04/2020,115950.46595514001
05/2020,122593.50173823026
06/2020,128232.85040582079
07/2020,136759.2996313935
08/2020,147288.35119511385
09/2020,142508.218147161
10/2020,137416.26804633284
11/2020,150946.82346213944
12/2020,157416.97359008607
01/2021,158671.80019012073
02/2021,157621.03181497328
03/2021,157973.5731497044
04/2021,168670.28654907882
05/2021,166854.9364878003
06/2021,168711.48869342075
07/2021,171446.4855610483
08/2021,176855.9093653548
09/2021,170248.1662473091
10/2021,183016.03689561193
11/2021,177364.2783236271
12/2021,179930.19715266142
01/2022,165966.4612410548
02/2022,162342.5518547557
03/2022,169526.14733405475
04/2022,150256.76450718968
05/2022,149977.4708683613
06/2022,138696.44720687016
07/2022,144735.15142216778
08/2022,140996.41392341157
09/2022,130618.11500752944
10/2022,143593.48270079633
11/2022,151205.44767640208
12/2022,147468.3938666829
01/2023,149016.6257277105
02/2023,144166.58179284987
03/2023,145396.31934094697
04/2023,149546.91426342775
05/2023,142254.20850740146
06/2023,151387.4971004115
07/2023,155024.07537238338
08/2023,153001.96372670968
09/2023,146681.36795320702
10/2023,144017.47059185233
11/2023,157379.41017159438
12/2023,164310.09551620722
01/2024,173447.15553021946
02/2024,189070.41771520372
03/2024,197216.11214684192
04/2024,189138.28629428853
05/2024,199795.93693817625
06/2024,206931.05247757514
07/2024,204450.53638523963
08/2024,209355.6975094789
09/2024,212958.43227676672
10/2024,210407.51664265033
11/2024,219018.30520496744
