Date,Close
06/1994,10000
07/1994,9701.719379326521
08/1994,10027.978441187342
09/1994,9657.2647256692
10/1994,9800.378708566866
11/1994,9332.182502528718
12/1994,9575.213960437166
01/1995,9060.974478344986
02/1995,9038.03463763445
03/1995,9209.582135685287
04/1995,9431.483364171881
05/1995,9606.724602556318
06/1995,9782.380477007046
07/1995,10040.99550469657
08/1995,10281.197076907638
09/1995,10920.270267237005
10/1995,10881.140987098404
11/1995,11262.549103923571
12/1995,11607.472586217205
01/1996,12101.342205778752
02/1996,12344.76220551957
03/1996,12485.053139478627
04/1996,12717.866750098248
05/1996,13132.974788103887
06/1996,13313.916637215883
07/1996,12596.975407693906
08/1996,12641.45925165533
09/1996,13327.359570115606
10/1996,13484.754045938007
11/1996,14090.280440213612
12/1996,14256.897172276182
01/1997,15315.152865274395
02/1997,16038.971812963026
03/1997,15864.929363364334
04/1997,16917.633070914864
05/1997,17738.19831152203
06/1997,18937.896790220297
07/1997,20941.205895696472
08/1997,19778.010850080784
09/1997,20796.925468081638
10/1997,19371.88923420158
11/1997,19345.57211973168
12/1997,20393.12300481488
01/1998,21462.959899371563
02/1998,22823.518891656513
03/1998,24442.908065103336
04/1998,24837.69275503316
05/1998,24473.49070809228
06/1998,25582.645639051105
07/1998,26677.04881790596
08/1998,22485.59625494046
09/1998,21325.95895684753
10/1998,22048.35345073419
11/1998,24306.480980407257
12/1998,26468.80790575721
01/1999,28625.866048904787
02/1999,28475.193109911208
03/1999,30125.96579583776
04/1999,30355.692377191674
05/1999,29786.610293900347
06/1999,32384.92415120159
07/1999,31172.03969203974
08/1999,31410.955294141706
09/1999,31307.376492818836
10/1999,34091.080739352554
11/1999,37900.86452136613
12/1999,45012.98476929513
01/2000,43287.77320842785
02/2000,47242.14646566368
03/2000,49793.5867044045
04/2000,48604.927241426645
05/2000,43868.7233600822
06/2000,45101.01616382506
07/2000,44739.34397405828
08/2000,49258.40385686953
09/2000,44534.70311339283
10/2000,43698.075186123606
11/2000,40828.57600557705
12/2000,39349.453648666895
01/2001,37653.56507445067
02/2001,36008.58421204268
03/2001,35545.24462014486
04/2001,37032.51757141456
05/2001,38697.49489582069
06/2001,38059.62677739902
07/2001,36361.10827779619
08/2001,34246.55096163163
09/2001,31405.70310620535
10/2001,30912.32580307573
11/2001,32071.165435768016
12/2001,32877.204850389324
01/2002,33268.73115823898
02/2002,33126.62168493625
03/2002,34222.40380614274
04/2002,33075.84788670729
05/2002,32097.933408847384
06/2002,29031.562110758943
07/2002,27707.8887365787
08/2002,27684.86613454771
09/2002,26288.92649091392
10/2002,26128.46029954416
11/2002,25760.580659732077
12/2002,23539.711810971927
01/2003,22189.57835611206
02/2003,22153.095785388065
03/2003,21973.86590515818
04/2003,22940.910374523173
05/2003,22581.49112887431
06/2003,23576.02977374747
07/2003,24134.333029516794
08/2003,25341.08724814183
09/2003,24020.353761664424
10/2003,25471.816355946892
11/2003,24966.330265978286
12/2003,24512.777716994722
01/2004,25282.382695046734
02/2004,25709.195757839316
03/2004,27120.440275245975
04/2004,26819.96874759947
05/2004,26540.17475416076
06/2004,27468.983843686106
07/2004,26579.035800582624
08/2004,26759.819862627635
09/2004,26964.644664333457
10/2004,26746.364165871793
11/2004,27504.091116368807
12/2004,27469.913987765533
01/2005,28356.837548901287
02/2005,30116.73979186477
03/2005,30121.110314369045
04/2005,28870.58952268053
05/2005,31229.358063100222
06/2005,33207.977207111726
07/2005,34654.86066051507
08/2005,35439.61682328996
09/2005,37660.38866330223
10/2005,36168.18304354242
11/2005,38214.8712602558
12/2005,40537.55949946693
01/2006,42451.00490027665
02/2006,42297.85655666544
03/2006,42942.65346598172
04/2006,42899.55264257508
05/2006,39309.88674889859
06/2006,39551.95972028458
07/2006,39207.31097933885
08/2006,39072.81621340731
09/2006,39411.24224461512
10/2006,41700.39821328573
11/2006,41631.76204885103
12/2006,43115.39215397705
01/2007,44562.158743174936
02/2007,43591.234131684476
03/2007,44600.506035892344
04/2007,45295.137829066625
05/2007,47302.51955371038
06/2007,46822.19591508054
07/2007,45934.003971163234
08/2007,45382.18389369371
09/2007,47385.866124878405
10/2007,48622.58691207098
11/2007,45553.90644930742
12/2007,46068.69985361461
01/2008,40787.78987892187
02/2008,40731.851816861665
03/2008,38549.61534720881
04/2008,41837.21608343918
05/2008,43129.26055201555
06/2008,41700.89607585526
07/2008,38654.55916172066
08/2008,39951.987935924124
09/2008,34284.16713324827
10/2008,33194.36988738528
11/2008,30961.111028599775
12/2008,29139.019842885424
01/2009,28866.49482749359
02/2009,26225.872297395537
03/2009,26269.78292289485
04/2009,27450.53001119352
05/2009,27225.587912882078
06/2009,26891.783065074087
07/2009,29085.909032666892
08/2009,29369.333449027676
09/2009,29893.49750540132
10/2009,29201.572443312685
11/2009,29983.71840485276
12/2009,32149.2860858763
01/2010,31000.022114380514
02/2010,32784.5967086319
03/2010,35364.172510460536
04/2010,36259.31115273619
05/2010,35664.223103710625
06/2010,34398.24950133403
07/2010,34980.13157087035
08/2010,34321.34858197671
09/2010,35604.77610042813
10/2010,36643.228212296446
11/2010,39232.17713442961
12/2010,40245.22864149301
01/2011,39567.85935717732
02/2011,40597.40560329294
03/2011,40020.18622397294
04/2011,40261.128313215144
05/2011,40882.3754784267
06/2011,40339.20871865678
07/2011,40328.2762123352
08/2011,37583.57498786761
09/2011,38367.46987769002
10/2011,39448.48054498676
11/2011,41145.24113692657
