Data,Close
11/1998,10000
12/1998,10506.24662318815
01/1999,11106.680814229132
02/1999,11041.649551310731
03/1999,11702.309095500572
04/1999,12229.31946278728
05/1999,11837.075778381573
06/1999,12594.5716539714
07/1999,11941.834958381818
08/1999,12104.548004615737
09/1999,11767.060088770953
10/1999,12649.63404764202
11/1999,13425.395879727372
12/1999,14581.263779325996
01/2000,13771.974255921174
02/2000,13646.860842455728
03/2000,14965.627983476355
04/2000,15109.073538051609
05/2000,14620.499002229863
06/2000,14833.80158533567
07/2000,15181.63417050912
08/2000,15901.87071994109
09/2000,15661.357322260035
10/2000,16402.899966451925
11/2000,15322.888034484557
12/2000,14781.60813766706
01/2001,14720.52532662496
02/2001,13548.494927267586
03/2001,13240.095610088872
04/2001,14160.311975824334
05/2001,14592.087192264233
06/2001,14210.416827252218
07/2001,13901.71820254899
08/2001,12624.031505071747
09/2001,11826.044464807477
10/2001,12155.570626111288
11/2001,13110.104976295757
12/2001,13460.172606576592
01/2002,13555.359865592454
02/2002,13545.797170837972
03/2002,13821.767981365174
04/2002,12752.057476273341
05/2002,12105.73106178029
06/2002,10907.8937117921
07/2002,10188.648731506482
08/2002,10175.716103839773
09/2002,9088.33663650557
10/2002,9938.995826994034
11/2002,10326.925153008813
12/2002,9314.796186351838
01/2003,8688.403035778101
02/2003,8507.151786628277
03/2003,8433.336305499744
04/2003,8995.441938095168
05/2003,8882.214843422984
06/2003,9227.157192019095
07/2003,9415.93248456128
08/2003,9923.251838015043
09/2003,9259.404724956546
10/2003,9806.621331807342
11/2003,9615.798235021599
12/2003,9636.879026434332
01/2004,9906.355221713617
02/2004,10049.402280035049
03/2004,10072.104960871107
04/2004,10214.67935297206
05/2004,10081.28511877972
06/2004,10289.097571906595
07/2004,10145.301242387384
08/2004,10169.883708353598
09/2004,10136.575058948454
10/2004,9974.607662852064
11/2004,10007.221058451898
12/2004,10192.227070288296
01/2005,10430.467739064783
02/2005,10650.413234719603
03/2005,10689.783095912531
04/2005,10419.195970668674
05/2005,11189.060507455719
06/2005,11554.04896775739
07/2005,11926.053387264534
08/2005,11746.28774719856
09/2005,12077.455779066362
10/2005,11880.343151620988
11/2005,12528.719949896982
12/2005,12589.942675730865
01/2006,12667.644324354063
02/2006,12971.692761987115
03/2006,12996.664687817252
04/2006,12942.27334704264
05/2006,12198.846888625312
06/2006,12373.455812371076
07/2006,12325.458000266233
08/2006,12576.806525932954
09/2006,12911.764236678135
10/2006,13427.453731162908
11/2006,13241.914454684811
12/2006,13518.790002722671
01/2007,13863.47635173938
02/2007,13483.613709136182
03/2007,13617.136332898084
04/2007,14011.97179401614
05/2007,14578.824587653095
06/2007,14489.483170357898
07/2007,13999.671022660994
08/2007,14102.883439035257
09/2007,14498.933880474066
10/2007,14773.55075053258
11/2007,13965.862444899414
12/2007,13842.471604877743
01/2008,12585.047326863889
02/2008,12269.843697176173
03/2008,11607.202487735956
04/2008,12363.901098710365
05/2008,12613.36259143513
06/2008,11616.123608475433
07/2008,11391.222496278455
08/2008,11962.625706074752
09/2008,11035.150032923028
10/2008,10105.254389246416
11/2008,9646.674364435574
12/2008,9063.10629381916
01/2009,9057.83506581905
02/2009,8291.406239879332
03/2009,8494.052703295942
04/2009,9333.181904745592
05/2009,9575.353314813796
06/2009,9601.106220720438
07/2009,10325.808937146241
08/2009,10494.010643892678
09/2009,10606.24678423221
10/2009,10483.077701932423
11/2009,10791.571448368226
12/2009,11470.55817705087
01/2010,11341.864204097328
02/2010,11830.026145163565
03/2010,12566.505845708954
04/2010,12697.113375962883
05/2010,12421.909009876439
06/2010,12173.618453058973
07/2010,12334.004282856957
08/2010,12301.79283791576
09/2010,12521.116727579289
10/2010,12853.922999878721
11/2010,13442.765819334509
12/2010,13888.603481268769
01/2011,13769.171103381192
02/2011,14052.392416779014
03/2011,13717.123798809838
04/2011,13771.985622015942
05/2011,13993.686396407964
06/2011,13752.127059245782
07/2011,13776.75998300236
08/2011,12866.16438397939
09/2011,12591.810355087691
10/2011,13378.023744489295
11/2011,13713.950611028373
12/2011,14208.213660481151
01/2012,14603.305534005727
02/2012,15059.305333720526
03/2012,15267.94641785214
04/2012,15410.17129386316
05/2012,15014.593453279807
06/2012,15478.166413807436
07/2012,16172.613462735524
08/2012,16084.692860692801
09/2012,16051.568316828145
10/2012,15833.838345368966
11/2012,16046.983146933415
12/2012,15941.74538748609
01/2013,16284.75551724054
02/2013,16825.50024716076
03/2013,17670.43657055864
04/2013,17762.50012439757
05/2013,17877.6541972434
06/2013,17231.40372905612
07/2013,17853.68535819624
08/2013,17546.030158048252
09/2013,18034.6838284161
10/2013,18532.989869468052
11/2013,18973.84117551183
12/2013,19145.745700815387
01/2014,18589.444472008134
02/2014,19203.012985732246
03/2014,19304.550312883846
04/2014,19571.380915045567
05/2014,20205.824384296295
06/2014,20381.844219011276
07/2014,20585.34076464967
08/2014,21547.79522158114
09/2014,21951.51884992482
10/2014,22497.81342228047
11/2014,22850.849995943994
12/2014,23142.08493818358
01/2015,24665.946097511478
02/2015,26072.690422925207
03/2015,26807.653223154193
04/2015,26310.933961167193
05/2015,27032.32622422887
06/2015,25866.119746952994
07/2015,27011.547339308196
08/2015,24672.08636600873
09/2015,24175.62274058275
10/2015,26642.57051204632
11/2015,27661.447582019682
12/2015,26408.772013159985
01/2016,25015.96137254351
02/2016,25101.371371422643
03/2016,25581.358883996607
04/2016,25648.48904786014
05/2016,26401.289552974802
06/2016,26405.227321507275
07/2016,27222.26968096253
08/2016,27051.921402191183
09/2016,27038.63734338914
10/2016,26739.976608787118
11/2016,27877.596699010992
12/2016,28567.850185002295
01/2017,28408.700384680466
02/2017,29871.82787780636
03/2017,29993.900521463947
04/2017,29805.50355887193
05/2017,29804.811019157154
06/2017,29213.253165889102
07/2017,28868.172951000244
08/2017,28711.90699757273
09/2017,29380.12713363253
10/2017,30489.77464039467
11/2017,30813.627486622216
12/2017,30844.395336430778
01/2018,30909.414935784163
02/2018,30414.811704304124
03/2018,29798.31721295167
04/2018,30572.670343384245
05/2018,32077.16846297838
06/2018,31978.647484188667
07/2018,32830.85968493346
08/2018,33600.99485609146
09/2018,33958.538448082254
10/2018,32306.88264174071
11/2018,32351.924501874768
12/2018,29890.735171258093
01/2019,31983.63470057062
02/2019,33620.45355474091
03/2019,34863.3763513786
04/2019,36028.64858458654
05/2019,34130.92214313929
06/2019,35689.83286968187
07/2019,36586.64329438364
08/2019,36161.36300420341
09/2019,37302.59555803176
10/2019,37442.56521046541
11/2019,39275.554257086245
12/2019,39685.749272120054
01/2020,40152.13755475491
02/2020,37015.619126105645
03/2020,32948.75690558094
04/2020,36573.11354524315
05/2020,37388.673000824565
06/2020,37702.09361297725
07/2020,37070.046034263636
08/2020,39334.206154720465
09/2020,38885.627836759246
10/2020,37696.51593615756
11/2020,41129.50148493344
12/2020,41650.39924675085
01/2021,41219.786864827336
02/2021,42236.652327841795
03/2021,45421.40736821256
04/2021,46288.63823213361
05/2021,46672.77874457234
06/2021,48910.37710557618
07/2021,50369.99919017907
08/2021,51854.24976787433
09/2021,49767.15694935827
10/2021,53053.9078040501
11/2021,53391.72427497968
12/2021,55530.68903566117
01/2022,52511.09058067391
02/2022,50654.47183609197
03/2022,52739.329856133074
04/2022,51197.680042730135
05/2022,49880.05130060203
06/2022,47042.80144425351
07/2022,51651.93566264704
08/2022,50103.09104682695
09/2022,46692.824671545284
10/2022,49040.45277487438
11/2022,50812.99657665497
12/2022,47523.65425146675
01/2023,49622.76797552526
02/2023,49322.694613570784
03/2023,50039.35155804501
04/2023,50522.28579578898
05/2023,51527.566945963015
06/2023,53619.60136942995
07/2023,54589.27838350292
08/2023,54647.83354540484
09/2023,53377.81833849165
10/2023,52431.09190859027
11/2023,55451.5548355748
12/2023,57548.99880163571
01/2024,59627.74255696137
02/2024,62908.91752914095
03/2024,64816.25212441595
04/2024,62836.64875162032
05/2024,65405.03235789705
06/2024,67758.92494567434
07/2024,67323.7750715235
08/2024,68204.77095238863
09/2024,68036.9806759912
10/2024,68161.03751781085
11/2024,72768.9184093806
