Data,JPGL
10/2003,10000
11/2003,10192.296529210478
12/2003,10839.576558914781
01/2004,10950.333649464392
02/2004,11299.642739482451
03/2004,11385.942832495859
04/2004,11109.024801265617
05/2004,11276.113909749487
06/2004,11587.728913363488
07/2004,11408.058268989746
08/2004,11521.651405958182
09/2004,11956.569034296086
10/2004,12276.962320156914
11/2004,13010.544901705181
12/2004,13464.351586748377
01/2005,13285.78145427561
02/2005,13888.495705019002
03/2005,13736.522400777527
04/2005,13439.26278470591
05/2005,13619.179350453112
06/2005,13918.388710145271
07/2005,14451.045405616576
08/2005,14663.07203171401
09/2005,15006.04568846248
10/2005,14516.126366966402
11/2005,14948.140208106133
12/2005,15398.577788515513
01/2006,16206.019913821006
02/2006,16248.523066587051
03/2006,16666.688098584935
04/2006,17157.19935953198
05/2006,16723.791783077653
06/2006,16845.975615860123
07/2006,16982.377268901608
08/2006,17437.238248535577
09/2006,17640.399805351586
10/2006,18289.99627842955
11/2006,18863.931129673532
12/2006,19301.216478927312
01/2007,19532.670361517907
02/2007,19664.925250884287
03/2007,20149.766400353074
04/2007,20972.371336375152
05/2007,21533.116983623357
06/2007,21317.427019004925
07/2007,20828.130807406105
08/2007,20869.31883092533
09/2007,21759.373029838443
10/2007,22410.78374276287
11/2007,21534.026103259865
12/2007,21253.699149948927
01/2008,19748.776204389244
02/2008,19760.520504601966
03/2008,19475.53831605342
04/2008,20425.059158913715
05/2008,21015.72564111277
06/2008,19481.388135027413
07/2008,19153.213362284343
08/2008,18995.79276338052
09/2008,16734.656002298718
10/2008,13698.20536776096
11/2008,13061.389159181088
12/2008,13745.55300514023
01/2009,12867.840558117601
02/2009,11720.102262627495
03/2009,12438.809612482317
04/2009,13723.08310646708
05/2009,14886.97074876545
06/2009,14884.98122253974
07/2009,16036.42253687678
08/2009,16621.475093759385
09/2009,17325.172207487307
10/2009,16936.68034970626
11/2009,17702.887949337204
12/2009,18178.89833156746
01/2010,17546.71543123506
02/2010,17872.511106108803
03/2010,18871.48607612836
04/2010,18959.71806827732
05/2010,17351.87349607839
06/2010,17000.854771164537
07/2010,18188.25365049322
08/2010,17714.90969846903
09/2010,19399.496262545916
10/2010,20125.980307297035
11/2010,19719.7076200183
12/2010,20985.83505490336
01/2011,21316.83584340473
02/2011,21964.529164044994
03/2011,22188.612540161565
04/2011,23394.396340739422
05/2011,23214.66277630361
06/2011,22939.414126581072
07/2011,22465.795841599705
08/2011,21197.892090942867
09/2011,19676.232569848427
10/2011,21523.250663315768
11/2011,21131.73591545668
12/2011,21168.573753578792
01/2012,21966.319246344287
02/2012,22878.892802106413
03/2012,23223.634804227764
04/2012,23142.7638374298
05/2012,21549.54285494504
06/2012,22565.26234953352
07/2012,23023.921745687854
08/2012,23482.26632142146
09/2012,24091.07506065051
10/2012,23943.224549085917
11/2012,24236.05319908996
12/2012,24475.321580151503
01/2013,25694.902670384832
02/2013,25853.965923602922
03/2013,26640.060802658485
04/2013,27538.03829578212
05/2013,27213.502652553976
06/2013,26708.68359098944
07/2013,28046.737703287185
08/2013,27375.99619665186
