Data,Close
07/2006,10000
08/2006,10238.414499972287
09/2006,10725.629860258767
10/2006,11298.967192565897
11/2006,11801.863005058447
12/2006,12334.856710849697
01/2007,12525.596888098326
02/2007,12603.71130687232
03/2007,13108.412228168905
04/2007,13748.355266452341
05/2007,15090.605241148243
06/2007,15692.395092840483
07/2007,16712.558337326034
08/2007,15868.859769584837
09/2007,16452.245286457768
10/2007,17257.832008953497
11/2007,15372.30678211448
12/2007,15614.246442631736
01/2008,13243.784426127011
02/2008,13904.071015308147
03/2008,12486.820517435828
04/2008,13342.936365621079
05/2008,13100.484195664136
06/2008,11340.260490958008
07/2008,11205.006682866215
08/2008,11005.512680595482
09/2008,9012.202233355676
10/2008,7046.393999526646
11/2008,6649.620228796417
12/2008,6858.111290861123
01/2009,6981.108422774037
02/2009,6803.600246823496
03/2009,7376.497899734867
04/2009,9045.280511026358
05/2009,10480.652512418612
06/2009,10420.634214851456
07/2009,11725.653246549642
08/2009,11736.022689097541
09/2009,12361.37243915255
10/2009,12303.460902735316
11/2009,12686.08338262793
12/2009,14091.069990257116
01/2010,13993.103809230251
02/2010,14428.072335957755
03/2010,15802.092301176492
04/2010,16386.782207833963
05/2010,15868.17378141269
06/2010,16136.590331914183
07/2010,16284.363766816072
08/2010,16766.128778751547
09/2010,17456.0428839249
10/2010,17910.22533191094
11/2010,18666.46960441773
12/2010,19216.339753549757
01/2011,18138.831307983914
02/2011,17245.39735004596
03/2011,17556.690126581845
04/2011,17532.954005893756
05/2011,17533.204023306273
06/2011,17062.398535425036
07/2011,17615.695119314587
08/2011,15439.469827226194
09/2011,13878.827003285061
10/2011,14682.613301524501
11/2011,14046.79927864528
12/2011,14368.923698765208
01/2012,15622.68570553887
02/2012,16657.204628821633
03/2012,16213.312408112444
04/2012,16070.743596660337
05/2012,15578.521585826722
06/2012,15797.586283734183
07/2012,16153.482212582054
08/2012,16085.744050271458
09/2012,16652.84801671623
10/2012,16323.709846643907
11/2012,16611.43185085639
12/2012,17128.893062482766
01/2013,17124.55607266599
02/2013,17865.518090516176
03/2013,18365.886009276786
04/2013,18347.635901325684
05/2013,18319.645615421054
06/2013,16613.796128505644
07/2013,16453.962987510986
08/2013,15944.748588894314
09/2013,16629.64455282086
10/2013,17053.709061676665
11/2013,16784.063448284403
12/2013,16467.199572636047
01/2014,16341.257782891915
02/2014,16651.510138027472
03/2014,17030.088523757255
04/2014,17011.7477515528
05/2014,17824.301738738104
06/2014,18070.926206158794
07/2014,18569.011384957146
08/2014,19279.190880265232
09/2014,19320.43570447909
10/2014,19060.8284080177
11/2014,18821.052760265884
12/2014,18791.676207861445
01/2015,20462.934524402364
02/2015,21037.24889702661
03/2015,21937.806814359363
04/2015,22942.8886627904
05/2015,23541.219519208815
06/2015,22013.760337688454
07/2015,20704.646863320322
08/2015,18283.246679077358
09/2015,18293.775423649167
10/2015,19694.14426652012
11/2015,19972.98018694496
12/2015,19414.420850588245
01/2016,17822.56354075842
02/2016,17802.972440479196
03/2016,18719.6693020891
04/2016,18960.23311171602
05/2016,18691.481340231527
06/2016,19247.118625847215
07/2016,20042.2269524936
08/2016,20367.726995021367
09/2016,20572.51879877731
10/2016,20656.22074764547
11/2016,20258.841943167754
12/2016,20396.855537259933
01/2017,20917.145313261703
02/2017,22324.096370235882
03/2017,22699.408421671647
04/2017,22443.259707384233
05/2017,22002.400410690956
06/2017,21793.297217628413
07/2017,21955.312273118947
08/2017,22188.169406533492
09/2017,22223.087277479346
10/2017,23325.23504769152
11/2017,23302.626089286572
12/2017,23864.11398506721
01/2018,24295.720294774626
02/2018,23751.72184025278
03/2018,23235.404067679578
04/2018,23663.205679393945
05/2018,23913.192248733463
06/2018,22412.927473118358
07/2018,22525.10961666084
08/2018,22200.569177576384
09/2018,21592.299679395688
10/2018,19745.49105150623
11/2018,20740.432079130067
12/2018,20236.160853459216
01/2019,21244.326882735204
02/2019,21646.532364723033
03/2019,22193.18278481683
04/2019,22263.76975627899
05/2019,21285.553011172462
06/2019,21666.07402285839
07/2019,21771.718466322392
08/2019,20887.211822056353
09/2019,21575.26822553674
10/2019,21857.643866191745
11/2019,22059.24882032164
12/2019,22872.39932597451
01/2020,22309.870077561107
02/2020,20868.148955221317
03/2020,16071.440248058265
04/2020,18438.32104312721
05/2020,18425.128123080114
06/2020,19965.59059919072
07/2020,20603.853800397323
08/2020,21274.26625244522
09/2020,21329.94869521635
10/2020,21220.977896568493
11/2020,23631.759865934797
12/2020,24841.225573181175
01/2021,25126.44855230363
02/2021,26644.96181113366
03/2021,27954.06933423507
04/2021,28752.890298658902
05/2021,29177.69334549606
06/2021,30642.45495339626
07/2021,30207.729488409277
08/2021,30691.14503671812
09/2021,30729.07610975897
10/2021,30595.170292699742
11/2021,30419.961144028766
12/2021,31788.849582424373
01/2022,30831.033170031027
02/2022,29931.97074056915
03/2022,30984.422287587975
04/2022,30982.49384291389
05/2022,29968.737537054003
06/2022,27640.25408946005
07/2022,28917.325028616095
08/2022,30207.089513522144
09/2022,27866.988078773113
10/2022,27367.73251639688
11/2022,28596.018251359004
12/2022,27518.979259995376
01/2023,28687.98395896561
