Data,Close
07/2009,10000
08/2009,10012.035571009976
09/2009,10052.914441587636
10/2009,10058.981192542738
11/2009,10076.118961149028
12/2009,10059.490053219128
01/2010,10054.752276535404
02/2010,10132.914944748194
03/2010,10165.153737450672
04/2010,10105.182720465498
05/2010,10166.392719600493
06/2010,10131.73098705614
07/2010,10164.52718422097
08/2010,10197.185184689502
09/2010,10161.245826460303
10/2010,10156.501220911541
11/2010,10098.375225206777
12/2010,10131.42814050956
01/2011,10118.74659276586
02/2011,10128.436241947456
03/2011,10109.199219128499
04/2011,10107.60769495949
05/2011,10149.096634636571
06/2011,10155.957864729997
07/2011,10138.037384449313
08/2011,10284.446812831271
09/2011,10294.56498870595
10/2011,10245.965185685298
11/2011,10161.667826485458
12/2011,10370.435236107593
01/2012,10473.74600559946
02/2012,10554.17751799219
03/2012,10545.654389864034
04/2012,10537.65708308069
05/2012,10480.295109330798
06/2012,10537.183130766169
07/2012,10559.757576403712
08/2012,10656.806498478882
09/2012,10694.673007299367
10/2012,10722.860655092318
11/2012,10762.933728372473
12/2012,10778.073141768748
01/2013,10779.930870195387
02/2013,10795.456393836728
03/2013,10810.258632159766
04/2013,10880.959092207806
05/2013,10865.347196664488
06/2013,10825.618707550713
07/2013,10863.219814852131
08/2013,10864.214558228708
09/2013,10892.642035817553
10/2013,10940.607389228999
11/2013,10966.15397444049
12/2013,10953.994994605446
01/2014,11001.86893459753
02/2014,11013.22749349121
03/2014,11029.80638402212
04/2014,11035.543718057703
05/2014,11055.052817655884
06/2014,11082.780618784573
07/2014,11095.16520751609
08/2014,11112.244780954807
09/2014,11121.555693063401
10/2014,11094.14016256452
11/2014,11115.002577666904
12/2014,11124.58695669922
01/2015,11145.440110784288
02/2015,11174.92482428562
03/2015,11186.049228550379
04/2015,11187.385093278152
05/2015,11184.61978054162
06/2015,11144.247978941548
07/2015,11197.205410441127
08/2015,11183.107935315214
09/2015,11192.156783433462
10/2015,11213.567353189492
11/2015,11226.453249295888
12/2015,11219.568086351766
01/2016,11229.096223125405
02/2016,11229.121448922411
03/2016,11228.333654809969
04/2016,11233.812377008897
05/2016,11239.67036979934
06/2016,11246.853268394858
07/2016,11244.013153312377
08/2016,11247.075027194016
09/2016,11248.422804319895
10/2016,11226.024007769365
11/2016,11205.178487456362
12/2016,11259.681007739115
01/2017,11234.320691957333
02/2017,11234.958221335175
03/2017,11236.85078157075
04/2017,11246.07727408599
05/2017,11261.449765301597
06/2017,11259.389322590716
07/2017,11272.081668135366
08/2017,11274.309670364537
09/2017,11275.795661630753
10/2017,11286.833746854147
11/2017,11297.596503829847
12/2017,11270.047819035348
01/2018,11271.93187602153
02/2018,11272.51096965947
03/2018,11304.166951329378
04/2018,11291.265151160136
05/2018,11182.651715483938
06/2018,11224.849447937078
07/2018,11212.974353293288
08/2018,11166.058361653651
09/2018,11179.547502665508
10/2018,11188.219585035198
11/2018,11214.04733501813
12/2018,11242.480099246584
01/2019,11248.649434658482
02/2019,11236.135652755012
03/2019,11256.65302106504
04/2019,11254.380003009608
05/2019,11253.137566112402
06/2019,11282.219135035824
07/2019,11297.039914545438
08/2019,11321.661068561416
09/2019,11306.299196976948
10/2019,11284.36001346778
11/2019,11266.606572196915
12/2019,11264.768936527802
01/2020,11270.595839981526
02/2020,11261.485800364297
03/2020,11213.030617580114
04/2020,11201.304329876073
05/2020,11209.009670073256
06/2020,11230.151790505568
07/2020,11237.990030324274
08/2020,11231.002900043008
09/2020,11243.304109252656
10/2020,11260.501919564771
11/2020,11259.46011586107
12/2020,11254.427563503645
01/2021,11236.882981787381
02/2021,11217.098727686349
03/2021,11227.475417094214
04/2021,11213.431284337063
05/2021,11210.177211804727
06/2021,11209.059454741122
07/2021,11220.94939292932
08/2021,11212.55563678435
09/2021,11200.54276205654
10/2021,11162.048665312177
11/2021,11195.816244843043
12/2021,11163.142393931474
01/2022,11149.240086438696
02/2022,11128.588050832279
03/2022,11064.87318841073
04/2022,10995.033136694496
05/2022,10962.089507905634
06/2022,10932.135498152837
07/2022,10983.576788150463
08/2022,10849.452504635625
09/2022,10739.583345245965
10/2022,10745.13178428471
11/2022,10761.522745031143
12/2022,10689.922401590471
01/2023,10727.483448834071
