Data,Close
07/2009,10000
08/2009,10102.82995006268
09/2009,10212.682196087815
10/2009,10109.113192167315
11/2009,10244.496753102518
12/2009,9991.726455128683
01/2010,10134.363537583822
02/2010,10301.720655914378
03/2010,10379.080888240305
04/2010,10400.943987903733
05/2010,10619.921073454756
06/2010,10542.060582162201
07/2010,10678.156916310816
08/2010,11741.247185512331
09/2010,11324.990166708807
10/2010,11154.928453146964
11/2010,10592.85856213048
12/2010,10306.108762956297
01/2011,10174.332639127135
02/2011,10128.236478159528
03/2011,9930.897016239485
04/2011,10106.145477934833
05/2011,10296.820709031754
06/2011,10027.765600406314
07/2011,10298.901115364948
08/2011,10630.116620239805
09/2011,11108.599684362558
10/2011,10624.354228641336
11/2011,10349.859117221635
12/2011,11201.851367582965
01/2012,11200.308614254578
02/2012,11587.551435467045
03/2012,11554.693184519205
04/2012,11525.615557321944
05/2012,12557.697949163934
06/2012,11623.408030988185
07/2012,12241.508502344645
08/2012,12271.585127175316
09/2012,12316.313592996414
10/2012,12410.379488388318
11/2012,12668.363981029503
12/2012,12996.400972693255
01/2013,12725.780587972678
02/2013,12676.157570532001
03/2013,12855.728657615035
04/2013,13564.53720990063
05/2013,12990.466371496288
06/2013,12641.263831914897
07/2013,12727.645099184472
08/2013,12449.96895115521
09/2013,12595.323146172628
10/2013,12852.808872179994
11/2013,12850.059523749534
12/2013,12712.790303299806
01/2014,13373.191476989805
02/2014,13519.902649691738
03/2014,13778.011027894234
04/2014,14130.532355645133
05/2014,14422.968203780616
06/2014,14696.262308157495
07/2014,15094.152714173159
08/2014,16028.101993605042
09/2014,15795.687590645246
10/2014,16010.195931501865
11/2014,16702.030462701892
12/2014,17379.1073955778
01/2015,19101.23286885559
02/2015,19344.74011646184
03/2015,20579.74193327496
04/2015,19418.88233796913
05/2015,18374.07507707611
06/2015,16640.589896976253
07/2015,17813.089390697325
08/2015,17108.493901107933
09/2015,17756.39048523114
10/2015,18203.21699448867
11/2015,18060.549614035877
12/2015,17496.239429636473
01/2016,18698.677598494465
02/2016,19447.954436186876
03/2016,19718.741489253993
04/2016,18821.848942619086
05/2016,19464.45384431811
06/2016,21490.182799176244
07/2016,22033.813098089166
08/2016,21555.11723383222
09/2016,21607.53794612756
10/2016,20100.509690054176
11/2016,19135.886327381762
12/2016,19333.687534543602
01/2017,18020.024457564276
02/2017,18647.012258991897
03/2017,18365.900753015077
04/2017,18495.858972679733
05/2017,18631.728747628204
06/2017,18421.089709786815
07/2017,18454.646978829755
08/2017,18913.349859962887
09/2017,18556.652639277723
10/2017,19000.854188072193
11/2017,19378.127458079936
12/2017,18912.741925560294
01/2018,19082.294386281646
02/2018,19200.501867946263
03/2018,20040.937500225962
04/2018,19775.84872647729
05/2018,19541.83588132069
06/2018,19734.76633765779
07/2018,19590.022181197568
08/2018,19465.636802549216
09/2018,19343.54011125457
10/2018,19297.10057427611
11/2018,19400.778473783634
12/2018,19741.410417890784
01/2019,20323.42208523666
02/2019,20038.26717805157
03/2019,21093.317239106327
04/2019,20999.882647188297
05/2019,21831.817053867242
06/2019,23413.432642252075
07/2019,24430.907905876677
08/2019,26535.492644637416
09/2019,26222.181635105462
10/2019,25356.102227255007
11/2019,24836.220215479003
12/2019,23957.57723200963
01/2020,25897.530330971163
02/2020,26605.704950107105
03/2020,24671.156496219563
04/2020,25463.771036506278
05/2020,25322.07560105939
06/2020,25882.461359365952
07/2020,26744.43284413053
08/2020,26001.50344527403
09/2020,27259.440418523824
10/2020,28006.127616754075
11/2020,28072.95725003242
12/2020,28143.14519856627
01/2021,27509.624055048804
02/2021,25953.3134184471
03/2021,25578.9139844777
04/2021,24686.181505076223
05/2021,24238.947986162708
06/2021,24963.89041855455
07/2021,26409.79297676598
08/2021,25959.696863800487
09/2021,25045.555769557945
10/2021,25432.35722925207
11/2021,26325.799393741032
12/2021,24964.819573637535
01/2022,24386.00682821847
02/2022,23063.809488393745
03/2022,22066.501518806715
04/2022,19674.852407151804
05/2022,18312.235346172
06/2022,17217.13928496936
07/2022,19389.086610923787
08/2022,17023.70046189741
09/2022,15487.632842664843
10/2022,15442.501158014553
11/2022,17040.85618930266
12/2022,14613.051285717187
01/2023,15598.736965375507
