Data,Close
07/2006,10000
08/2006,10310.690768400858
09/2006,10678.554703541335
10/2006,11289.877478596125
11/2006,11593.392822360258
12/2006,12195.90349877611
01/2007,12619.946842368725
02/2007,12519.286656468752
03/2007,13111.68787257766
04/2007,13530.499102964071
05/2007,13863.002378295412
06/2007,13584.831235587795
07/2007,13285.179367458479
08/2007,12703.331166998196
09/2007,12335.350709390841
10/2007,12790.823175590202
11/2007,11480.24673924723
12/2007,11147.787705670491
01/2008,9861.447128894795
02/2008,10036.214938432458
03/2008,9695.351655871638
04/2008,10013.333696178313
05/2008,10061.901835930446
06/2008,8805.945402857498
07/2008,8436.073983311424
08/2008,8783.915530853224
09/2008,7235.604176958527
10/2008,5747.722473596489
11/2008,5296.333075127472
12/2008,5167.7067210933965
01/2009,5317.43962119043
02/2009,4959.327799824967
03/2009,5202.599133462569
04/2009,6996.272381686752
05/2009,7519.036271621266
06/2009,7397.603665931247
07/2009,8202.74188304986
08/2009,9282.709022235242
09/2009,9813.59668202135
10/2009,9146.318341896971
11/2009,8977.164057228227
12/2009,9377.694064684689
01/2010,9582.947348887825
02/2010,9356.955199720414
03/2010,10324.358845517814
04/2010,10654.45522541037
05/2010,9685.607698461863
06/2010,9491.062941997281
07/2010,10036.034254303551
08/2010,9762.124818861768
09/2010,10271.387363453006
10/2010,10669.954106377294
11/2010,10458.764948178396
12/2010,11507.821504914626
01/2011,11534.543685146004
02/2011,11690.317779143337
03/2011,11399.028296281831
04/2011,11668.888790637317
05/2011,11569.36188560999
06/2011,11058.757129530677
07/2011,10642.277427611727
08/2011,9296.190143331993
09/2011,8564.694072719876
10/2011,9039.470443200567
11/2011,8695.98521678996
12/2011,8628.091923689522
01/2012,9709.21857387937
02/2012,10236.317147126392
03/2012,10051.058037139901
04/2012,9845.055923251393
05/2012,8844.731105149973
06/2012,9354.412018323143
07/2012,9441.190257215121
08/2012,9766.885878679743
09/2012,10267.423141821828
10/2012,10493.309872465768
11/2012,10490.001452510693
12/2012,11082.28878241838
01/2013,11646.685991779597
02/2013,11897.181760251033
03/2013,12076.830262562446
04/2013,12454.99076543971
05/2013,12923.010466642683
06/2013,12201.602572696986
07/2013,13295.872996303216
08/2013,13492.569160645911
09/2013,14457.944633287974
10/2013,15113.598847498366
11/2013,15448.623770601707
12/2013,15695.919423533149
01/2014,15891.584274482637
02/2014,17087.778349527816
03/2014,17092.837220080648
04/2014,16977.51744814016
05/2014,17321.267566459483
06/2014,17080.212492632563
07/2014,16532.164980862544
08/2014,16683.448042443917
09/2014,16395.41306847977
10/2014,15750.491115556308
11/2014,15995.55992047766
12/2014,16163.21097410539
01/2015,17129.303643939347
02/2015,18815.36728519274
03/2015,19122.277399562907
04/2015,19364.75635658332
05/2015,19899.02685378855
06/2015,19163.972743236038
07/2015,19811.645065961937
08/2015,18553.40050961292
09/2015,17723.36949394277
10/2015,18958.20247184197
11/2015,19462.84850669328
12/2015,18761.76589886608
01/2016,17030.98464857571
02/2016,17122.35135641402
03/2016,17864.58275329741
04/2016,18444.20670811719
05/2016,18695.368427365695
06/2016,16823.392608810256
07/2016,17828.80280574521
08/2016,17988.157968970034
09/2016,18217.729339215184
10/2016,18055.86046149894
11/2016,18268.32354427259
12/2016,19485.544484486454
01/2017,19730.070539553068
02/2017,20075.82157812727
03/2017,20608.499004427184
04/2017,21304.329435724652
05/2017,21455.717056120513
06/2017,20664.788732707377
07/2017,21075.40866384711
08/2017,20873.31460924081
09/2017,21831.21323894508
10/2017,22011.977626610747
11/2017,21701.041849120997
12/2017,22168.64671528649
01/2018,22437.11014074598
02/2018,21630.530537419003
03/2018,21089.968724968563
04/2018,22208.101131580173
05/2018,22101.641574926718
06/2018,21849.892694920673
07/2018,22083.320731846863
08/2018,21718.400871614664
09/2018,21656.908321734834
10/2018,19996.30109051186
11/2018,19315.25814392837
12/2018,18015.744806701536
01/2019,19533.21552723516
02/2019,20270.140716057016
03/2019,20292.864704619285
04/2019,21286.058932560856
05/2019,19610.268516139604
06/2019,20125.90896056047
07/2019,19849.951100812017
08/2019,19547.263826356542
09/2019,20468.66365699798
10/2019,20983.040707473276
11/2019,21865.90590025862
12/2019,22762.858830391844
01/2020,22093.18416577627
02/2020,20186.613595751558
03/2020,14891.365979553651
04/2020,16642.60941404397
05/2020,17008.221123836527
06/2020,17425.476130514468
07/2020,17172.70691019071
08/2020,18282.06934911741
09/2020,17850.254654121065
10/2020,17018.852267979706
11/2020,20757.172458672936
12/2020,21984.38020393909
01/2021,22183.854313936645
02/2021,23834.88658540443
03/2021,25501.052340125225
04/2021,26130.49115734299
05/2021,27148.07011980143
06/2021,26468.375386238764
07/2021,27017.193055904914
08/2021,28020.463085655098
09/2021,27332.92115868301
10/2021,27825.460698428524
11/2021,26650.588239705798
12/2021,28454.085727140828
01/2022,27757.552434893787
02/2022,26883.61418733561
03/2022,26982.31458872133
04/2022,26927.087301401378
05/2022,26848.98013439832
06/2022,23637.565113633453
07/2022,25216.218351848773
08/2022,23890.428801098005
09/2022,21466.549292351454
10/2022,22997.908912304345
11/2022,24472.1026471341
12/2022,24140.15126787728
01/2023,26446.56293461862
