Data,MSCI Europe Small Cap Value Weighted
11/1994,10000
12/1994,10301.931555335645
01/1995,10034.275419662332
02/1995,10025.372090124642
03/1995,9878.190236522809
04/1995,9842.269906598374
05/1995,10229.693885574425
06/1995,10241.4184375
07/1995,10476.962551915438
08/1995,10393.548324708428
09/1995,10739.911804740672
10/1995,10359.587129765116
11/1995,10119.366856525432
12/1995,10460.206406899255
01/1996,10628.099493731155
02/1996,11150.188686352756
03/1996,11362.792140692296
04/1996,11574.4476994852
05/1996,12000.694664169994
06/1996,11916.564837224334
07/1996,11530.687782020686
08/1996,11627.121553015375
09/1996,11624.70195451654
10/1996,11930.541580920477
11/1996,12141.972885039371
12/1996,12770.834428973845
01/1997,13353.250289351854
02/1997,14077.247845742388
03/1997,14593.900783731893
04/1997,14292.979812214815
05/1997,14767.482977867207
06/1997,15167.410796178345
07/1997,15571.753031460266
08/1997,16069.570954830266
09/1997,16542.75676532192
10/1997,16173.395541845493
11/1997,15555.686016288644
12/1997,16021.686934076804
01/1998,16869.51097249057
02/1998,18098.369389516207
03/1998,19889.520434902795
04/1998,20425.41199414295
05/1998,20971.220120764247
06/1998,20315.83673747277
07/1998,20108.85341401274
08/1998,17739.045696420482
09/1998,16068.197567170628
10/1998,15858.548874282387
11/1998,16667.473973118744
12/1998,16739.571619598504
01/1999,16963.640948699933
02/1999,17456.6277999637
03/1999,18201.195596723144
04/1999,19352.261075776165
05/1999,19402.04383320582
06/1999,19826.231915182034
07/1999,19779.42360201983
08/1999,20267.905114915353
09/1999,19920.051561181437
10/1999,19991.674943078546
11/1999,20622.2630523918
12/1999,21912.646816643442
01/2000,22279.08937187213
02/2000,23036.046781964178
03/2000,23372.132440071186
04/2000,23262.54794936709
05/2000,22796.81053853596
06/2000,23067.914840937636
07/2000,23592.798809910204
08/2000,24490.974819223004
09/2000,24379.448209925846
10/2000,24294.173957467036
11/2000,23613.39368493782
12/2000,23614.858097796885
01/2001,24517.63028731303
02/2001,24296.0439316609
03/2001,23469.507447916665
04/2001,24466.559810725557
05/2001,25532.931849056607
06/2001,24475.042400943403
07/2001,23726.73159109081
08/2001,22954.053745359255
09/2001,19840.084836272043
10/2001,20767.64192656492
11/2001,22250.46287929872
12/2001,22885.595760807897
01/2002,23067.760657635754
02/2002,23432.1164281586
03/2002,24633.394406235675
04/2002,24945.68454040853
05/2002,24664.504830084166
06/2002,22259.48005614035
07/2002,20290.602633139122
08/2002,19887.042790603078
09/2002,17438.191271805274
10/2002,18109.958667883213
11/2002,19064.909866021964
12/2002,17804.129369695816
01/2003,16911.37739644971
02/2003,16088.116581339269
03/2003,15779.183966957322
04/2003,17748.802700565986
05/2003,18836.69883268483
06/2003,19953.61914413232
07/2003,21201.041770630858
08/2003,22792.914794545624
09/2003,22287.929435290083
10/2003,24163.285379452765
11/2003,24192.593721860932
12/2003,24309.32553444181
01/2004,26187.87636950905
02/2004,27482.96489450798
03/2004,27438.41371073299
04/2004,27525.25714237884
05/2004,26996.572279062144
06/2004,27981.904942821886
07/2004,27266.719014868348
08/2004,27130.089508711088
09/2004,27813.219990329606
10/2004,27969.087141399075
11/2004,29432.71542685221
12/2004,30538.95205638353
01/2005,32476.021032604527
02/2005,33797.54106811496
03/2005,33489.47122647332
04/2005,32131.850486995445
05/2005,34131.68858324548
06/2005,35554.701710221634
07/2005,37223.86320185232
08/2005,38000.251700278735
09/2005,39360.541066268066
10/2005,37472.687578807294
11/2005,39492.857979437504
12/2005,41540.21132999916
01/2006,44129.3212493811
02/2006,46355.90081852632
03/2006,47921.45348149373
04/2006,49015.65744755523
05/2006,45895.75065899907
06/2006,46054.494025013766
07/2006,45758.328963734646
08/2006,47191.43758462378
09/2006,48886.92748025277
10/2006,51697.81373188406
11/2006,53100.574322727276
12/2006,55873.49570994686
01/2007,57830.14786629613
02/2007,57383.33615169177
03/2007,60113.00906892928
04/2007,62048.1564954061
05/2007,63588.46189994798
06/2007,62328.41065827472
07/2007,60969.16341139565
08/2007,58314.15210361183
09/2007,56639.53053388816
10/2007,58745.05751782377
11/2007,52740.593405595835
12/2007,51226.45191087563
01/2008,45328.250399462006
02/2008,46142.90462451374
03/2008,44587.27364153807
04/2008,46060.765792792794
05/2008,46295.69166623678
06/2008,40528.50003171785
07/2008,38836.335225161754
08/2008,40447.36868951476
09/2008,33327.9584003356
10/2008,26482.949839303914
11/2008,24409.768907048016
12/2008,23823.05750377237
01/2009,24519.2798954432
02/2009,22874.11800221449
03/2009,24001.887224226033
04/2009,32282.89446026366
05/2009,34703.1542133636
06/2009,34151.373277203915
07/2009,37876.86826425237
08/2009,42873.17891115472
09/2009,45335.85832684559
10/2009,42264.567513513524
11/2009,41493.48223923318
12/2009,43355.15125780925
01/2010,44314.921320349415
02/2010,43280.932813559324
03/2010,47766.51340455524
04/2010,49305.67366128428
05/2010,44834.459722109386
06/2010,43945.12504441365
07/2010,46479.41483880873
08/2010,45222.49076813881
09/2010,47592.92630861665
10/2010,49451.60112001156
11/2010,48485.17424219111
12/2010,53360.555222272116
01/2011,53497.803293894256
02/2011,54233.66595633946
03/2011,52895.875606391215
04/2011,54161.356063257066
05/2011,53712.94049217936
06/2011,51355.790025600225
07/2011,49434.537838709686
08/2011,43194.17441799308
09/2011,39806.121564096866
10/2011,42022.690839225776
11/2011,40436.40236696974
12/2011,40130.807099466736
01/2012,45169.354266848815
02/2012,47632.82151603066
03/2012,46782.66048367776
04/2012,45835.519087331624
05/2012,41189.77666209789
06/2012,43573.65027640985
07/2012,43988.76413871704
08/2012,45517.255150265635
09/2012,47861.320911059556
10/2012,48926.25125067344
11/2012,48923.056929000464
12/2012,51697.585381233905
01/2013,54343.35697121773
02/2013,55525.75434838908
03/2013,56378.0796142132
04/2013,58157.5349510404
05/2013,60357.45308319239
06/2013,57003.177140672786
07/2013,62129.61630734465
08/2013,63064.280326407265
09/2013,67592.2122191781
10/2013,70674.35363243164
11/2013,72258.66892954228
12/2013,73433.42269596116
01/2014,74367.1998505475
02/2014,79983.5723564758
03/2014,80027.24754424137
04/2014,79507.3367393502
05/2014,81137.02822958771
06/2014,80028.15191828967
07/2014,77480.32032139921
08/2014,78208.6997831362
09/2014,76878.00105380277
10/2014,73873.1850894283
11/2014,75041.0786990307
12/2014,75846.35197430196
01/2015,80398.73237328616
02/2015,88332.60264946618
03/2015,89795.53831025188
04/2015,90956.63443958985
05/2015,93488.852437557
06/2015,90058.82133702743
07/2015,93124.99545363364
08/2015,87233.87544003568
09/2015,83353.06658573597
10/2015,89181.32851774534
11/2015,91577.53054731071
12/2015,88301.65733627263
01/2016,80177.86558058608
02/2016,80628.04299412196
03/2016,84143.31955555556
04/2016,86894.42103130755
05/2016,88099.41874125875
06/2016,79300.00837506757
07/2016,84059.01047961848
08/2016,84831.35090909092
09/2016,85935.20709255441
10/2016,85193.13604787139
11/2016,86216.90089139635
12/2016,91983.09922208519
01/2017,93160.40014876802
02/2017,94816.23915636502
03/2017,97355.72918529605
04/2017,100667.21091308328
05/2017,101407.71445325727
06/2017,97694.84437960043
07/2017,99660.51466189137
08/2017,98729.77584270615
09/2017,103285.27281043537
10/2017,104166.30537549408
11/2017,102720.91936365941
12/2017,104959.98649378806
01/2018,106257.2971999679
02/2018,102464.07510397905
03/2018,99929.04352081813
04/2018,105251.99010679692
05/2018,104773.7538798188
06/2018,103606.52125064335
07/2018,104739.27805896389
08/2018,103034.67957943525
09/2018,102768.71027125088
10/2018,94914.30890616718
11/2018,91705.4035918655
12/2018,85558.47219737992
01/2019,92786.47346796659
02/2019,96310.20431149265
03/2019,96442.25111704497
04/2019,101186.53739347479
05/2019,93245.70792754013
06/2019,95720.86024780318
07/2019,94432.30694825578
08/2019,93015.93880210223
09/2019,97423.6872623749
10/2019,99896.29822126593
11/2019,104124.42692041522
12/2019,108421.70616343246
01/2020,105259.08615816142
02/2020,96201.88112599072
03/2020,70990.75387367653
04/2020,79357.10381941892
05/2020,81120.29269216956
06/2020,83130.66026611897
07/2020,81945.57216914248
