Data,Close
06/2009,10000
07/2009,10043.916830308994
08/2009,10057.260747335731
09/2009,10099.581428679157
10/2009,10106.938789990458
11/2009,10125.421632650403
12/2009,10109.977036812663
01/2010,10106.479229109505
02/2010,10186.307317245206
03/2010,10219.989271063154
04/2010,10160.972241376132
05/2010,10223.790295220853
06/2010,10190.210842723282
07/2010,10224.47011428927
08/2010,10258.598766468398
09/2010,10223.725284655788
10/2010,10220.229471141745
11/2010,10163.016285216345
12/2010,10197.55115371767
01/2011,10186.061533437101
02/2011,10197.088900681416
03/2011,10178.996121411856
04/2011,10178.6659834043
05/2011,10221.718930989799
06/2011,10229.906971775872
07/2011,10213.134744536548
08/2011,10361.905340409527
09/2011,10373.394960690095
10/2011,10325.719682160954
11/2011,10242.056868071557
12/2011,10453.756095575542
01/2012,10559.203630947744
02/2012,10641.611302409796
03/2012,10634.34776769623
04/2012,10627.612493678544
05/2012,10571.089297186036
06/2012,10629.791544121666
07/2012,10653.893114315266
08/2012,10753.138920966803
09/2012,10792.691867241128
10/2012,10822.486947060092
11/2012,10864.285150856069
12/2012,10880.925163357242
01/2013,10884.160735192114
02/2013,10901.19689336047
03/2013,10917.506767854082
04/2013,10990.273332633305
05/2013,10975.878378234876
06/2013,10937.117723294914
07/2013,10976.473244847106
08/2013,10978.850417978549
09/2013,11008.950209893888
10/2013,11058.803840899962
11/2013,11086.008768190282
12/2013,11075.102647644004
01/2014,11124.890270990458
02/2014,11137.76645096088
03/2014,11155.92503847115
04/2014,11163.122465815635
05/2014,11184.25249481284
06/2014,11213.702380496446
07/2014,11227.634982149166
08/2014,11246.321930064763
09/2014,11257.15097520185
10/2014,11230.808335283733
11/2014,11253.331604504318
12/2014,11264.441930015708
01/2015,11286.965298945748
02/2015,11318.235281032246
03/2015,11330.917127273666
04/2015,11333.686657112972
05/2015,11332.301892193318
06/2015,11292.813557646241
07/2015,11347.88857400532
08/2015,11335.01987224407
09/2015,11345.608517883655
10/2015,11368.730841513605
11/2015,11383.216132678825
12/2015,11377.657729365823
01/2016,11388.742329837662
02/2016,11390.191507065647
03/2016,11390.816186805107
04/2016,11397.798042306542
05/2016,11405.166271948507
06/2016,11413.880579241342
07/2016,11412.4250206082
08/2016,11416.959308102527
09/2016,11419.754562981383
10/2016,11398.442065680392
11/2016,11378.701188818888
12/2016,11435.470069410047
01/2017,11411.143255556202
02/2017,11413.217212233101
03/2017,11416.566452847383
04/2017,11427.367579336895
05/2017,11444.416300896652
06/2017,11443.752933888412
07/2017,11458.083575687966
08/2017,11461.780602883451
09/2017,11464.724026013359
10/2017,11477.38014721523
11/2017,11489.759275549384
12/2017,11463.178230322877
01/2018,11466.52747093716
02/2018,11468.549877825506
03/2018,11502.189953672096
04/2018,11490.49991738573
05/2018,11381.406306349863
06/2018,11425.776714972475
07/2018,11415.1172756194
08/2018,11368.78239130216
09/2018,11383.937530590238
10/2018,11394.191152458938
11/2018,11421.918657006161
12/2018,11452.306210410423
01/2019,11460.02222663359
02/2019,11448.705801677434
03/2019,11471.042414797099
04/2019,11470.159986114859
05/2019,11470.3274980003
06/2019,11501.404143452351
07/2019,11517.950528774698
08/2019,11544.492886732422
09/2019,11530.271725915138
10/2019,11509.339221349519
11/2019,11492.670492525125
12/2019,11492.232568596042
01/2020,11499.613660757781
02/2020,11491.75595739818
03/2020,11443.746452773798
04/2020,11433.209356922769
05/2020,11442.503374990582
06/2020,11465.516217638262
07/2020,11474.951922842509
08/2020,11469.251832393073
09/2020,11483.247649840652
10/2020,11502.24788486581
11/2020,11502.62149619602
12/2020,11498.918087595375
01/2021,11482.429733176199
02/2021,11463.648460115584
03/2021,11475.686183273696
04/2021,11462.766031433346
05/2021,11460.872449161665
06/2021,11461.162304549149
07/2021,11474.752304512356
08/2021,11467.603036834937
09/2021,11456.750360556869
10/2021,11418.80782170027
11/2021,11454.77950345708
12/2021,11422.78174205401
01/2022,11409.983933715705
02/2022,11390.275163298913
03/2022,11326.485839646994
04/2022,11256.4103333655
05/2022,11224.090610130235
06/2022,11194.82369129769
07/2022,11248.900416587103
08/2022,11112.942286342404
09/2022,11001.793962554571
10/2022,11008.853092884114
11/2022,11027.02244901559
12/2022,10955.034016828024
01/2023,10994.895962705314
02/2023,10937.895157920384
03/2023,11039.03444713415
04/2023,11050.18345991432
05/2023,11077.524490611562
06/2023,11021.438320663037
07/2023,11077.582521514732
08/2023,11117.766429224219
09/2023,11092.273812415264
10/2023,11152.945919356127
11/2023,11238.807725779772
12/2023,11351.64991379968
01/2024,11361.665329778903
02/2024,11307.054062097912
03/2024,11346.845114552254
04/2024,11331.187639026763
05/2024,11358.721906648996
06/2024,11402.261436377923
07/2024,11501.429968201359
08/2024,11556.859152546804
09/2024,11642.321722310144
