Data,Close
07/2006,10000
08/2006,10323.270121342632
09/2006,10557.887271058451
10/2006,10683.472562316068
11/2006,10747.542498804547
12/2006,10365.812251080724
01/2007,10193.936398617445
02/2007,10417.520065982664
03/2007,10200.637361720428
04/2007,10144.019358337853
05/2007,9844.76743999461
06/2007,9607.775427876391
07/2007,9923.664220130488
08/2007,9950.628536218257
09/2007,9871.892219758216
10/2007,10043.357285211347
11/2007,9969.04334765739
12/2007,9943.991758585611
01/2008,10203.448685321104
02/2008,10149.494378957435
03/2008,10062.619344858906
04/2008,9997.997413325545
05/2008,9748.598349791559
06/2008,9625.599732988443
07/2008,9972.669826731324
08/2008,10175.983722564724
09/2008,10060.85424442469
10/2008,10141.439102430384
11/2008,11161.429667166245
12/2008,11337.869106570346
01/2009,10736.027625426434
02/2009,10812.857633417525
03/2009,10907.967663360047
04/2009,11075.966713415084
05/2009,10513.849619861552
06/2009,10769.628719146847
07/2009,11218.278738242025
08/2009,11335.03852732857
09/2009,11459.705966360396
10/2009,11344.92308976017
11/2009,11498.275015484745
12/2009,11216.006572592163
01/2010,11377.522890143358
02/2010,11566.831516349645
03/2010,11655.137886436649
04/2010,11681.145839016423
05/2010,11928.535897328922
06/2010,11842.572296909151
07/2010,11996.93835306502
08/2010,13192.822780707133
09/2010,12726.752824963014
10/2010,12537.232386704622
11/2010,11907.078694595904
12/2010,11586.241202578973
01/2011,11439.54531012815
02/2011,11389.146878821042
03/2011,11168.663369673008
04/2011,11367.15051813721
05/2011,11583.038347609252
06/2011,11281.822353873755
07/2011,11588.275881988595
08/2011,11962.406570024745
09/2011,12502.354002124539
10/2011,11958.914880438515
11/2011,11651.434384798315
12/2011,12612.02771528609
01/2012,12611.867251610256
02/2012,13049.490206901864
03/2012,13014.117594200201
04/2012,12982.99405963472
05/2012,14147.202957666474
06/2012,13096.422622810875
07/2012,13794.490961081141
08/2012,13830.107478570077
09/2012,13882.245336123262
10/2012,13990.00632226883
11/2012,14282.576533150192
12/2012,14654.197569296239
01/2013,14350.889129227817
02/2013,14296.723010812044
03/2013,14501.038199982671
04/2013,15302.374541475046
05/2013,14656.66870990414
06/2013,14264.508323250866
07/2013,14363.764734577035
08/2013,14052.189205929455
09/2013,14218.005949993101
10/2013,14510.44137138676
11/2013,14509.151243433025
12/2013,14355.972618478356
01/2014,15103.527954376968
02/2014,15271.10979887483
03/2014,15564.559350699783
04/2014,15964.736502597909
05/2014,16297.127379275154
06/2014,16607.971193560916
07/2014,17059.695696685143
08/2014,18117.395225242864
09/2014,17856.949842264206
10/2014,18101.682622104836
11/2014,18886.157440540184
12/2014,19654.13659309942
01/2015,21604.155367349493
02/2015,21882.271010311397
03/2015,23282.008491737728
04/2015,21971.630022111895
05/2015,20792.222004704796
06/2015,18833.198008966712
07/2015,20162.543285076554
08/2015,19367.535630959217
09/2015,20103.402792709818
10/2015,20611.80306613992
11/2015,20452.834911761027
12/2015,19816.33327663617
01/2016,21180.698145360835
02/2016,22032.079898073476
03/2016,22341.60149167033
04/2016,21328.202774737885
05/2016,22059.04421416124
06/2016,24357.557999595632
07/2016,24976.768069012218
08/2016,24437.257098110702
09/2016,24499.741653481902
10/2016,22794.05770915638
11/2016,21703.02024730662
12/2016,21930.06993006993
01/2017,20442.732118730284
02/2017,21156.570827061878
03/2017,20840.271247797642
04/2017,20990.343295988092
05/2017,21147.161237110755
06/2017,20910.727638584456
07/2017,20951.434063870962
08/2017,21474.815226077277
09/2017,21072.494279469956
10/2017,21579.55307657006
11/2017,22010.725392092998
12/2017,21484.866670731746
01/2018,21680.163801320297
02/2018,21817.17410629756
03/2018,22774.872672073223
04/2018,22476.468001938403
05/2018,22213.307573564573
06/2018,22435.38930092395
07/2018,22273.64191567955
08/2018,22135.001299755775
09/2018,21998.928102645405
10/2018,21948.863435784042
11/2018,22069.53212001399
12/2018,22459.779779651282
01/2019,23124.74125232271
02/2019,22803.17204594396
03/2019,24006.649614726717
04/2019,23903.31100748724
05/2019,24853.255968446425
06/2019,26656.86768486218
07/2019,27818.62469792713
08/2019,30218.519433755784
09/2019,29865.499346912842
10/2019,28882.819796082764
11/2019,28294.239033110076
12/2019,27296.79682410293
01/2020,29510.553695959847
02/2020,30321.21618629191
03/2020,28120.29640850201
04/2020,29027.237104336695
05/2020,28869.340847312396
06/2020,29511.83740536655
07/2020,30498.368084416732
08/2020,29654.971004213778
09/2020,31093.367394422927
10/2020,31948.959713989545
11/2020,32029.191551908396
12/2020,32113.27451804735
01/2021,31394.397250294453
02/2021,29622.236414342886
03/2021,29198.612310131357
04/2021,28183.198169430387
05/2021,27676.132953783253
06/2021,28507.334794622544
07/2021,30162.03621986091
08/2021,29651.761730697024
09/2021,28611.315256565373
10/2021,29056.76242069083
11/2021,30081.16252723871
12/2021,28529.799709239822
01/2022,27871.898638305247
02/2022,26364.181940134215
03/2022,25227.45726049994
04/2022,22496.365497742278
05/2022,20941.151551523282
06/2022,19691.46044409927
07/2022,22178.005564880277
08/2022,19475.15540907005
09/2022,17720.324650108956
10/2022,17670.901837950943
11/2022,19502.11330661078
12/2022,16726.09171461856
01/2023,17856.397847219327
