Data,Close
12/1978,10000
01/1979,10484.354545863225
02/1979,11327.932918680537
03/1979,10819.532466222367
04/1979,11176.790942769334
05/1979,12649.78520170167
06/1979,12634.001683664897
07/1979,13012.979226888338
08/1979,13873.340950302732
09/1979,17301.234179895302
10/1979,16708.23494468716
11/1979,18106.82653777112
12/1979,22315.60394113025
01/1980,27535.45984192251
02/1980,27109.709071635745
03/1980,22161.4011727572
04/1980,23492.653943417346
05/1980,23234.448730418073
06/1980,27939.4857962966
07/1980,25935.97293919462
08/1980,27183.316103098074
09/1980,28644.423156338384
10/1980,27702.773566143806
11/1980,28252.316670126012
12/1980,27720.54897911604
01/1981,23888.70909392843
02/1981,24633.92315298886
03/1981,25897.5859373402
04/1981,24980.835985336533
05/1981,26314.156348285458
06/1981,24285.24903700913
07/1981,23849.798449295584
08/1981,25642.91559360034
09/1981,24694.19680844759
10/1981,23864.537735660804
11/1981,22916.80300685488
12/1981,22419.000264307713
01/1982,22021.495065412742
02/1982,21320.2247579809
03/1982,19158.424671478846
04/1982,21961.888130203533
05/1982,19097.773472164765
06/1982,19724.7506492091
07/1982,21759.647959892056
08/1982,26272.777007605757
09/1982,25583.98276433247
10/1982,27598.468255195654
11/1982,28905.57716537952
12/1982,28478.084406738948
01/1983,31527.55146471261
02/1983,26256.144563789203
03/1983,26791.548510868088
04/1983,28127.07785935402
05/1983,28845.68469397959
06/1983,28267.669453119524
07/1983,29063.532884798766
08/1983,29453.994359375323
09/1983,28813.63951076741
10/1983,26728.79544634112
11/1983,29094.80475366779
12/1983,28100.088763680476
01/1984,28145.88046444936
02/1984,28778.058934538305
03/1984,27346.902843702905
04/1984,26919.559060485928
05/1984,28545.354359831188
06/1984,27707.069102340978
07/1984,26385.556305426206
08/1984,27141.741806982
09/1984,28056.33050457892
10/1984,27714.0150105196
11/1984,26624.358480259496
12/1984,25935.08036380556
01/1985,26425.639649348926
02/1985,25721.238608699485
03/1985,29497.986915587626
04/1985,26798.584423474924
05/1985,26368.390547491683
06/1985,26218.283371792655
07/1985,25704.79537671428
08/1985,25258.379962437364
09/1985,25090.037053588494
10/1985,23501.287247768334
11/1985,23061.063051595986
12/1985,22634.979627975667
01/1986,23761.309282687154
02/1986,22022.32370087886
03/1986,21785.83888731319
04/1986,22012.176228125125
05/1986,21469.737601090972
06/1986,21779.901972455704
07/1986,21797.77072483068
08/1986,22753.350383438905
09/1986,24835.998013585297
10/1986,23272.795572129704
11/1986,22837.96771072762
12/1986,22595.139395197948
01/1987,21761.869008886373
02/1987,21664.19163163957
03/1987,22436.989068642226
04/1987,23841.8335868448
05/1987,23437.0671439417
06/1987,23662.336043449563
07/1987,24821.038829190016
08/1987,24522.19415691421
09/1987,24204.96926940751
10/1987,24516.8308783385
11/1987,24200.59168969692
12/1987,23179.783773363717
01/1988,22051.349822571778
02/1988,21110.89503673608
03/1988,22329.913238083554
04/1988,21810.086828848485
05/1988,22343.369387042214
06/1988,22208.915342547127
07/1988,23340.84166755503
08/1988,23368.977051086567
09/1988,21514.205670318148
10/1988,21811.63645426958
11/1988,21464.83707036655
12/1988,20853.191891895174
01/1989,20824.806827018994
02/1989,20707.244131417832
03/1989,20639.432020690852
04/1989,20446.485211616564
05/1989,20433.54869639406
06/1989,21444.4019001308
07/1989,20249.242561858162
08/1989,20086.39644954561
09/1989,20772.608601267068
10/1989,20468.97229776876
11/1989,21940.280993922308
12/1989,20667.1163885114
01/1990,20762.843772048964
02/1990,20123.559494941277
03/1990,18505.704404388493
04/1990,18230.161690255318
05/1990,17701.94116317813
06/1990,17287.529439753922
07/1990,17721.0041330205
08/1990,17642.762891323528
09/1990,18611.58441641647
10/1990,16785.977696524318
11/1990,16684.368623564205
12/1990,17149.821495090306
01/1991,16091.521695762904
02/1991,15679.682441408213
03/1991,16733.279580517454
04/1991,17727.714656637043
05/1991,18096.21505285858
06/1991,19183.473911101722
07/1991,18919.73893877737
08/1991,17713.71666111539
09/1991,17595.100132728676
10/1991,17696.3726837331
11/1991,17454.48021996813
12/1991,16303.299509181594
01/1992,16449.06381093343
02/1992,16763.131649656912
03/1992,16653.90648037882
04/1992,16243.650038435228
05/1992,15986.023998161627
06/1992,15798.407925326468
07/1992,15678.453039457738
08/1992,14519.205036955615
09/1992,15246.38039478286
10/1992,15435.40541834462
11/1992,16200.257431529628
12/1992,16125.185561469812
01/1993,16317.510366173341
02/1993,16578.199745365462
03/1993,17176.86452500482
04/1993,17401.172991866297
05/1993,18582.1366818907
06/1993,19173.22613961463
07/1993,21214.99467493419
08/1993,19768.037331913914
09/1993,18160.150915108767
10/1993,19100.254265313964
11/1993,19680.304550911867
12/1993,20717.1078274434
01/1994,20310.62071521759
02/1994,20425.88328499689
03/1994,20402.612593007398
04/1994,19789.408560388685
05/1994,19935.64818008827
06/1994,19642.825320293345
07/1994,18827.08121786699
08/1994,18932.72725102377
09/1994,19169.795052932135
10/1994,18277.67903415216
11/1994,18511.39473149054
12/1994,18858.552237281616
01/1995,18104.190644886545
02/1995,17975.85514607998
03/1995,17991.628968205263
04/1995,17544.316602478844
05/1995,17564.51257277601
06/1995,17540.8481967102
07/1995,17169.535311759362
08/1995,17641.52105218271
09/1995,17943.196740359766
10/1995,17600.17044467486
11/1995,17873.83290286259
12/1995,18103.609807486344
01/1996,19214.783074849183
02/1996,19089.77984427362
03/1996,18870.938963143668
04/1996,18787.46303606513
05/1996,18977.040721334426
06/1996,18415.747359690362
07/1996,18290.751764080454
08/1996,18177.19917062322
09/1996,17979.47069589778
10/1996,18057.396548563956
11/1996,17438.665259389953
12/1996,17738.877308824784
01/1997,17033.75394016284
02/1997,18448.173626324642
03/1997,18116.627616266323
04/1997,17794.819950026038
05/1997,18022.79714207247
06/1997,17640.756408371104
07/1997,17685.40060257122
08/1997,18132.341396890468
09/1997,18021.29236130776
10/1997,16589.49717928875
11/1997,15484.638504839266
12/1997,15493.67364373001
01/1998,16706.219398279685
02/1998,16260.369586196512
03/1998,16516.228780542937
04/1998,16931.371741719056
05/1998,15754.14237089374
06/1998,16012.90626437083
07/1998,15645.616109381632
08/1998,14746.81015054386
09/1998,15108.947961244017
10/1998,14472.53716107165
11/1998,15012.13422099401
12/1998,14547.89806543769
01/1999,14914.690175790845
02/1999,15497.731914796525
03/1999,15473.50970104971
04/1999,16085.010211877181
05/1999,15276.46246556124
06/1999,15026.661124657541
07/1999,14210.61793361523
08/1999,14326.839971009176
09/1999,16665.648352150325
10/1999,17007.668956450816
11/1999,17149.399960388942
12/1999,17169.669739684123
01/2000,17193.29216915238
02/2000,17960.972758531658
03/2000,17210.77709232669
04/2000,17984.47591356998
05/2000,17382.450651718227
06/2000,17908.799301982275
07/2000,17780.948481920976
08/2000,18468.665483659755
09/2000,18536.96806127159
10/2000,18656.07885627044
11/2000,18395.08755013383
12/2000,17392.065770591365
01/2001,16892.233326663634
02/2001,17113.92648923934
03/2001,17313.580846147946
04/2001,17590.366082490145
05/2001,18714.400186662268
06/2001,18929.405907685297
07/2001,18014.4745122544
08/2001,17679.792751311743
