Date,Close
06/1994,10000
07/1994,10634.22267808585
08/1994,10903.28063836297
09/1994,10558.723727560659
10/1994,10926.965377426312
11/1994,10332.623318245376
12/1994,10461.9843286418
01/1995,10388.974352424451
02/1995,10564.155289570468
03/1995,10933.483083455232
04/1995,11500.49220098765
05/1995,11777.35891332237
06/1995,12185.228481422246
07/1995,12908.841621138345
08/1995,12660.727370377268
09/1995,13411.157130244339
10/1995,13461.189054271463
11/1995,13667.879638976481
12/1995,13870.461240314873
01/1996,13752.882304795998
02/1996,14048.649792958908
03/1996,14486.068754389846
04/1996,14462.44720887216
05/1996,14713.500263554412
06/1996,15062.231660202882
07/1996,14670.720742844594
08/1996,15178.24019494779
09/1996,15401.906707538234
10/1996,15690.747850818028
11/1996,16363.578357506696
12/1996,16716.075253975454
01/1997,16726.55343045494
02/1997,17058.114244549204
03/1997,17502.068275309335
04/1997,17550.830328429918
05/1997,18671.069506962765
06/1997,19751.957480412195
07/1997,21040.402566450462
08/1997,19481.058676996272
09/1997,21510.335446829344
10/1997,20183.365171047608
11/1997,19974.650509582123
12/1997,21079.61707387596
01/1998,22047.725429648057
02/1998,23779.01810172609
03/1998,25375.306455692884
04/1998,26029.559302483285
05/1998,27013.022466776543
06/1998,27571.067991179945
07/1998,29655.596272154522
08/1998,24725.53483465238
09/1998,23302.666584883693
10/1998,23917.988069785675
11/1998,25065.608362455743
12/1998,27047.324457411683
01/1999,27537.143303891786
02/1999,26453.303071587798
03/1999,25863.37026396868
04/1999,25846.60692170597
05/1999,24840.7101264498
06/1999,25592.91387837233
07/1999,26087.31955620725
08/1999,26195.459926423246
09/1999,26284.522095522254
10/1999,27663.5109959318
11/1999,30361.821634786014
12/1999,35791.900083957386
01/2000,34961.66322399468
02/2000,39257.85145075767
03/2000,38161.711374432285
04/2000,35768.60095606104
05/2000,34354.63913687062
06/2000,35000.6885546853
07/2000,33629.327826066605
08/2000,33197.1818887742
09/2000,30178.699658262743
10/2000,29176.342279140397
11/2000,26371.27003991231
12/2000,28299.64561525774
01/2001,26731.468027883428
02/2001,26319.335837518673
03/2001,24717.157360764257
04/2001,25401.848912400113
05/2001,24833.384876137607
06/2001,24899.52684187075
07/2001,24637.083561025946
08/2001,24875.222491597717
09/2001,22700.52875917678
10/2001,22555.631825887598
11/2001,22835.718281013767
12/2001,23723.70946366361
01/2002,23463.631263799754
02/2002,23522.026982120424
03/2002,24666.818737915873
04/2002,25590.266594026565
05/2002,25571.8300400931
06/2002,25254.5654500756
07/2002,23280.25608845277
08/2002,23267.26103281928
09/2002,21629.611668726062
10/2002,22193.933609094514
11/2002,22308.13516831326
12/2002,21972.725391782024
01/2003,21093.86400228986
02/2003,21018.013902530587
03/2003,20656.409006714945
04/2003,22746.463361107883
05/2003,24162.85016012198
06/2003,23902.39305562148
07/2003,24088.672058636745
08/2003,23952.850415444802
09/2003,24881.49816293533
10/2003,26376.565789058597
11/2003,27365.67461454392
12/2003,28893.957957954754
01/2004,30140.365724097694
02/2004,31116.66138025653
03/2004,30429.480526365875
04/2004,29930.19076022262
05/2004,30651.91760388051
06/2004,31388.710139965373
07/2004,30650.566498145716
08/2004,30815.844222901724
09/2004,32418.944662615748
10/2004,33702.23343529864
11/2004,36629.08269616361
12/2004,38343.15805962603
01/2005,37908.825561387646
02/2005,40097.616241597345
