Date,Close
11/1998,10000
12/1998,10538.142594638195
01/1999,10205.16997986347
02/1999,9838.098739571398
03/1999,9962.728858285696
04/1999,10094.483502461484
05/1999,9543.116438960164
06/1999,9654.370487800417
07/1999,9594.80993826686
08/1999,9694.063565476998
09/1999,9599.958992587679
10/1999,9698.180756911257
11/1999,9809.433250949283
12/1999,10901.69127021868
01/2000,10072.635423391444
02/2000,10521.199959461786
03/2000,11058.466227603589
04/2000,10444.65568058223
05/2000,10413.752243015675
06/2000,10678.317290359606
07/2000,10641.258901721185
08/2000,10355.42338538284
09/2000,10024.655488189053
10/2000,10060.312362277347
11/2000,9862.208182710838
12/2000,10459.833144598797
01/2001,10150.974225941336
02/2001,9339.893213314086
03/2001,8586.39974679831
04/2001,9117.489052671752
05/2001,8659.475101772568
06/2001,8489.003784130491
07/2001,8650.133245788535
08/2001,8610.271965484748
09/2001,7808.1238180038945
10/2001,8064.01535323957
11/2001,8221.235716600895
12/2001,8431.26489139795
01/2002,8131.522600149777
02/2002,8154.645080330837
03/2002,8567.124498990077
04/2002,8472.499611072648
05/2002,8251.20661820281
06/2002,8103.584349468713
07/2002,7170.429030352863
08/2002,7198.431617030691
09/2002,6424.099461597517
10/2002,7019.886281436801
11/2002,7338.240805177836
12/2002,7107.8019081561015
01/2003,6764.32904011808
02/2003,6617.731814924362
03/2003,6427.531302619861
04/2003,7196.2367944676735
05/2003,7653.8175274098085
06/2003,7566.929148710374
07/2003,7703.561792102098
08/2003,7772.968846100165
09/2003,7939.334824856008
10/2003,8465.562036536116
11/2003,8752.297839114306
12/2003,9420.544731011434
01/2004,9488.985060865947
02/2004,9899.950120307964
03/2004,9633.232231500608
04/2004,9478.287378288534
05/2004,9660.957552876347
06/2004,9752.066754764917
07/2004,9500.352817895538
08/2004,9575.926282278193
09/2004,9894.307189565872
10/2004,10189.588887873724
11/2004,10913.07834958423
12/2004,11355.837218852803
01/2005,11237.039698745955
02/2005,11861.122126853745
03/2005,11551.292298292783
04/2005,11347.93247445802
05/2005,11335.79455139351
06/2005,11549.215200247794
07/2005,11872.25578932699
08/2005,12107.764866818115
09/2005,12453.838654701054
10/2005,12016.597512390264
11/2005,12204.361514326094
12/2005,12669.845151046384
01/2006,13505.712068602314
02/2006,13656.87471170012
03/2006,14330.106415273667
04/2006,15138.689932177347
05/2006,14673.617452101407
06/2006,14870.52495862485
07/2006,14964.861038421948
08/2006,15378.006315466631
09/2006,15546.02588126738
10/2006,16187.754091193894
11/2006,16870.016750999243
12/2006,17419.727320779148
01/2007,17553.00510479527
02/2007,17608.104093293397
03/2007,18267.45541403999
04/2007,19291.081406875783
05/2007,19575.982732627497
06/2007,19558.97937672748
07/2007,19056.606872961318
08/2007,18844.566237174145
09/2007,20128.762638089454
10/2007,20951.328497903858
11/2007,20534.902142569197
12/2007,20033.712276829887
01/2008,18191.71839917685
02/2008,18545.928023599845
03/2008,18399.406841282664
04/2008,19272.17374440107
05/2008,19594.99476167496
06/2008,18203.456056929
07/2008,17687.721698110592
08/2008,16991.398562053408
09/2008,14628.366593347388
10/2008,11682.830094904219
11/2008,11031.939315326597
12/2008,11588.264842585424
01/2009,10485.0538528909
02/2009,9481.442612549825
03/2009,10097.275971926127
04/2009,11294.659230035633
05/2009,12611.643219820726
06/2009,12458.975986245301
07/2009,13608.131494212428
08/2009,14188.188589764466
09/2009,14758.194999546893
10/2009,14857.549750408893
11/2009,15267.36499044937
12/2009,15613.058172480805
01/2010,14829.154952596213
02/2010,14703.44047548897
03/2010,15449.55512784259
04/2010,14970.84367784671
05/2010,13322.47710533389
06/2010,13323.070828450716
07/2010,14792.081376152915
08/2010,14385.741125783625
09/2010,15795.037336624064
10/2010,16518.05482082778
11/2010,15368.485092351923
12/2010,16569.852542440585
01/2011,17102.817362224854
02/2011,17716.053642111332
03/2011,17654.18089299271
04/2011,19021.118512000798
05/2011,18478.601365645387
06/2011,18152.259667072045
07/2011,17696.513635240644
08/2011,16402.32809046344
09/2011,14750.768022600694
10/2011,16480.29560023519
11/2011,15921.827337198794
12/2011,15660.042180678909
01/2012,16339.609442947663
02/2012,17348.873312829095
03/2012,17243.803564732025
04/2012,17015.805442827335
05/2012,15066.592389263054
06/2012,16238.836467391322
