Date,Close
06/1994,10000
07/1994,10315.459413000237
08/1994,10798.131390044025
09/1994,10478.7512833633
10/1994,10671.42787745156
11/1994,10144.284748278
12/1994,10315.43535101706
01/1995,10444.774564130741
02/1995,10876.542827475989
03/1995,11374.431591446315
04/1995,11863.033321411205
05/1995,12303.639156414143
06/1995,12767.181816013765
07/1995,13216.535519929372
08/1995,13135.278721501078
09/1995,13757.805060937959
10/1995,14145.976459689322
11/1995,14545.90785639096
12/1995,14674.547028009814
01/1996,15389.899986698389
02/1996,15658.169866552667
03/1996,15638.135804500342
04/1996,15924.329738582619
05/1996,16568.69782696695
06/1996,16804.69142463528
07/1996,16148.350680443002
08/1996,16567.05892687049
09/1996,17686.106882285316
10/1996,18232.26779845506
11/1996,19538.697956854598
12/1996,19043.211551826673
01/1997,20781.920677987036
02/1997,20835.77566508799
03/1997,19696.871160743332
04/1997,21666.41307980481
05/1997,22772.416951478695
06/1997,24022.488316929728
07/1997,26057.374868550876
08/1997,24089.252752059743
09/1997,25408.77112467191
10/1997,24658.942658398097
11/1997,25617.156911589922
12/1997,26056.795709463437
01/1998,26741.64499598376
02/1998,28454.72020732095
03/1998,30343.01445285003
04/1998,31574.726783881757
05/1998,30798.687320211124
06/1998,33165.49849970539
07/1998,33676.94006400755
08/1998,28365.39984901515
09/1998,29717.530566251146
10/1998,32474.404148748617
11/1998,35152.6321075963
12/1998,38743.42118120117
01/1999,40395.60155929588
02/1999,39383.59185435885
03/1999,41643.84938573244
04/1999,41752.63705727092
05/1999,40586.855798897916
06/1999,43865.11492686345
07/1999,42390.665739132375
08/1999,42192.02831232709
09/1999,42077.23033972784
10/1999,45550.08336410963
11/1999,47419.69122721566
12/1999,54253.67941423566
01/2000,50518.42828802596
02/2000,52279.719603868994
03/2000,57125.14025900157
04/2000,54114.9053925655
05/2000,50765.45901299639
06/2000,53805.27101303261
07/2000,52856.18293666813
08/2000,57132.908163587774
09/2000,51820.42374606766
10/2000,49471.74427447212
11/2000,47406.62675382487
12/2000,48919.86689857084
01/2001,46950.616532693544
02/2001,43124.03429356236
03/2001,39779.765877200356
04/2001,42658.27885394398
05/2001,42680.09840582574
06/2001,41211.555828015385
07/2001,41107.8971892274
08/2001,39996.648289724035
09/2001,37392.10737606069
10/2001,37150.95760316356
11/2001,39567.32571740727
12/2001,40220.15135375782
01/2002,40711.55315009739
02/2002,41102.74804047875
03/2002,42517.79215749453
04/2002,42540.52115917102
05/2002,42587.57477721228
06/2002,40386.61367719523
07/2002,37910.77321002425
08/2002,38373.430301660206
09/2002,35863.428751979336
10/2002,36238.944917383225
11/2002,35808.876320463576
12/2002,35070.81017354135
01/2003,34427.92624270076
02/2003,34119.386435775494
03/2003,34466.284387015876
04/2003,36546.41203814471
05/2003,38253.4047522784
06/2003,38860.12482263201
07/2003,39904.47451908682
08/2003,40453.04333728077
09/2003,40137.99192775906
10/2003,42646.12448044133
11/2003,43057.997082743204
12/2003,43975.76344174399
01/2004,45065.33280114171
02/2004,45663.021888123745
03/2004,45420.76150793624
04/2004,43394.527243285615
05/2004,44449.248497636785
06/2004,45806.01877292818
07/2004,43519.6679471176
08/2004,43832.85895634951
09/2004,46196.86942220946
10/2004,46541.43560505395
11/2004,50119.51432699075
12/2004,51085.03040186615
01/2005,50013.22572454155
02/2005,52981.62797881212
03/2005,52435.49134904862
04/2005,50376.136972539854
05/2005,52279.09203508034
06/2005,54175.746270930336
07/2005,56408.907404968864
08/2005,57337.03587516279
09/2005,59622.574730478605
10/2005,57784.19201132198
11/2005,59559.10271941794
12/2005,60564.864900310255
01/2006,64523.64983991859
02/2006,62070.71157768603
03/2006,63156.85284864118
04/2006,63888.99868321018
05/2006,61211.350682294564
06/2006,61747.60317583133
07/2006,59712.7926965573
08/2006,59223.758466426465
09/2006,60369.93009462837
10/2006,63269.007559219244
11/2006,65848.50236540796
12/2006,66725.98606508809
01/2007,69234.0627526299
02/2007,67182.03548192256
03/2007,68688.96886084402
04/2007,71268.61431226396
05/2007,73802.71342685587
06/2007,71740.57427773881
07/2007,69380.2724688607
08/2007,70234.6974669078
09/2007,75162.27669970824
10/2007,78439.0489365837
11/2007,75804.25926038522
12/2007,78151.42094658801
01/2008,69071.95012273102
02/2008,68758.21837481222
03/2008,68446.90972054194
04/2008,74165.77972665116
05/2008,77122.10654786836
06/2008,76053.75458818018
07/2008,69068.03753348585
08/2008,68503.53925679624
09/2008,57853.238674841814
10/2008,49478.28254418139
11/2008,45277.84496637761
12/2008,45918.858022468674
01/2009,41707.34075435283
02/2009,37536.664469836396
03/2009,39890.11030528288
04/2009,42162.92769431055
05/2009,43997.16233452601
06/2009,45021.12626706033
07/2009,47961.62235572323
08/2009,48535.23973925949
09/2009,50373.93552254819
10/2009,48867.966172827444
11/2009,52177.79645504328
12/2009,53670.34448022896
