Data,Close
10/2014,10000
11/2014,10314.193541728224
12/2014,10208.018145987302
01/2015,10186.716334794113
02/2015,10711.73984865979
03/2015,10614.854160993198
04/2015,10646.30542573897
05/2015,10850.737034200041
06/2015,10672.19533105407
07/2015,11007.09368714872
08/2015,10276.611380276396
09/2015,9897.337721231246
10/2015,10579.875134104002
11/2015,10592.021217720185
12/2015,10591.073690773508
01/2016,10134.00167354992
02/2016,10000.333122625538
03/2016,10548.006733995751
04/2016,10564.21935218483
05/2016,10775.231002549066
06/2016,11068.378774533705
07/2016,11371.539252438817
08/2016,11055.756088854901
09/2016,11131.548138675458
10/2016,10795.404150275748
11/2016,10840.961419260686
12/2016,11001.734557039563
01/2017,11392.862570955676
02/2017,11660.521407330467
03/2017,11905.210091459498
04/2017,12126.687952729977
05/2017,12635.764397025117
06/2017,12662.739365240215
07/2017,13051.291269018911
08/2017,13237.365833198266
09/2017,13572.484551585547
10/2017,14188.1581393064
11/2017,14449.114129639742
12/2017,14489.311162310996
01/2018,15653.697781140629
02/2018,15396.151729519745
03/2018,14889.842029032528
04/2018,15038.9790689542
05/2018,15462.328517832335
06/2018,15403.470229696266
07/2018,15742.081601046935
08/2018,16448.27016939295
09/2018,16603.368012565585
10/2018,14959.50751037232
11/2018,15169.406102871872
12/2018,14046.651153105571
01/2019,14939.618091957089
02/2019,15484.941121748168
03/2019,15880.47156882864
04/2019,16386.89091603846
05/2019,15788.477199827827
06/2019,16783.10139476164
07/2019,16947.84007104239
08/2019,16954.920034720668
09/2019,16813.398669474253
10/2019,17017.343742626836
11/2019,17456.048578888494
12/2019,17881.40184291647
01/2020,18347.522109126272
02/2020,17026.195022630876
03/2020,15282.165348488546
04/2020,16843.644187986152
05/2020,17808.650495953232
06/2020,18627.855331625375
07/2020,19866.457313596195
08/2020,21395.969047036568
09/2020,20701.578907525596
10/2020,19961.89239557564
11/2020,21927.420168252716
12/2020,22867.312092793578
01/2021,23049.595558362238
02/2021,22896.954786381044
03/2021,22948.167006658507
04/2021,24502.034280892945
05/2021,24238.325892514025
06/2021,24508.019545836563
07/2021,24905.32121870261
08/2021,25691.125821307764
09/2021,24731.246332690305
10/2021,26585.982046485955
11/2021,25764.974475375864
12/2021,26137.714881509542
01/2022,24109.26077144928
02/2022,23582.83045683596
03/2022,24626.361634110846
04/2022,21827.178160511205
05/2022,21786.606329793307
06/2022,20147.858722656278
07/2022,21025.076285527623
08/2022,20481.965366372762
09/2022,18974.35284601159
10/2022,20859.230796551554
11/2022,21964.98943722938
12/2022,21422.123100610937
01/2023,21647.028333831313
02/2023,20942.482529190063
03/2023,21121.12141204516
04/2023,21724.061154174145
05/2023,20664.679978684006
06/2023,21991.435003423383
07/2023,22519.705674612873
08/2023,22225.96188680189
09/2023,21307.795104219433
10/2023,20920.821762298292
11/2023,22861.855410490956
12/2023,23868.647379474623
01/2024,25195.950262930397
02/2024,27465.476884766525
03/2024,28648.768194036955
04/2024,27475.335872293934
05/2024,29023.528661747303
06/2024,30060.01735884579
07/2024,29699.683054729776
08/2024,30412.235505302884
09/2024,30935.589870669217
10/2024,30565.02891655239
11/2024,31815.882524831668
