Data,Close
07/2006,10000
08/2006,9889.511328402144
09/2006,9928.215955444406
10/2006,9915.47443552385
11/2006,9701.378266545611
12/2006,9474.473482877747
01/2007,9482.447753973567
02/2007,9552.762276237174
03/2007,9519.06929886095
04/2007,9187.183955577233
05/2007,9090.73857900802
06/2007,8888.276305969932
07/2007,9145.55555118393
08/2007,9533.991623543245
09/2007,9206.078461470124
10/2007,9069.997034870576
11/2007,9353.929550320801
12/2007,9340.753971204565
01/2008,9735.435133808573
02/2008,9744.909802493825
03/2008,9802.43136803476
04/2008,9346.905422560123
05/2008,9196.544703573993
06/2008,9128.736453086764
07/2008,9069.787381332017
08/2008,9661.264684257285
09/2008,10323.481016719072
10/2008,12406.839148700945
11/2008,12844.288370985165
12/2008,12538.993833610244
01/2009,13644.2670342911
02/2009,12666.28132252559
03/2009,11964.184262548895
04/2009,11999.576400036512
05/2009,11545.672837637225
06/2009,11627.517385335468
07/2009,11635.268951275586
08/2009,11869.197119727165
09/2009,12107.049988748404
10/2009,11808.468281777268
11/2009,12295.925927919836
12/2009,11916.56728936329
01/2010,12627.019597310426
02/2010,13131.010606124184
03/2010,12567.371258185593
04/2010,12817.605741585316
05/2010,14382.518328659611
06/2010,14996.888989361789
07/2010,14447.360160704757
08/2010,15387.051824210019
09/2010,14404.305410872172
10/2010,14613.834573851875
11/2010,14828.025467295829
12/2010,14957.182370375993
01/2011,14397.96268382852
02/2011,14271.789963826015
03/2011,13747.186610963148
04/2011,13474.991697007243
05/2011,13956.406043368912
06/2011,13969.795902873624
07/2011,14795.31989874469
08/2011,14951.412761925305
09/2011,15991.250785442317
10/2011,15178.362295607165
11/2011,15791.153367021709
12/2011,16628.27526355068
01/2012,16659.490747695363
02/2012,15370.082365549528
03/2012,15191.959892193065
04/2012,15840.078185365981
05/2012,17365.40595872401
06/2012,16613.37178255173
07/2012,17560.92707667736
08/2012,17083.68865376391
09/2012,16888.31284983715
10/2012,16307.69655808293
11/2012,15791.732493715343
12/2012,14806.045311083859
01/2013,13660.988730686264
02/2013,14160.00561720999
03/2013,14330.110749090369
04/2013,13396.079430145914
05/2013,12972.457510270222
06/2013,13145.232641635972
07/2013,13030.691711584239
08/2013,13218.471553139163
09/2013,12947.815606284963
10/2013,12977.26942873838
11/2013,12430.244881955123
12/2013,11892.667045765898
01/2014,12632.016456954152
02/2014,12352.396410381416
03/2014,12232.368306975319
04/2014,12276.123033694565
05/2014,12563.447910254128
06/2014,12613.875114170352
07/2014,12734.624258269267
08/2014,12853.745182738532
09/2014,12700.99399312854
10/2014,12593.803230851063
11/2014,12042.999209063402
12/2014,12430.242539200679
01/2015,13605.046845901697
02/2015,13356.59092889208
03/2015,13921.374789394353
04/2015,13415.334345315085
05/2015,13146.419009519206
06/2015,13112.155427432872
07/2015,13100.808680286182
08/2015,13228.94583307444
09/2015,13483.651308407949
10/2015,13582.646485329235
11/2015,13901.339886838701
12/2015,13952.591105707603
01/2016,14126.091367745123
02/2016,15390.756580523124
03/2016,14898.256595386154
04/2016,15744.419505050724
05/2016,15692.180788758284
06/2016,17248.34064355391
07/2016,16981.987371906096
08/2016,16683.0688259755
09/2016,16888.70787386776
10/2016,16629.982757814876
11/2016,15727.698194356575
12/2016,15339.238851324233
01/2017,15401.517931653452
02/2017,15812.935156799495
03/2017,15748.24589105037
04/2017,15553.470629809153
05/2017,15147.751584103107
06/2017,14651.667421236194
07/2017,14414.042341638136
08/2017,14434.311852726649
09/2017,14135.330840909912
10/2017,14206.237580128904
11/2017,14136.732781362121
12/2017,13956.852998159731
01/2018,13857.737333284427
02/2018,14542.353314697015
03/2018,14497.41170617159
04/2018,14329.638835068068
05/2018,14976.413498423386
06/2018,14693.00640950602
07/2018,14472.957545429063
08/2018,14589.705179879596
09/2018,14221.958166720731
10/2018,14697.21690381838
11/2018,14693.053843505528
12/2018,15192.506838742716
01/2019,15342.739448877
02/2019,15152.166405401116
03/2019,15597.803746019352
04/2019,15463.362054520452
05/2019,16094.275740082754
06/2019,15980.937106647347
07/2019,16247.029726982022
08/2019,17105.532531286393
09/2019,16719.830388978473
10/2019,16254.329991932958
11/2019,16164.212449465816
12/2019,15951.961732395383
01/2020,16269.486784632176
02/2020,16667.48975204629
03/2020,16339.832012935145
04/2020,16584.651854810712
05/2020,16118.94926067489
06/2020,15849.96331032389
07/2020,15429.544805139923
08/2020,15112.59816112267
09/2020,15538.77186688425
10/2020,15755.463122525629
11/2020,15402.09361798656
12/2020,15213.22724023779
01/2021,15053.758510602576
02/2021,14650.826040442967
03/2021,14775.30882752117
04/2021,14803.32161988044
05/2021,14811.961143957806
06/2021,14818.581233748848
07/2021,14917.165154962111
08/2021,14899.571484497032
09/2021,14833.994295868371
10/2021,14809.963648476667
11/2021,14849.23439273463
12/2021,14805.455161723417
01/2022,14660.116552417601
02/2022,14548.666650426343
03/2022,14500.911271688627
04/2022,14432.216624185145
05/2022,14393.350100821706
06/2022,14191.760775900719
07/2022,14310.409556662044
08/2022,14271.974895785552
09/2022,14049.940644501383
10/2022,14025.638792542286
11/2022,13914.794602308368
12/2022,13685.643290635904
01/2023,13623.967848110393
