Data,JP Morgan Diversified Factor Global Developed (Region Aware) Equity
10/2003,10000
11/2003,9877.792251332678
12/2003,9977.664655655553
01/2004,10281.53575087076
02/2004,10582.171059249918
03/2004,10834.009348629465
04/2004,10817.447629493534
05/2004,10755.976830948342
06/2004,11094.119162372059
07/2004,11029.207192323454
08/2004,11074.633661154268
09/2004,11218.484106088452
10/2004,11224.284022937822
11/2004,11397.51870518272
12/2004,11514.618597750692
01/2005,11874.696660922029
02/2005,12207.469390857521
03/2005,12348.8536822344
04/2005,12090.209678912872
05/2005,12876.176089892964
06/2005,13421.340953808489
07/2005,13936.060020766165
08/2005,14021.112189256573
09/2005,14537.324644910734
10/2005,14087.358264899023
11/2005,14822.093589738475
12/2005,15234.957343179198
01/2006,15611.563553864775
02/2006,15975.462545902672
03/2006,16079.188333441787
04/2006,15983.313140958888
05/2006,15181.405754475394
06/2006,15481.32972655556
07/2006,15543.240293765477
08/2006,15857.809679178225
09/2006,16287.284572981234
10/2006,16841.876396325395
11/2006,16709.837167629663
12/2006,17138.92547682162
01/2007,17636.562047014675
02/2007,17413.445037897585
03/2007,17702.301458663238
04/2007,18039.199331322103
05/2007,18733.82738508794
06/2007,18477.876564211536
07/2007,17790.73232979811
08/2007,17831.48076879008
09/2007,17973.322477250615
10/2007,18170.933386446228
11/2007,17091.596922023666
12/2007,16917.79406709352
01/2008,15565.161428125803
02/2008,15271.9831395921
03/2008,14440.187854427297
04/2008,15411.733788209636
05/2008,15892.716274887298
06/2008,14495.763053118302
07/2008,14393.690096728098
08/2008,15126.605610320114
09/2008,13731.121392430361
10/2008,12604.333669850526
11/2008,12048.805787029343
12/2008,11597.544372382636
01/2009,11791.79548345508
02/2009,10888.126133269705
03/2009,10980.963617106998
04/2009,12146.668844298
05/2009,12409.53690338705
06/2009,12378.337972131976
07/2009,13334.165022993064
08/2009,13693.071231407675
09/2009,13913.393748724551
10/2009,13459.415188099532
11/2009,13861.69414002504
12/2009,14846.47975241329
01/2010,14784.209867664811
02/2010,15500.692784358243
03/2010,16480.19529711649
04/2010,16763.962095615803
05/2010,16601.954540512612
06/2010,16316.601995896479
07/2010,16444.467800844963
08/2010,16458.89103205016
09/2010,16748.21053929384
10/2010,17116.090063752792
11/2010,17881.936272557443
12/2010,18514.560265983175
01/2011,18356.3241009434
02/2011,18722.948199534414
03/2011,18420.41967614502
04/2011,18570.920665324633
05/2011,19039.952062725835
06/2011,18728.84094355099
07/2011,18593.56929719648
08/2011,17316.575840266403
09/2011,17203.89732631091
10/2011,18152.23629500636
11/2011,18599.549814754948
12/2011,19324.94120355557
01/2012,19695.669545412275
02/2012,20109.688278969727
03/2012,20549.04385693137
04/2012,20701.002903931327
05/2012,20539.95605035038
06/2012,21192.001102291928
07/2012,22165.00013626128
08/2012,22023.670096880305
09/2012,22040.802993801277
10/2012,21802.976175550863
11/2012,22085.16156482621
12/2012,21955.214170980533
01/2013,22447.210239097985
02/2013,23314.287478576545
03/2013,24634.99584316814
04/2013,24949.269901751897
05/2013,24784.537220051505
06/2013,24191.266384640923
07/2013,25034.020958344092
08/2013,24513.364560313978
09/2013,25210.677791511145
10/2013,25928.33865549536
11/2013,26368.72443681673
12/2013,26553.265363124716
01/2014,26285.328669667208
02/2014,27085.265643108254
03/2014,27391.59259973392
04/2014,27561.748376052477
05/2014,28678.768551389367
06/2014,29158.199842242862
07/2014,29183.047948920896
08/2014,30315.347506306967
09/2014,30879.862073170523
10/2014,31531.870550731448
11/2014,32200.872374119885
12/2014,32819.715791251976
01/2015,35137.43641307362
02/2015,36941.562299782796
03/2015,38127.5166307732
04/2015,37047.60868667351
05/2015,37997.55645422978
06/2015,36258.195790344806
07/2015,37834.36343998246
08/2015,35055.78884261712
09/2015,34292.9379317526
10/2015,37391.874261620665
11/2015,38776.614347915434
12/2015,37154.21561178599
01/2016,35579.97978341742
02/2016,35776.70478519247
03/2016,36504.05853931794
04/2016,36857.60384049587
05/2016,37816.63747336984
06/2016,38243.30300477272
07/2016,39473.82807864176
08/2016,39079.47735496212
09/2016,39349.96281698528
10/2016,39246.75911102692
11/2016,40644.175934752544
12/2016,42033.7821351876
01/2017,42158.91210592625
02/2017,43986.513179396425
03/2017,44222.14842759818
04/2017,43813.461432232514
05/2017,43802.87003591598
06/2017,43121.05429385745
07/2017,42878.335614724245
08/2017,42672.73459828685
09/2017,43607.206877655735
10/2017,45056.41186967397
11/2017,45144.60352759127
12/2017,45145.88639997825
01/2018,45112.421818425806
02/2018,44159.74991843098
03/2018,43474.02810533635
04/2018,44884.16730906953
05/2018,46585.29290976885
06/2018,46484.233684286926
07/2018,47627.738833458316
08/2018,48085.8740285622
09/2018,48684.403762123075
10/2018,46369.87877600952
11/2018,46881.45669997948
12/2018,43454.789160284934
01/2019,46599.61026603398
02/2019,48108.57212875252
03/2019,49372.75945256818
04/2019,50366.912946161654
05/2019,48185.98358982302
06/2019,50030.01331633192
07/2019,51108.4789260949
08/2019,50722.43805974826
09/2019,52839.96368305206
10/2019,52399.62989956776
11/2019,54040.766014981375
12/2019,54237.02211769048
01/2020,54404.48672758467
02/2020,49938.61271055799
03/2020,42375.11803072198
04/2020,46784.79459495813
05/2020,47763.02092484865
06/2020,47852.60055311315
07/2020,47112.24703837698
08/2020,48698.82671291882
09/2020,48715.108410867775
10/2020,47674.28971344103
11/2020,52093.63492608151
12/2020,52674.043889083914
01/2021,52799.2259090699
02/2021,54123.03628092193
03/2021,59294.54127361182
04/2021,59578.92331691779
05/2021,60624.35553847092
06/2021,62114.67202519719
07/2021,63068.65970289761
08/2021,64469.068936592026
09/2021,63165.35724989463
10/2021,65360.69582446471
11/2021,65401.88993443614
12/2021,69925.0510976139
01/2022,68278.72986532534
02/2022,67476.49703975701
03/2022,70227.40955013262
04/2022,70365.71876162787
05/2022,70087.63349001066
06/2022,65718.75765389792
07/2022,70692.26413773459
08/2022,69378.3124953394
09/2022,64518.98926497996
10/2022,68499.60110581284
11/2022,70247.58992531315
12/2022,66531.17814283117
01/2023,69019.51921826655
02/2023,68218.77562341624
03/2023,67425.8318669454
04/2023,67918.98953654653
05/2023,66761.8796591498
06/2023,69206.9223755726
