Data,Close
07/2009,10000
08/2009,10313.11868678791
09/2009,10450.75260297834
10/2009,10154.189985290295
11/2009,10410.53915412717
12/2009,11049.630786513822
01/2010,10924.827990524678
02/2010,11400.314695157103
03/2010,12186.174358481801
04/2010,12335.970477480474
05/2010,12065.865597224018
06/2010,11684.346109669421
07/2010,11895.715179410186
08/2010,11763.891272866931
09/2010,11946.695265953942
10/2010,12203.119920894955
11/2010,12726.683963539432
12/2010,13288.112742063186
01/2011,13258.599245497104
02/2011,13579.7523308691
03/2011,13090.553074820087
04/2011,13044.808605096116
05/2011,13193.826169381578
06/2011,12921.810880205181
07/2011,12857.073375015669
08/2011,11791.914165981556
09/2011,11527.04338405088
10/2011,12265.029351535313
11/2011,12483.4201284425
12/2011,12936.281227169857
01/2012,13338.943062502434
02/2012,13710.434864439949
03/2012,13974.87405577137
04/2012,13962.318298732414
05/2012,13588.858717633915
06/2012,14066.89845033918
07/2012,14600.307888668818
08/2012,14579.83772464097
09/2012,14608.380959798094
10/2012,14436.875200881968
11/2012,14627.213366899274
12/2012,14664.927875249921
01/2013,15004.587948853205
02/2013,15508.800777045784
03/2013,16271.08934649515
04/2013,16437.959659562446
05/2013,16524.87582052069
06/2013,16023.755574399298
07/2013,16616.90030534836
08/2013,16309.593715575535
09/2013,16780.182399693436
10/2013,17260.374588276612
11/2013,17602.96131972298
12/2013,17737.88497506226
01/2014,17425.478717115293
02/2014,17901.481957896893
03/2014,17956.911405141203
04/2014,18056.712238891825
05/2014,18737.776210805514
06/2014,18998.634590550886
07/2014,19082.131748698
08/2014,19781.882356084487
09/2014,20166.99747094727
10/2014,20389.716961382735
11/2014,20863.255816948604
12/2014,21101.577475015074
01/2015,22247.8845575558
02/2015,23683.845522103653
03/2015,24351.41747967359
04/2015,23905.115556702218
05/2015,24519.207243297747
06/2015,23476.242033211343
07/2015,24377.477149940183
08/2015,22256.85318733955
09/2015,21455.17132687783
10/2015,23542.72742527983
11/2015,24391.545949018557
12/2015,23280.819520175766
01/2016,21818.034842666726
02/2016,21715.665791897685
03/2016,22173.345153463575
04/2016,22484.95739409046
05/2016,23112.26525617093
06/2016,22956.474872876315
07/2016,23898.840197896545
08/2016,23873.89485597775
09/2016,23934.371302728032
10/2016,23928.198726761417
11/2016,24978.07242619075
12/2016,25799.666551823448
01/2017,25892.29999954903
02/2017,27003.089914627584
03/2017,27046.272700038407
04/2017,26842.071305704234
05/2017,26694.592632715223
06/2017,26344.35028904634
07/2017,26245.870653871603
08/2017,26060.634136912737
09/2017,26684.084258556333
10/2017,27576.402575178672
11/2017,27667.61503439287
12/2017,27700.471301782054
01/2018,28072.171806611765
02/2018,27439.900885029605
03/2018,26604.13205202311
04/2018,27444.54015995862
05/2018,28508.97081205566
06/2018,28590.833380735035
07/2018,29283.105005866513
08/2018,29856.81978477729
09/2018,30212.607526122578
10/2018,28627.26903984863
11/2018,28843.195644851883
12/2018,26433.404939541575
01/2019,28391.434650797375
02/2019,29424.87652654408
03/2019,30286.724246321206
04/2019,31403.1474246339
05/2019,29763.71964125622
06/2019,31081.63246751879
07/2019,31871.872696951916
08/2019,31539.96120678737
09/2019,32640.754571679492
10/2019,32670.714024344452
11/2019,34101.096050733395
12/2019,34329.151020383935
01/2020,34676.35645433062
02/2020,31956.44759318823
03/2020,27775.065577389745
04/2020,31031.323763864242
05/2020,31765.710555741854
06/2020,32420.12217940892
07/2020,32102.03212160078
08/2020,33977.67737331361
09/2020,33449.871334281735
10/2020,32445.93787574367
11/2020,35727.712260267515
12/2020,36353.310426519274
01/2021,36386.322897500286
02/2021,37358.815849528764
03/2021,39899.33174856123
04/2021,40515.7850582677
05/2021,40691.82612555829
06/2021,42393.16045748471
07/2021,43120.07622444226
08/2021,44398.93926548572
09/2021,43485.25370179726
10/2021,45680.61547911738
11/2021,45780.83568930712
12/2021,47885.833404459416
01/2022,46035.268509514994
02/2022,44691.01763486898
03/2022,46315.40537077101
04/2022,44720.491451517875
05/2022,44024.188759575925
06/2022,41465.418704517615
07/2022,45580.2032175472
08/2022,44531.75298472557
09/2022,41428.861731170575
10/2022,43653.58174690263
11/2022,44602.70089963416
12/2022,41539.89871947549
01/2023,43786.49260570933
