Date,Close
05/1988,10000
06/1988,10279.596981973755
07/1988,10919.103699748535
08/1988,10637.635805110895
09/1988,10832.985224092427
10/1988,10998.615193217374
11/1988,10872.257767618583
12/1988,10941.597613180167
01/1989,11825.223593238803
02/1989,11860.547541434067
03/1989,12076.883512633221
04/1989,12558.62130264171
05/1989,12992.898901214503
06/1989,13345.32364969398
07/1989,13828.463224786961
08/1989,13899.306813189629
09/1989,14595.537256410762
10/1989,13911.098747159396
11/1989,14037.649435644335
12/1989,14048.09382170322
01/1990,13078.005163328342
02/1990,12608.577471443275
03/1990,12263.806070978348
04/1990,11625.864393046155
05/1990,12426.680699405286
06/1990,12519.441935018936
07/1990,12469.066903201548
08/1990,10747.628577246143
09/1990,9832.869793886819
10/1990,10487.857613279459
11/1990,9931.968653222195
12/1990,10083.555087284414
01/1991,10317.126570386905
02/1991,11038.214340441502
03/1991,11747.091007804816
04/1991,12467.253675724905
05/1991,12700.847613697146
06/1991,12774.185510824593
07/1991,13274.55060566492
08/1991,12767.306780106539
09/1991,12760.401471884661
10/1991,12929.89741743131
11/1991,12110.55268329532
12/1991,12437.853422561297
01/1992,12145.366999019901
02/1992,12224.445613515634
03/1992,11959.072249815154
04/1992,12080.762302538595
05/1992,12226.619066122918
06/1992,11811.184530241464
07/1992,11345.467336202653
08/1992,11102.339557857516
09/1992,11151.388108824338
10/1992,11420.078603330972
11/1992,12175.903388433233
12/1992,12358.133696557583
01/1993,12648.778707952624
02/1993,13371.71120757639
03/1993,14043.429251985379
04/1993,14080.647020576691
05/1993,14202.62951007612
06/1993,14552.63397527182
07/1993,15652.065954956899
08/1993,16294.567885864792
09/1993,15427.669969908538
10/1993,16054.279142755142
11/1993,15561.47497155468
12/1993,16227.533159533188
01/1994,17155.895931400013
02/1994,16750.461001812066
03/1994,15749.981277059167
04/1994,16031.068280401543
05/1994,15654.900662233038
06/1994,15345.307313689438
07/1994,15153.769303062101
08/1994,15452.7934995567
09/1994,15086.113324987995
10/1994,15020.91308340393
11/1994,14764.699159136397
12/1994,15305.54019285449
01/1995,14779.03327653272
02/1995,14851.137487709695
03/1995,14961.579040423881
04/1995,15101.44064316101
05/1995,15634.350862932632
06/1995,15543.183368794565
07/1995,15842.409190597295
08/1995,16118.627353621043
09/1995,16744.39115400026
10/1995,16410.875466274945
11/1995,16817.246779246372
12/1995,17770.05832881526
01/1996,18415.947346815603
02/1996,18437.965055308356
03/1996,18548.471235955905
04/1996,19075.620761399357
05/1996,19366.801973327987
06/1996,19368.03841584283
07/1996,18541.28928218629
08/1996,18610.63802619218
09/1996,19152.425562520104
10/1996,19411.468620244406
11/1996,20186.262162370418
