Date,Close
05/1988,10000
06/1988,9910.496064672134
07/1988,10021.189835391848
08/1988,9548.073066352517
09/1988,9793.973672132266
10/1988,10195.349414473207
11/1988,10493.383689064332
12/1988,10548.726010879916
01/1989,10965.444114774045
02/1989,10863.005605903836
03/1989,10987.400476254254
04/1989,11362.284919138472
05/1989,11270.696583806395
06/1989,11371.052104976043
07/1989,12319.75514543509
08/1989,12193.883417384017
09/1989,12610.990957223668
10/1989,12489.652691990445
11/1989,12786.139353939252
12/1989,13344.664877677687
01/1990,12797.969172481311
02/1990,12503.875916654
03/1990,11952.276153255078
04/1990,11477.26123911356
05/1990,12471.206594329264
06/1990,12479.69514898388
07/1990,12816.2855836921
08/1990,11555.354969688584
09/1990,10554.234592989844
10/1990,11597.137901772208
11/1990,11204.036886165415
12/1990,11242.03130691332
01/1991,11473.875766310137
02/1991,12483.42193471749
03/1991,12205.256080140063
04/1991,12297.761261918053
05/1991,12362.723090623464
06/1991,11986.876954284236
07/1991,12440.191239010244
08/1991,12234.064211974994
09/1991,12574.456227553319
10/1991,12758.326314670609
11/1991,12414.288930410086
12/1991,13168.042616120349
01/1992,12768.39498253593
02/1992,12573.832306587743
03/1992,11980.518039394436
04/1992,12212.591846622974
05/1992,12600.95083952892
06/1992,12531.507394136972
07/1992,12638.767122283567
08/1992,12687.936537672316
09/1992,12456.159674379824
10/1992,12246.730553280635
11/1992,12254.255439960616
12/1992,12445.708043977076
01/1993,12494.334011925108
02/1993,12887.268247835444
03/1993,13468.333376968867
04/1993,13979.800971414828
05/1993,14066.218325140144
06/1993,14004.079146709455
07/1993,14449.09790017817
08/1993,14928.12504632305
09/1993,14719.277124583292
10/1993,15139.34547213936
11/1993,14290.71956908739
12/1993,14908.993296613167
01/1994,15551.007184748813
02/1994,15242.143448820876
03/1994,14634.391507478736
04/1994,14852.496118634406
05/1994,14822.637975689173
06/1994,14769.3914722406
07/1994,15048.95976663269
08/1994,15328.301407421059
09/1994,15126.714634233038
10/1994,15354.862944295504
11/1994,14871.754377808727
12/1994,15107.464206575542
01/1995,14892.212886230047
02/1995,15130.528634630771
03/1995,15859.450604184449
04/1995,16320.020429799075
05/1995,16638.791847942648
06/1995,16680.97878952153
07/1995,17202.045892939594
08/1995,16987.504116394273
09/1995,17423.41097795005
10/1995,17346.28422913898
11/1995,17737.47847425138
12/1995,18450.163305226015
01/1996,18891.35747642647
02/1996,18805.854066831627
03/1996,18930.64704918482
04/1996,19304.024185592334
05/1996,19363.739805882364
06/1996,19516.36434817064
07/1996,18971.63005548994
08/1996,19216.84796836906
09/1996,19606.307867392636
10/1996,19809.85026476601
11/1996,20868.447591316813
12/1996,20794.87110316282
01/1997,20813.271540970843
02/1997,20999.759871017588
03/1997,20534.714069370133
04/1997,20747.037166567898
05/1997,21967.375309205432
06/1997,22749.18461383091
07/1997,23462.94400537439
08/1997,22091.83339283211
09/1997,23406.798053367067
10/1997,22546.22987772741
11/1997,23050.967767148708
12/1997,23815.5486643335
01/1998,24194.817415434816
02/1998,25421.028160177346
03/1998,26760.25599906976
04/1998,26659.977374512047
05/1998,26568.752794082277
06/1998,26594.297896124397
07/1998,26370.59033790386
08/1998,24016.280561458785
09/1998,24746.474430598042
10/1998,26574.273127811415
11/1998,27313.47508156116
12/1998,28626.45100640746
01/1999,28298.179934003452
02/1999,27365.325013984013
03/1999,27852.2070099379
04/1999,29002.395527050678
05/1999,28573.404768313896
06/1999,28758.953109579743
07/1999,29124.607622572945
08/1999,28724.795781566612
09/1999,28595.42043160502
10/1999,29490.287231172268
11/1999,29507.719520319613
12/1999,30850.581216065824
01/2000,29299.334631144076
02/2000,28366.075914973695
03/2000,30191.31709310475
04/2000,29747.907169064016
05/2000,29485.185459765617
06/2000,30041.065995112214
07/2000,29634.61089817892
08/2000,30394.882158301465
09/2000,30623.14277012147
10/2000,30611.57363342303
11/2000,30241.926328652287
12/2000,30985.351334152874
01/2001,30007.4190992657
02/2001,29373.867960309475
03/2001,28048.81597410786
04/2001,29139.95379411285
05/2001,29392.063330661866
06/2001,28724.402404330063
07/2001,28834.95454306823
08/2001,28457.65229266831
09/2001,26927.32604452725
10/2001,26694.84830610004
11/2001,27504.179669972495
12/2001,27637.688145604767
01/2002,26892.235893593333
02/2002,27301.503255474476
03/2002,28137.574959478905
04/2002,28074.06721882714
05/2002,28452.31309319428
06/2002,27445.328501408512
07/2002,25479.647314836275
08/2002,25744.048882104275
09/2002,23692.36257248277
10/2002,24304.16065901808
11/2002,24761.86580159836
12/2002,24759.052311805975
01/2003,23997.119537747203
02/2003,23599.221148876884
03/2003,23697.75773256891
04/2003,25225.2457995265
05/2003,26550.929375386488
06/2003,26736.437328287782
07/2003,26701.707648387954
08/2003,27065.027818325376
09/2003,27692.003097941724
10/2003,28694.85009576337
11/2003,29337.694695424863
12/2003,30901.22166285809
01/2004,31232.43608655708
02/2004,31874.76640148387
03/2004,32301.27639199812
04/2004,31589.251804242056
05/2004,31909.953516532372
06/2004,32517.90437701068
07/2004,31874.81901291913
08/2004,32468.63387898259
09/2004,32982.06061100574
10/2004,33807.95581425041
11/2004,35627.51227977616
12/2004,36976.64111901251
01/2005,36100.29553394452
02/2005,37183.977300187
03/2005,36762.63010542162
04/2005,36773.87193056322
05/2005,37108.81637620508
06/2005,37598.716958729994
07/2005,38488.57877933988
08/2005,38609.25746388126
09/2005,39271.77639645694
10/2005,38248.489987047666
11/2005,39057.4226606657
12/2005,39705.03905320185
01/2006,40805.51279098303
02/2006,41081.418394620916
03/2006,41500.019279921384
04/2006,42291.9315800952
05/2006,41316.669992376774
06/2006,41494.11770010615
07/2006,42412.286773451386
08/2006,43587.38434993866
09/2006,43991.98097847054
10/2006,45295.78325787688
11/2006,46551.45068936675
12/2006,47700.04173539939
01/2007,48366.471437576765
02/2007,48256.470791237596
03/2007,48897.25958883701
04/2007,50660.66984943771
05/2007,51301.37938871445
06/2007,49744.47025878225
07/2007,48383.083277956786
08/2007,49058.79385440637
09/2007,51023.81724895793
10/2007,52255.643576132316
11/2007,51109.27655916715
12/2007,50184.90457241542
01/2008,47633.18907091602
02/2008,47064.56899072774
03/2008,46668.614943325694
04/2008,47939.076230379695
05/2008,48444.90600042722
06/2008,45312.10268068174
07/2008,45361.92700179371
08/2008,45349.77731178234
09/2008,42543.40798230588
10/2008,35785.312551832045
11/2008,34535.60426095032
12/2008,35179.8587895712
01/2009,32643.835417102215
02/2009,29411.33055039722
03/2009,30505.792721390037
04/2009,32679.7410556423
05/2009,34921.25890053446
06/2009,35365.32779603061
07/2009,37780.33578422428
08/2009,38825.5233765994
09/2009,40270.10019485724
10/2009,39163.56328264361
11/2009,40814.899395183056
12/2009,40837.572855541366
01/2010,39828.791296144336
02/2010,40389.96322299837
03/2010,41729.565470345755
04/2010,41594.83482119203
05/2010,38999.94709754705
06/2010,39202.7573464059
07/2010,40989.00470097739
08/2010,41113.83102221975
09/2010,43478.25858403173
10/2010,44623.88361295413
11/2010,43614.99265657659
12/2010,45615.784562813045
01/2011,45460.85696139337
02/2011,46746.696641757364
03/2011,46896.377044884954
04/2011,48918.67812621796
05/2011,49305.93291851806
06/2011,48792.76303347783
07/2011,48284.99285683551
08/2011,47817.51759775427
09/2011,46232.26133354152
10/2011,48246.86268449369
11/2011,47790.81948751508
12/2011,48795.680095469215
01/2012,49245.0841032672
02/2012,50342.85271260656
03/2012,51067.72841154617
04/2012,51480.482874429865
05/2012,49154.700100215734
06/2012,51211.44710300068
07/2012,52336.16711946559
08/2012,52666.4870210534
09/2012,53534.068498004286
10/2012,53040.405074680246
11/2012,53050.31536061221
12/2012,52569.711854829446
01/2013,54989.45028602907
02/2013,56356.47181976774
03/2013,59201.72742639247
04/2013,60950.2094045347
05/2013,58031.003651430205
06/2013,57716.351090460616
07/2013,59538.358729629595
08/2013,57894.89324595341
09/2013,59770.93243332777
10/2013,61909.6783564174
11/2013,61877.99393429773
12/2013,62166.92018951761
01/2014,60449.14665040724
02/2014,62821.14126121675
03/2014,63464.458869875074
04/2014,64404.248183379765
05/2014,65335.83231767982
06/2014,66393.94057339408
07/2014,65635.352751538
08/2014,67571.17205095287
09/2014,65968.33513058191
10/2014,67936.65580497756
11/2014,69314.69857268449
12/2014,69027.0086292221
01/2015,70007.2150544292
02/2015,72062.39169176453
03/2015,71606.46543666093
04/2015,72340.16923223546
05/2015,71979.0407086171
06/2015,70387.69100399547
07/2015,72634.52621537299
08/2015,69458.18906129099
09/2015,68567.77216852184
10/2015,72630.43443771245
11/2015,71855.78489585631
12/2015,72373.67962671109
01/2016,71150.10102559463
02/2016,72628.49338027301
03/2016,76700.29540001322
04/2016,77460.24071861085
05/2016,77303.8380649007
06/2016,80549.06622943509
07/2016,82083.32237680469
08/2016,79685.94242124763
09/2016,79768.41110035818
10/2016,77057.7968321396
11/2016,75881.15064121093
12/2016,77549.03782686386
01/2017,78938.35018621985
02/2017,81514.99318686604
03/2017,81808.3432768883
04/2017,82631.87942590787
05/2017,85020.2022425204
06/2017,84496.45524612683
07/2017,86085.05292270918
08/2017,86778.00933962622
09/2017,86920.0754715387
10/2017,88132.32553250091
11/2017,90585.48892580354
12/2017,90712.72341229273
01/2018,93421.65633350772
02/2018,89636.98489131127
03/2018,89515.35396523919
04/2018,89566.06468656014
05/2018,89693.33924289
06/2018,90263.19850982567
07/2018,93106.00723511213
08/2018,94520.51463574909
09/2018,95628.88730969066
10/2018,91239.20921423666
11/2018,93845.38935445425
12/2018,88601.53564570073
01/2019,93145.83000533674
02/2019,95946.93338736698
03/2019,97913.44461989605
04/2019,98835.43959043192
05/2019,97868.65330090394
06/2019,102499.70311681337
07/2019,102943.4000911677
08/2019,104674.96913218091
09/2019,105692.96787376757
10/2019,106572.91395591963
11/2019,107139.43903264772
12/2019,108808.17095653988
01/2020,110909.92996611958
