Data,Close
07/1992,10000
08/1992,9547.836378913094
09/1992,9882.723131994046
10/1992,10328.88882271503
11/1992,11379.785063313946
12/1992,11511.425919202593
01/1993,11833.803892860209
02/1993,12293.340249231662
03/1993,12613.907174950995
04/1993,11889.582923097087
05/1993,12237.148082204994
06/1993,12630.517639417234
07/1993,13112.629920155405
08/1993,13713.490471408597
09/1993,13066.617726833334
10/1993,13492.813478369346
11/1993,13722.444407010356
12/1993,13881.522604383417
01/1994,14547.382063366105
02/1994,14097.382816423047
03/1994,13203.320755272814
04/1994,13410.744420463021
05/1994,13337.193662625965
06/1994,12798.345616040804
07/1994,12810.570364604419
08/1994,13350.478257307963
09/1994,12883.78230889972
10/1994,12920.831485599376
11/1994,12634.755647494523
12/1994,13083.781997978464
01/1995,13148.0961059381
02/1995,13510.313574661985
03/1995,13367.820651378806
04/1995,13497.497404998096
05/1995,14253.174960686025
06/1995,14461.843372660413
07/1995,14767.09755356568
08/1995,15251.703506886071
09/1995,16098.522831331693
10/1995,15790.641893095382
11/1995,16518.662117417676
12/1995,17102.662540741483
01/1996,17898.624447937087
02/1996,18167.47153888127
03/1996,18329.744459610964
04/1996,18757.659037322675
05/1996,19473.882713579897
06/1996,19395.602926350613
07/1996,18256.026440888138
08/1996,18471.220642110973
09/1996,19679.0533772191
10/1996,20283.734905217523
11/1996,21535.8895741693
12/1996,21575.302993241923
01/1997,23545.62674841429
02/1997,24762.876114910174
03/1997,24019.800368832122
04/1997,25591.035868744766
05/1997,27064.694308257396
06/1997,28593.580953615852
07/1997,31726.141527321794
08/1997,30801.443065043968
09/1997,31634.71781118883
10/1997,30021.60388734001
11/1997,30763.434536703182
12/1997,32134.497335906915
01/1998,33235.631139875775
02/1998,35552.59119176249
03/1998,37509.13904261656
04/1998,37628.061073039076
05/1998,36416.1797283172
06/1998,38168.74635293597
07/1998,37849.73990585093
08/1998,32243.605246652256
09/1998,32706.931779579016
10/1998,34059.21897740916
11/1998,37167.03803427381
12/1998,39056.15724071317
01/1999,42017.00061303708
02/1999,42061.42296874687
03/1999,44866.078394066724
04/1999,47238.97784245835
05/1999,46743.10915546709
06/1999,49946.351176866185
07/1999,46728.2654657314
08/1999,47026.87660434968
09/1999,45340.78195571099
10/1999,49185.46977234299
11/1999,51952.30245973651
12/1999,55288.77289579088
01/2000,53875.780729401005
02/2000,53272.208259234714
03/2000,59466.73503130079
04/2000,60645.83864800962
05/2000,58006.5563931573
06/2000,57860.09533395793
07/2000,58881.31613892029
08/2000,64902.190988306706
09/2000,62461.48533189377
10/2000,64765.84648888522
11/2000,57822.18836280192
12/2000,54224.45963288466
01/2001,56218.08574932066
02/2001,51337.82426817481
03/2001,50347.872232373935
04/2001,53988.93308364539
05/2001,56886.02862009656
06/2001,55498.65845371732
07/2001,53223.46081817623
08/2001,47693.42770704235
09/2001,43969.3164653593
10/2001,45246.60865641564
11/2001,49503.45761276201
12/2001,50416.29661226623
01/2002,50690.40633086969
02/2002,49629.836949053824
03/2002,51062.99202412513
04/2002,46452.313860356095
05/2002,44246.073749947675
06/2002,38669.826414583884
07/2002,36353.16391957538
08/2002,36403.95235694709
09/2002,32356.916088055048
10/2002,35188.962918259356
11/2002,37021.930304030706
12/2002,32984.3054891174
01/2003,31141.562994469692
02/2003,30769.48596341211
03/2003,30744.455045708924
04/2003,32569.81714463806
05/2003,32280.18107403737
06/2003,33820.431903138
07/2003,34746.49717531653
08/2003,36689.98267997876
09/2003,34039.869817182516
10/2003,36056.64263682167
11/2003,35243.91733410099
12/2003,35222.6782381297
01/2004,36579.946194095006
02/2004,36985.011545825626
03/2004,37003.31030185996
04/2004,37265.04689329513
05/2004,36997.23704693173
06/2004,37848.22399938382
07/2004,36946.28239522476
08/2004,36873.34621164855
09/2004,36375.765035646575
10/2004,35978.618384675494
11/2004,35861.42532726914
12/2004,36192.447837809064
01/2005,36895.850886797794
02/2005,37039.595126709195
03/2005,37204.15383240868
04/2005,36516.418701839466
05/2005,39589.27773886045
06/2005,40427.08889588816
07/2005,41925.0232473964
08/2005,41182.803900207655
09/2005,42052.12751191356
10/2005,41414.32680462052
11/2005,43906.256082054046
12/2005,43815.09827618508
01/2006,43781.65095905371
02/2006,44796.61518237352
03/2006,44493.91191953997
04/2006,43531.7757794022
05/2006,41189.16934026948
06/2006,41745.81518094341
07/2006,41823.5788727693
08/2006,42536.7131155172
09/2006,44289.05511119788
10/2006,45600.3661279357
11/2006,44691.003201508924
12/2006,45418.908267883766
01/2007,46872.318407743
02/2007,45059.20605787083
03/2007,45194.87175681291
04/2007,46198.90782007476
05/2007,48348.908553006106
06/2007,47360.19031324223
07/2007,45213.11947595854
08/2007,45895.30856587388
09/2007,46017.785702357534
10/2007,45880.24247318054
11/2007,43024.68349707953
12/2007,42840.13071895015
01/2008,39864.86048995624
02/2008,37812.5516369027
03/2008,36111.602712942695
04/2008,38531.40711516139
05/2008,39109.101880271046
06/2008,35228.52764951151
07/2008,35272.99204280915
08/2008,37908.77084649847
09/2008,35571.87001664114
10/2008,33182.77424861636
11/2008,30872.69400161408
12/2008,28531.720513091685
01/2009,28369.975056421015
02/2009,25692.633391039864
03/2009,26547.726390229436
04/2009,29159.569597081212
05/2009,28991.593511601597
06/2009,28973.71229454032
07/2009,31154.827962354146
08/2009,31974.99405432433
09/2009,32326.267784527507
10/2009,31387.601022451792
11/2009,32774.86913004227
12/2009,34837.14062018151
01/2010,34640.27485595639
02/2010,36753.72812818576
03/2010,39232.97682162051
04/2010,40341.220175439186
05/2010,40158.230085739095
06/2010,38165.63990421865
07/2010,38464.63117775871
08/2010,37734.41524527068
09/2010,38184.80192120694
10/2010,39038.07085517277
11/2010,41621.28204572193
