Data,Close
05/1994,10000
06/1994,9914.558686439603
07/1994,9949.93709364464
08/1994,11404.3884386542
09/1994,11927.046609324736
10/1994,11700.508281115639
11/1994,11360.650238918435
12/1994,11228.404496878293
01/1995,9803.402413833164
02/1995,9951.23834937817
03/1995,9736.83533046767
04/1995,9479.742432268322
05/1995,10104.306778477787
06/1995,10089.10538264077
07/1995,10207.986554915104
08/1995,10190.87876428863
09/1995,10184.072411805644
10/1995,9610.6791056269
11/1995,9404.102641605807
12/1995,9838.115939364829
01/1996,10670.969346026606
02/1996,10773.288139755889
03/1996,10731.64273156904
04/1996,11299.28358839757
05/1996,10942.788169996964
06/1996,10981.254006267656
07/1996,10150.026456770816
08/1996,10182.156268760695
09/1996,10466.176435899557
10/1996,10278.930512701687
11/1996,10161.78580974628
12/1996,10254.825574173112
01/1997,11291.522172523617
02/1997,12538.443808779628
03/1997,12443.038359144724
04/1997,11946.1974251255
05/1997,11796.7337096466
06/1997,12100.281608720958
07/1997,12423.678163607941
08/1997,11229.492336562962
09/1997,10684.516736426693
10/1997,8897.144060205861
11/1997,7744.025103835031
12/1997,7450.605263602185
01/1998,7122.743569725585
02/1998,8117.087336839083
03/1998,8497.684942100568
04/1998,8313.999641988894
05/1998,7444.652012535135
06/1998,6555.008991902883
07/1998,6527.991042920822
08/1998,5078.777897997087
09/1998,4872.038343719136
10/1998,5102.904624014274
11/1998,5824.430299437947
12/1998,5854.139962757587
01/1999,5812.368103472644
02/1999,5877.958542328885
03/1999,6759.6119101926415
04/1999,7734.779462543268
05/1999,7816.123321661807
06/1999,8523.106673422832
07/1999,8118.946302484354
08/1999,8090.604260611233
09/1999,7663.453731221739
10/1999,7881.19436815825
11/1999,8640.415908480509
12/1999,9585.715775416897
01/2000,10501.508213970365
02/2000,10459.129901854574
03/2000,10374.18078361839
04/2000,10060.619852890875
05/2000,9116.052918089748
06/2000,8752.613391892146
07/2000,8788.950701770142
08/2000,9092.119913836568
09/2000,8351.28055556588
10/2000,7884.8979900242675
11/2000,7210.628596183949
12/2000,6634.5085932352895
01/2001,7320.013065788898
02/2001,7106.360482792245
