Data,Close
12/2004,10000
01/2005,10445.071863336794
02/2005,10245.73525438058
03/2005,10476.783232626116
04/2005,10542.2949602351
05/2005,11119.906165974464
06/2005,11361.83762115174
07/2005,11326.576140109688
08/2005,11299.903287776955
09/2005,11416.006437288903
10/2005,11432.113045732402
11/2005,11716.23472385708
12/2005,11733.629857314449
01/2006,11440.896702223543
02/2006,11683.588394662509
03/2006,11476.82042538839
04/2006,11115.046647041729
05/2006,10844.539202578726
06/2006,10996.3251584375
07/2006,11031.199908080469
08/2006,11037.0695764281
09/2006,11262.349507501536
10/2006,11273.29146209389
11/2006,10898.256654527835
12/2006,10923.871058316563
01/2007,11129.180054957726
02/2007,11000.783443174054
03/2007,10954.319799748459
04/2007,10761.487371112386
05/2007,10873.137817756502
06/2007,10876.536919336299
07/2007,10815.072451261318
08/2007,10928.818155082115
09/2007,10638.677379876408
10/2007,10480.113631071492
11/2007,10435.805837462663
12/2007,10490.32242448584
01/2008,10567.407301138028
02/2008,10465.862207240709
03/2008,10061.012130126901
04/2008,10153.278676294136
05/2008,10133.958594699357
06/2008,9999.796180720057
07/2008,10138.303708424508
08/2008,10797.149551892677
09/2008,11212.620296050161
10/2008,12693.522769426985
11/2008,12872.385745374215
12/2008,11843.671536480966
01/2009,12815.311156888862
02/2009,12976.335491175065
03/2009,12394.967230615859
04/2009,12409.071680022495
05/2009,11704.485126906688
06/2009,11655.976873216074
07/2009,11668.392051046641
08/2009,11606.249560081367
09/2009,11339.33155964593
10/2009,11243.456459093682
11/2009,11143.57745259112
12/2009,11528.52177090802
01/2010,11983.43381217949
02/2010,12357.009009700263
03/2010,12408.77882814126
04/2010,12596.295154681418
05/2010,13690.243842942631
06/2010,13793.77744117357
07/2010,13027.899396969202
08/2010,13411.094808413489
09/2010,12481.26045064458
10/2010,12321.348369873393
11/2010,13110.881591291629
12/2010,12729.225869113576
01/2011,12442.051891085426
02/2011,12303.260594242221
03/2011,11973.757333151822
04/2011,11499.064484277615
05/2011,11921.11868169476
06/2011,11868.712060729405
07/2011,12063.2965705099
08/2011,11946.94730937325
09/2011,12766.773772821625
10/2011,12323.180326779016
11/2011,12865.937570059928
12/2011,13348.686501281549
01/2012,13124.892333318063
02/2012,12845.47043465363
03/2012,12921.428565269684
04/2012,13088.548446898396
05/2012,13950.297657259991
06/2012,13735.11717630022
07/2012,14111.268564325226
08/2012,13746.638209913472
09/2012,13408.444418218347
10/2012,13335.701511135794
11/2012,13355.357267043215
12/2012,13148.725717917816
01/2013,12804.919604715104
02/2013,13226.852591200459
03/2013,13564.897242333167
04/2013,13301.522135980127
05/2013,13348.703918840361
06/2013,13265.425807208674
07/2013,13091.0565128222
08/2013,13118.069316584008
09/2013,12885.05141347164
10/2013,12769.799919259945
11/2013,12809.78882935953
12/2013,12625.209855597477
01/2014,12903.044511212054
02/2014,12636.74404936821
03/2014,12645.39747855097
04/2014,12605.61824061878
05/2014,12854.72585035443
06/2014,12800.869359349554
07/2014,13057.06849756729
08/2014,13269.028311991398
09/2014,13898.962722550772
10/2014,14004.600107956416
11/2014,14073.55919785489
12/2014,14434.302165402165
01/2015,15580.829274572434
02/2015,15636.59142861756
03/2015,16374.590448782148
04/2015,15714.253182504059
05/2015,16076.306521428307
06/2015,15766.60791139676
07/2015,16095.948514595268
08/2015,15730.668437774304
09/2015,15795.54298551987
10/2015,16047.283814941666
11/2015,16668.888389423428
12/2015,16181.63516698553
01/2016,16232.37039017146
02/2016,16298.2640646612
03/2016,15614.200388476656
04/2016,15595.130105990655
05/2016,15926.752316773678
06/2016,16096.004880426879
07/2016,16072.130413210265
08/2016,16017.067319551177
09/2016,15995.022268094419
10/2016,16296.158073262452
11/2016,16702.654030546924
12/2016,16859.740076168404
01/2017,16542.79570474053
02/2017,16807.700469362037
03/2017,16667.104270815544
04/2017,16325.912561120389
05/2017,15922.321895081297
06/2017,15642.032815073868
07/2017,15255.26589918896
08/2017,15158.603787314229
09/2017,15156.811145101665
10/2017,15364.707885064865
11/2017,15059.017357351084
12/2017,14880.142669577695
01/2018,14280.446219365578
02/2018,14557.95259055282
03/2018,14460.623147172333
04/2018,14724.654638100623
05/2018,15259.687672120075
06/2018,15315.19804001582
07/2018,15211.158259304277
08/2018,15372.240917386633
09/2018,15452.021966902703
10/2018,15827.825309633243
11/2018,15827.055786562716
12/2018,15828.603069659304
01/2019,15818.907433065651
02/2019,15933.7531670895
03/2019,16291.606173143033
04/2019,16349.242189933153
05/2019,16568.19206764355
06/2019,16319.948853875367
07/2019,16634.624906669178
08/2019,16946.86053132276
09/2019,17155.546914482115
10/2019,16803.129844251544
11/2019,17060.236589521206
12/2019,16712.952543302483
01/2020,17082.428420253207
02/2020,17352.411156357823
03/2020,17626.529722123138
04/2020,17764.445206071458
05/2020,17362.136442876865
06/2020,17270.443937861983
07/2020,16339.92577417221
08/2020,16209.862712235392
09/2020,16535.4631249584
10/2020,16542.414894307483
11/2020,16160.342389458789
12/2020,15784.94746573243
01/2021,15961.363821714142
02/2021,15967.889154711405
03/2021,16510.52026180489
04/2021,16030.393578889309
05/2021,15885.450678146648
06/2021,16282.653434431646
07/2021,16301.956837682836
08/2021,16379.286483055343
09/2021,16722.505519708673
10/2021,16572.058054129426
11/2021,16979.457422977448
12/2021,16997.597273629108
01/2022,17136.446433914585
02/2022,17000.020564609167
03/2022,16908.72999772252
04/2022,17724.64121728106
05/2022,17542.5017584537
06/2022,17977.58349522111
07/2022,18387.287446847724
08/2022,18602.675231644935
09/2022,18860.939557154343
10/2022,18525.763995802226
11/2022,17817.01716226261
12/2022,17364.62810869433
01/2023,17219.549820520664
02/2023,17430.867285924636
03/2023,17299.483579649466
04/2023,17176.768055014323
05/2023,17593.41363620072
06/2023,17207.78445938489
07/2023,17022.14529313714
08/2023,17332.022228845497
09/2023,17774.139840044736
10/2023,17792.181989677614
11/2023,17463.714316376274
12/2023,17470.330573779556
01/2024,17884.593964302272
02/2024,17824.158849206364
03/2024,17902.67072888975
04/2024,17998.832354245016
05/2024,17900.30044360412
06/2024,18249.302056789387
07/2024,18254.5098017337
08/2024,17988.259850816477
09/2024,17958.54250106727
