Data,ICE US Treasury 20+ Year Bond
12/2004,10000
01/2005,10809.370653759734
02/2005,10493.056980562405
03/2005,10654.189717305491
04/2005,11077.842075407398
05/2005,11999.6405692628
06/2005,12483.031005808383
07/2005,12106.235168677877
08/2005,12410.054007169243
09/2005,12113.923850024325
10/2005,11869.673956554618
11/2005,12212.251265474677
12/2005,12528.11144697723
01/2006,12041.958738500429
02/2006,12436.663532770406
03/2006,11642.565619509887
04/2006,10924.370287925725
05/2006,10652.387770509453
06/2006,10885.360710185887
07/2006,11063.844692312614
08/2006,11348.269204718572
09/2006,11733.764444702038
10/2006,11805.841011428185
11/2006,11621.836322449646
12/2006,11322.535252702593
01/2007,11389.546813334902
02/2007,11563.495249123021
03/2007,11265.366234629859
04/2007,11124.764160261488
05/2007,11003.577180354701
06/2007,10846.317013699334
07/2007,11026.565126067542
08/2007,11236.013464058806
09/2007,10892.171914565737
10/2007,10863.329071226117
11/2007,11190.810756289091
12/2007,11170.446275949495
01/2008,11291.578671174851
02/2008,11035.99401619919
03/2008,10789.665851365537
04/2008,10710.863111410386
05/2008,10446.759597148493
06/2008,10540.872822168183
07/2008,10576.85254170828
08/2008,11547.758420892285
09/2008,12093.833769919447
10/2008,13310.651340124794
11/2008,15242.174785378827
12/2008,15805.379246945846
01/2009,14916.759019882411
02/2009,14886.15276040921
03/2009,14737.092424325552
04/2009,13759.300136086295
05/2009,12487.204445419007
06/2009,12571.213174912977
07/2009,12609.573554814187
08/2009,12792.435549630545
09/2009,12771.781025669892
10/2009,12325.254165332482
11/2009,12270.701942242758
12/2009,11995.67900648252
01/2010,12700.1868142295
02/2010,13080.649799057204
03/2010,12846.588637471246
04/2010,13438.613051023503
05/2010,15295.9805563484
06/2010,16185.942760153659
07/2010,15150.135218498435
08/2010,16827.935282496233
09/2010,15279.195058610656
10/2010,14352.09727044764
11/2010,15107.23714939391
12/2010,14148.911778731203
01/2011,13386.338683158534
02/2011,13446.74910537199
03/2011,13101.085649310517
04/2011,12772.72105617953
05/2011,13681.094594550834
06/2011,13307.186879127097
07/2011,14105.458673144578
08/2011,15304.057184180812
