Data,Close
07/2009,10000
08/2009,9946.15955061039
09/2009,9716.839746132557
10/2009,9634.116148768284
11/2009,9547.971406329825
12/2009,9877.2400615106
01/2010,10266.41684517267
02/2010,10585.866361065853
03/2010,10629.598449991707
04/2010,10789.608479597384
05/2010,11726.02270837148
06/2010,11814.01770427232
07/2010,11157.373590059155
08/2010,11484.899545466376
09/2010,10687.944550984268
10/2010,10550.385282144212
11/2010,11225.822449337791
12/2010,10898.385665695789
01/2011,10651.88008355141
02/2011,10532.436823476637
03/2011,10249.744989013165
04/2011,9842.801734322953
05/2011,10203.491375608886
06/2011,10158.040439918594
07/2011,10323.986372040323
08/2011,10223.810347267736
09/2011,10924.794877951284
10/2011,10544.565424576895
11/2011,11008.370962268758
12/2011,11420.779102899221
01/2012,11228.64058700558
02/2012,10988.933864102995
03/2012,11053.272858914948
04/2012,11195.586089846773
05/2012,11932.049701269942
06/2012,11747.304244972202
07/2012,12068.331916039699
08/2012,11755.7863600174
09/2012,11465.885606280672
10/2012,11403.012541101953
11/2012,11419.154492534266
12/2012,11241.81338736827
01/2013,10947.212463962473
02/2013,11307.293833522517
03/2013,11595.619861570596
04/2013,11369.803697436972
05/2013,11409.470249999975
06/2013,11337.624818015258
07/2013,11187.934419108251
08/2013,11210.367586890196
09/2013,11010.58248967711
10/2013,10911.45506634166
11/2013,10944.98802700089
12/2013,10786.6409072816
01/2014,11023.386169520327
02/2014,10795.236147928483
03/2014,10801.998821452173
04/2014,10767.388335159221
05/2014,10979.54142126646
06/2014,10932.900778065707
07/2014,11151.0762700688
08/2014,11331.44498779044
09/2014,11868.733484816707
10/2014,11958.248015624928
11/2014,12016.433239211343
12/2014,12323.745607235103
01/2015,13301.91079026887
02/2015,13348.740989247932
03/2015,13977.981829121807
04/2015,13413.477093029298
05/2015,13721.73854522658
06/2015,13456.598577699944
07/2015,13736.901609955785
08/2015,13424.356222253591
09/2015,13478.936264615739
10/2015,13692.969996551536
11/2015,14222.579556182816
12/2015,13806.005462634346
01/2016,13848.48688532872
02/2016,13903.895596167078
03/2016,13319.516255124325
04/2016,13302.471595517432
05/2016,13584.565655602912
06/2016,13728.135520556089
07/2016,13706.97239766228
08/2016,13659.212758275527
09/2016,13639.61614677027
10/2016,13895.611441682022
11/2016,14241.416910267804
12/2016,14374.52462739711
01/2017,14103.46102979835
02/2017,14328.481292487815
03/2017,14207.78790243715
04/2017,13916.11198463904
05/2017,13571.281898005478
06/2017,13331.587764314956
07/2017,13001.171534063382
08/2017,12918.033663842916
09/2017,12915.752437380006
10/2017,13092.156522147221
11/2017,12830.916124094034
12/2017,12677.758897088494
01/2018,12166.082928885085
02/2018,12401.792010358813
03/2018,12318.154474112616
04/2018,12542.348815340018
05/2018,12997.354246890904
06/2018,13043.876715532793
07/2018,12954.5056676636
08/2018,13090.935215715564
09/2018,13158.112781473534
10/2018,13477.359186685168
11/2018,13475.917760160883
12/2018,13476.449096326525
01/2019,13467.408119563095
02/2019,13564.396300483602
03/2019,13868.245133566405
04/2019,13916.498866299155
05/2019,14102.057526699598
06/2019,13889.942083243053
07/2019,14156.953273283185
08/2019,14421.856625743889
09/2019,14598.608427208865
10/2019,14297.86556824134
11/2019,14515.804916197254
12/2019,14219.469441339319
01/2020,14532.992025164967
02/2020,14761.833914120625
03/2020,14994.167646991513
04/2020,15110.61204660935
05/2020,14767.52279810192
06/2020,14688.671466572056
07/2020,13896.400367914883
08/2020,13784.976734028069
09/2020,14061.065400512874
10/2020,14066.156665239212
11/2020,13740.456625468008
12/2020,13420.472649439393
01/2021,13569.68020728702
02/2021,13574.436206275624
03/2021,14034.939609603587
04/2021,13625.984220253273
05/2021,13501.98655218882
06/2021,13838.805113336904
07/2021,13854.404023102834
08/2021,13919.31533098244
09/2021,14210.175050497743
10/2021,14081.501356622097
11/2021,14426.85267698185
12/2021,14441.42390890103
01/2022,14558.549905970784
02/2022,14441.79781620215
03/2022,14363.402535957406
04/2022,15055.654056097535
05/2022,14900.063020310805
06/2022,15268.738934590598
07/2022,15615.818422191749
08/2022,15797.830431801089
09/2022,16016.233046427074
10/2022,15730.67615307642
11/2022,15127.944380263269
12/2022,14742.950683277468
01/2023,14618.916024475628
