Data,Close
07/2009,10000
08/2009,10144.435048153917
09/2009,10127.46419759928
10/2009,9772.797142841966
11/2009,9728.972148927713
12/2009,9510.349416084966
01/2010,10068.338719315287
02/2010,10369.371388100066
03/2010,10183.22013622495
04/2010,10651.911393761404
05/2010,12123.5040187258
06/2010,12828.175610708513
07/2010,12006.497606090465
08/2010,13335.455488284199
09/2010,12107.363838958909
10/2010,11372.017420449765
11/2010,11969.696141482798
12/2010,11209.701991756376
01/2011,10604.887342729464
02/2011,10652.126898000748
03/2011,10377.680901406591
04/2011,10116.970148626398
05/2011,10835.881179845775
06/2011,10539.101761096374
07/2011,11170.70682847096
08/2011,12119.275848344796
09/2011,14574.384321772339
10/2011,13429.909106998
11/2011,14440.167560800466
12/2011,15490.324030423182
01/2012,15150.723849533058
02/2012,14511.794522320037
03/2012,13998.629544995429
04/2012,14799.327684683429
05/2012,17099.091933566342
06/2012,16603.391152440745
07/2012,17642.18998906523
08/2012,16963.18518181067
09/2012,16155.330520448268
10/2012,16061.982447640137
11/2012,16291.112859043162
12/2012,15695.873974843984
01/2013,14685.146945184417
02/2013,15346.47241741571
03/2013,15698.842089416634
04/2013,16062.884251735055
05/2013,15040.048832277525
06/2013,14478.433431139681
07/2013,13952.33171955352
08/2013,13896.78509645437
09/2013,13633.590290057877
10/2013,13687.22151146579
11/2013,13354.743926391402
12/2013,12917.131290002948
01/2014,13963.35391589001
02/2014,13782.862173934356
03/2014,13916.301192094492
04/2014,14155.684039988086
05/2014,14842.37173720744
06/2014,14754.959690264011
07/2014,15167.901413991294
08/2014,16058.443041250022
09/2014,16494.12732391181
10/2014,17048.530295658093
11/2014,17605.120842264172
12/2014,18680.887694094847
01/2015,21975.21137554466
02/2015,20767.662955372303
03/2015,21963.97312715343
04/2015,20370.471065376427
05/2015,20435.608611583953
06/2015,19208.642098690816
07/2015,20317.020340386094
08/2015,19879.131359429462
09/2015,20194.03488879585
10/2015,20428.045311859045
11/2015,21087.74992433021
12/2015,20484.689851452462
01/2016,21493.43968370738
02/2016,22234.302321488387
03/2016,21249.659430872587
04/2016,21095.340868249914
05/2016,21760.538394709765
06/2016,23312.110418826094
07/2016,23799.938845731485
08/2016,23531.877308135994
09/2016,23056.127282317724
10/2016,22505.5495588293
11/2016,21378.929403175243
12/2016,21448.44622343752
01/2017,21102.684764113128
02/2017,21763.64438761732
03/2017,21443.562632291418
04/2017,21303.512716985377
05/2017,21179.92530936783
06/2017,20924.534838630134
07/2017,20217.3148500908
08/2017,20772.391740402087
09/2017,20337.171653650385
10/2017,20619.83916811337
11/2017,20411.51054336405
12/2017,20532.733099612684
01/2018,19110.27157422765
02/2018,18887.835553739384
03/2018,19311.017801980408
04/2018,19308.008978919617
05/2018,20371.57293378308
06/2018,20488.933005171348
07/2018,20030.580070217333
08/2018,20501.33513164931
09/2018,20003.276428643425
10/2018,19805.653241735497
11/2018,20105.50205118019
12/2018,21065.976759096695
01/2019,21124.8216412754
02/2019,20995.084951801753
03/2019,22479.038698807744
04/2019,22091.8422850411
05/2019,23726.98175822246
06/2019,23547.830090573414
07/2019,24072.377016094055
08/2019,26971.663128737033
09/2019,26609.555843648737
10/2019,25737.19766062961
11/2019,26012.55326309136
12/2019,24694.410670598198
01/2020,26873.840264885992
02/2020,28917.449086985227
03/2020,31009.614094763652
04/2020,31601.906345086587
05/2020,30234.225959349973
06/2020,30122.027505339305
07/2020,29723.625802708564
08/2020,28145.19127522788
09/2020,28850.456160125093
10/2020,27979.867799271735
11/2020,27669.190022493178
12/2020,26672.918775750455
01/2021,25889.76170894556
02/2021,24171.54770121036
03/2021,24010.13373761712
04/2021,23870.167886761596
05/2021,23648.685992856423
06/2021,25334.10329886289
07/2021,26257.207017741395
08/2021,26317.504197094884
09/2021,26102.99457618886
10/2021,26561.247721082986
11/2021,28004.74994423472
12/2021,27510.157400797358
01/2022,26855.583180286892
02/2022,26309.33157771636
03/2022,25096.515322626834
04/2022,23935.93123687417
05/2022,23020.909058526133
06/2022,23407.987087079404
07/2022,24451.45391442321
08/2022,23803.681346423724
09/2022,22427.03522834225
10/2022,20667.142398192238
11/2022,21184.545128144586
12/2022,20211.459614140455
01/2023,21268.697697054926
