Data,Close
07/2009,10000
08/2009,10661.416042605211
09/2009,11122.23827409943
10/2009,10212.500806049238
11/2009,10437.00322879455
12/2009,11727.741300157308
01/2010,11796.371918657042
02/2010,12740.837540863999
03/2010,13870.496219258172
04/2010,14915.930595133832
05/2010,14773.200308644538
06/2010,13613.255771782799
07/2010,13795.114819551285
08/2010,13190.492176958996
09/2010,13670.791962685938
10/2010,13997.09299051322
11/2010,15396.569910558615
12/2010,16227.760126706635
01/2011,15997.450711485255
02/2011,16609.892542413916
03/2011,16436.23503522635
04/2011,16040.36445079209
05/2011,16250.521978544148
06/2011,15824.858935841723
07/2011,15453.32839452877
08/2011,13927.01289696754
09/2011,13196.877570760917
10/2011,14608.949774386923
11/2011,15211.751530808928
12/2011,15843.15318224984
01/2012,16621.891702662717
02/2012,16862.487237749607
03/2012,17258.430928959762
04/2012,17234.62241171927
05/2012,17029.1171677343
06/2012,17413.369300512953
07/2012,17570.513164620254
08/2012,17764.2694819833
09/2012,17854.583110323623
10/2012,17643.68775665353
11/2012,17924.23499665496
12/2012,18255.10557537595
01/2013,19055.8223141151
02/2013,19852.168780954995
03/2013,21391.51653937195
04/2013,21023.78906560275
05/2013,22055.33436796029
06/2013,21663.979478116184
07/2013,22803.70648995818
08/2013,22072.803084648698
09/2013,22856.63913565737
10/2013,23484.42954070018
11/2013,24310.0016764544
12/2013,24533.114583778035
01/2014,24238.6032638611
02/2014,24854.55139672168
03/2014,25162.895320778454
04/2014,24643.57179284825
05/2014,25298.980911474435
06/2014,26299.521385244774
07/2014,25580.051588341048
08/2014,27175.743552197982
09/2014,26729.796318354027
10/2014,27951.657720939962
11/2014,28083.14785009959
12/2014,29243.01872475997
01/2015,30136.65885375569
02/2015,32272.581551216597
03/2015,34008.89813552084
04/2015,32220.13807626467
05/2015,33296.36800839633
06/2015,32135.77903953345
07/2015,31951.995607797853
08/2015,29780.553899516937
09/2015,28299.540820437855
10/2015,30534.20104457524
11/2015,32333.67366886306
12/2015,29503.55764248823
01/2016,27166.969920761647
02/2016,27754.41236215004
03/2016,29239.277242237964
04/2016,30177.09983845477
05/2016,30867.14970520409
06/2016,30767.30166859247
07/2016,32324.276689263534
08/2016,32646.926407752482
09/2016,32762.85305807429
10/2016,32086.378313046964
11/2016,37049.50417005942
12/2016,38451.29766761208
01/2017,37892.67697951335
02/2017,38922.768341064584
03/2017,38133.46013322432
04/2017,37259.73099953437
05/2017,35255.021592144265
06/2017,35540.90812021277
07/2017,34873.58458014958
08/2017,33845.907848139366
09/2017,35949.69771605411
10/2017,36622.27301397378
11/2017,37007.24675140063
12/2017,36845.442572397325
01/2018,36142.79520814416
02/2018,34900.00629355194
03/2018,34871.96277366882
04/2018,35964.33765089041
05/2018,38980.46471845005
06/2018,39533.34090205086
07/2018,40100.184704900006
08/2018,41439.794428375266
09/2018,40840.014598800684
10/2018,37873.107335899476
11/2018,38197.6165284466
12/2018,32963.53007974598
01/2019,37025.091243042414
02/2019,38769.68961327496
03/2019,38328.455101170366
04/2019,39870.35618810707
05/2019,36070.096519606945
06/2019,37958.67448793976
07/2019,38898.56468928511
08/2019,36822.845310268385
09/2019,39177.49728818737
10/2019,38973.929687104195
11/2019,40811.40999130964
12/2019,41616.13211155431
01/2020,39738.18875275649
02/2020,35793.316610524416
03/2020,25793.25158748126
04/2020,30352.17360095648
05/2020,31260.395881655495
06/2020,32267.699173427
07/2020,31226.465932957817
08/2020,32902.20166013571
09/2020,31820.69646085736
10/2020,33245.092669169964
11/2020,39277.840875181704
12/2020,41383.678201117684
01/2021,44510.254818692214
02/2021,48694.793076924565
03/2021,53647.42527581409
04/2021,53750.74422540044
05/2021,55149.43955586304
06/2021,55890.607534292016
07/2021,54564.941591242845
08/2021,56018.995857835565
09/2021,56156.94172717625
10/2021,58125.70088825884
11/2021,57651.63649012612
12/2021,60659.07419282572
01/2022,59040.11588528019
02/2022,59892.376242901984
03/2022,60949.97344353132
04/2022,59902.550842704266
05/2022,60373.33056351778
06/2022,55724.04924992817
07/2022,62479.95466646009
08/2022,61940.52853787938
09/2022,57002.33997734137
10/2022,63018.98342142521
11/2022,63178.98983995256
12/2022,57668.60835408225
01/2023,63383.391987558345
