Data,Close
11/1994,10000
12/1994,10405.099244598385
01/1995,10164.392842717507
02/1995,10499.145223713647
03/1995,10216.284937797574
04/1995,10267.996649593251
05/1995,10650.536711029526
06/1995,10993.703951759711
07/1995,11438.66326411275
08/1995,12050.395098478413
09/1995,12379.943546898226
10/1995,11668.038761648057
11/1995,12155.934154511075
12/1995,12592.647755390042
01/1996,12775.38420250754
02/1996,13158.677508379891
03/1996,13540.76615249641
04/1996,14267.2757480695
05/1996,14924.678016771151
06/1996,14440.285069876407
07/1996,13238.349002386638
08/1996,13812.329958218374
09/1996,14420.1869163486
10/1996,14398.087142059507
11/1996,14848.566160629925
12/1996,15484.569646680082
01/1997,16305.59912202381
02/1997,16885.11352256061
03/1997,16436.091103159368
04/1997,16566.653450333455
05/1997,18170.619839034207
06/1997,19537.860744869075
07/1997,21160.001296599385
08/1997,22281.404588048263
09/1997,23356.18699389855
10/1997,22133.428234978543
11/1997,21663.59167702952
12/1997,22576.47929490062
01/1998,22786.477937252745
02/1998,24435.5204333058
03/1998,25613.051255873957
04/1998,25719.427511668346
05/1998,24188.34860310022
06/1998,24126.58167392884
07/1998,22408.570884440403
08/1998,18355.95155052107
09/1998,18361.39107732182
10/1998,18386.28764456278
11/1998,19858.728679051455
12/1998,20527.47237495747
01/1999,21249.486284258608
02/1999,20141.767830822297
03/1999,20668.17401228822
04/1999,23010.864152118524
05/1999,23836.269573450652
06/1999,25143.397703330756
07/1999,23816.686985225366
08/1999,23086.808347678056
09/1999,22492.207617440225
10/1999,22568.12570171243
11/1999,24167.058041002278
12/1999,25442.08212223771
01/2000,25163.87053824942
02/2000,25965.948591723285
03/2000,27530.783458599395
04/2000,28006.005417721517
05/2000,26590.825516500056
06/2000,26590.07630598577
07/2000,27932.373863464247
08/2000,30676.196386705597
09/2000,30643.021599543645
10/2000,31258.661618153743
11/2000,29069.267544910184
12/2000,29630.55034067706
01/2001,32789.95487571291
02/2001,31647.909919982703
03/2001,31914.77645833333
04/2001,33767.274209103205
05/2001,37003.031577830196
06/2001,38016.079867924534
07/2001,36337.87990177043
08/2001,34275.23685739245
09/2001,29770.575566750627
10/2001,31324.55793408538
11/2001,34392.655500112385
12/2001,39245.95294224442
01/2002,40295.256927173796
02/2002,40282.79819674027
03/2002,43675.638613021554
04/2002,43377.958126110134
05/2002,40333.79580909769
06/2002,35538.06597493735
07/2002,31241.14361238884
08/2002,31128.40588426727
09/2002,28328.039154158214
10/2002,28948.636804541766
11/2002,31193.025385312783
12/2002,28303.30376847526
01/2003,26819.53527551776
02/2003,25982.243952884437
03/2003,26076.691612666364
04/2003,28930.847774683323
05/2003,30063.921478599226
06/2003,31801.74309442549
07/2003,33279.33618837251
08/2003,36034.997267319486
09/2003,33414.34520425678
10/2003,36195.2169987954
11/2003,36453.33561614141
12/2003,36089.94177830563
01/2004,37930.45664890182
02/2004,38641.746021903695
03/2004,39629.26352912305
04/2004,38768.48669791579
05/2004,38613.80854730284
06/2004,40303.51777375566
07/2004,38955.03557936706
08/2004,38754.95727025018
09/2004,39042.25852687566
10/2004,38697.1615278323
11/2004,40182.00317713427
12/2004,40710.26922546068
01/2005,41271.917790563864
02/2005,41552.7731236328
03/2005,41823.75729404505
04/2005,40010.021120629775
05/2005,44813.15698807883
06/2005,47224.86138604036
07/2005,49819.43485156703
08/2005,48494.29233972783
09/2005,48872.42931738915
10/2005,47131.694272644105
11/2005,50054.475450760474
12/2005,49912.511965754005
01/2006,51605.24724707049
02/2006,52385.003368421065
03/2006,53091.2685624587
04/2006,51680.86919518226
05/2006,48490.33844109419
06/2006,48943.087670888075
07/2006,47529.49643299132
08/2006,48167.26098824995
09/2006,49508.91157503949
10/2006,51708.75891304348
11/2006,51440.72408787879
12/2006,51881.269365224005
01/2007,54259.37865524163
02/2007,53402.92822647794
03/2007,53505.155559393315
04/2007,53921.08974200661
05/2007,57005.80295101465
06/2007,55517.533827471314
07/2007,50845.945894798286
08/2007,50931.14022181686
09/2007,49643.049791945836
10/2007,49416.5586973074
11/2007,45067.27992954406
12/2007,44564.78321988996
01/2008,42719.89108540686
02/2008,40031.24839058483
03/2008,38035.001175056925
04/2008,40563.94674388674
05/2008,42200.09554810421
06/2008,36512.421154529315
07/2008,37788.4886400615
08/2008,42085.70812351545
09/2008,39430.4262364539
10/2008,34513.85722505291
11/2008,31406.868737330093
12/2008,30694.64191851693
01/2009,29541.467077091136
02/2009,25656.33028313825
03/2009,27760.652442140065
04/2009,35826.42588775895
05/2009,36912.27044261598
06/2009,36728.42905759163
07/2009,40927.49950488047
08/2009,43644.741855381166
09/2009,45542.12546199549
10/2009,41828.41745675676
11/2009,42758.3928296612
12/2009,48056.98780508122
01/2010,48350.231038235725
02/2010,52233.435186440685
03/2010,56877.73958157133
04/2010,61178.89606909501
05/2010,60608.7709758674
06/2010,55865.1159155733
07/2010,56625.38248848634
08/2010,54157.719085173514
09/2010,56143.280523153575
10/2010,57497.37112506316
11/2010,63260.52801200185
12/2010,66691.48900164646
01/2011,65761.65553461877
02/2011,68295.69637415066
03/2011,67598.73434926444
04/2011,65987.5026258412
05/2011,66868.55407299272
06/2011,65133.7291856362
07/2011,63620.8255483871
08/2011,57352.941947404855
09/2011,54360.50412204696
10/2011,60190.69415470324
11/2011,62689.360207184385
12/2011,65307.11064997296
01/2012,68533.4778870674
02/2012,69542.6071784572
03/2012,71192.90476040733
04/2012,71112.49026335706
05/2012,70282.324676288
06/2012,71885.77507069104
07/2012,72552.46694724847
08/2012,73370.66700182381
09/2012,73762.02647950503
10/2012,72909.20224890327
11/2012,74086.73795164023
12/2012,75472.8561815977
01/2013,78802.16152324724
02/2013,82115.01949729607
03/2013,88502.79067239362
04/2013,87003.52317778459
05/2013,91294.15610179919
06/2013,89697.03528593274
07/2013,94438.3586787194
08/2013,91435.03411711373
09/2013,94704.87857978528
10/2013,97329.7602404516
11/2013,100775.62514289914
12/2013,101725.71996084404
01/2014,100529.97028262801
02/2014,103109.75688699054
03/2014,104414.70716420078
04/2014,102285.85158844765
05/2014,105031.7705886676
06/2014,109211.89298433154
07/2014,106251.511987443
08/2014,112906.0788489536
09/2014,111081.54452515299
10/2014,116187.02856755033
11/2014,116762.64209885446
12/2014,121614.28316777862
01/2015,125361.10892879256
02/2015,134277.36372953738
03/2015,141535.27033553304
04/2015,134126.34832634867
05/2015,138640.02181768464
06/2015,133842.2003968183
07/2015,133110.22193671926
08/2015,124097.3951029871
09/2015,117956.94709274302
10/2015,127300.85240083508
11/2015,134834.90105870122
12/2015,123066.72119224766
01/2016,113350.99583333333
02/2016,115830.36827332845
03/2016,122056.2665050505
04/2016,126001.6216872753
05/2016,128914.35994262151
06/2016,128529.58061790669
07/2016,135065.93455952493
08/2016,136447.8823553719
09/2016,136966.50995072126
10/2016,134172.71994335833
11/2016,154960.11976492713
12/2016,160861.882610758
01/2017,158565.09566527198
02/2017,162915.2409285647
03/2017,159652.23924048268
04/2017,156034.1361591949
05/2017,147677.93913911417
06/2017,148912.39393620752
07/2017,146153.61171484608
08/2017,141883.2035315011
09/2017,150737.833427071
10/2017,153595.6401581028
11/2017,155248.6381298
12/2017,154608.66760110063
01/2018,151698.91244280327
02/2018,146520.59073358442
03/2018,146439.48585666748
04/2018,151063.35731765875
05/2018,163769.95875032057
06/2018,166133.7188471436
07/2018,168557.339568848
08/2018,174230.40187108403
09/2018,171752.2316931583
10/2018,159317.87392648883
11/2018,160722.79113830446
12/2018,138739.6871510917
01/2019,155869.01344707524
02/2019,163252.42787666435
03/2019,161435.27910458393
04/2019,167969.9573970405
05/2019,152001.82317460317
06/2019,159998.41875746928
07/2019,164000.12008250385
08/2019,155289.6859623052
09/2019,165258.5711782533
10/2019,164441.19669535596
11/2019,172235.11669459115
12/2019,175674.3190599965
01/2020,167790.8689956569
02/2020,151175.9547471987
03/2020,108977.66891566268
04/2020,128266.56757263702
05/2020,132136.73016343397
06/2020,136427.6043222004
07/2020,132059.38443281568
08/2020,139179.2284154104
09/2020,134639.1603997267
10/2020,140699.69989057962
11/2020,166266.63887312188
12/2020,175222.40464346833
01/2021,188504.43113381678
02/2021,206273.40599620497
03/2021,227304.55445799572
04/2021,227799.14378248635
05/2021,233783.85518891897
06/2021,236984.18452877822
07/2021,231422.41702127657
08/2021,237647.24986479632
09/2021,238291.8641782538
10/2021,246705.51192443108
11/2021,244755.0955751122
12/2021,257584.10408793925
01/2022,250773.71788633923
02/2022,254456.3991034914
03/2022,259013.27916223762
04/2022,254626.90072296016
05/2022,256691.6939531411
06/2022,236988.33235582948
07/2022,265779.7117905472
08/2022,263551.524436
09/2022,242605.8524579401
10/2022,268273.74938269117
11/2022,269021.9700616808
12/2022,245625.5125876618
01/2023,270027.6599575372
02/2023,270018.17069968925
03/2023,245398.27788873567
04/2023,239786.3604207267
05/2023,238313.85786015168
06/2023,258203.5183913124
07/2023,273158.2221573075
08/2023,266658.9599282297
09/2023,259070.4807494809
10/2023,243065.7715566438
11/2023,257829.81917299426
12/2023,287324.05603619915
01/2024,280763.44521177444
02/2024,290079.5466654351
03/2024,304394.41387290723
04/2024,286806.7724892704
05/2024,297840.0933413196
06/2024,293778.4104437179
07/2024,320755.4385205024
08/2024,310775.87275006773
09/2024,312703.89997677744
