Data,Close
07/2006,10000
08/2006,10229.43227265317
09/2006,10471.398085190567
10/2006,10771.21438014465
11/2006,10629.30904950762
12/2006,10907.907174128435
01/2007,11196.857279777256
02/2007,10951.827708477562
03/2007,11069.135157921173
04/2007,11281.885254786483
05/2007,11778.827427589107
06/2007,11659.65506349412
07/2007,11253.838592182421
08/2007,11302.901816442592
09/2007,11353.873716883803
10/2007,11522.068725744273
11/2007,10920.648611347146
12/2007,10812.970882320222
01/2008,9858.288251208356
02/2008,9559.857765158155
03/2008,9070.411603426786
04/2008,9726.622949249444
05/2008,9893.597402049407
06/2008,8959.109816409622
07/2008,8850.10893264201
08/2008,9245.103324300038
09/2008,8560.39009603053
10/2008,7681.292312416163
11/2008,7189.105817212333
12/2008,6785.876912867241
01/2009,6703.110788935263
02/2009,6083.320006835055
03/2009,6271.009895845074
04/2009,7001.163472707199
05/2009,7163.296156744578
06/2009,7202.923167072
07/2009,7740.386832654378
08/2009,7968.879701290917
09/2009,8135.491707815464
10/2009,7909.838609934372
11/2009,8087.497764044726
12/2009,8625.67201336849
01/2010,8536.614811194411
02/2010,8807.478707709844
03/2010,9448.06243407423
04/2010,9624.172009468426
05/2010,9418.247165545024
06/2010,9131.090147165776
07/2010,9284.8525626
08/2010,9162.150492816805
09/2010,9341.856796401806
10/2010,9508.826276571324
11/2010,9920.776269094233
12/2010,10345.34387531502
01/2011,10356.764782276581
02/2011,10610.139695519993
03/2011,10261.693804396979
04/2011,10248.797799008194
05/2011,10361.19596894362
06/2011,10116.480790846848
07/2011,10022.390306880283
08/2011,9278.54181407816
09/2011,9078.842607045646
10/2011,9654.334377725034
11/2011,9743.567874356313
12/2011,10087.752966876997
01/2012,10533.228210813739
02/2012,10817.812417141602
03/2012,11000.347520589656
04/2012,10954.76456494982
05/2012,10715.749604370993
06/2012,10973.456396468182
07/2012,11461.89068694496
08/2012,11477.593582682142
09/2012,11571.894009879012
10/2012,11419.208905047493
11/2012,11533.61620408403
12/2012,11611.81263315765
01/2013,11833.518130094999
02/2013,12319.880861859365
03/2013,12815.456255437972
04/2013,12873.053124216412
05/2013,13114.515738696653
06/2013,12746.859192230022
07/2013,13130.160983494647
08/2013,12961.11263205445
09/2013,13265.945071016158
10/2013,13724.955910602659
11/2013,13952.199283674157
12/2013,14067.507911127015
01/2014,13839.874375668796
02/2014,14179.237136247133
03/2014,14245.962801349997
04/2014,14307.080265382701
05/2014,14841.952011416844
06/2014,15061.631157065656
07/2014,15179.285665281615
08/2014,15750.809211209538
09/2014,15936.670527158945
10/2014,16189.051389331835
11/2014,16587.851800405504
12/2014,16815.16553934465
01/2015,17726.075120815658
02/2015,18884.402551059742
03/2015,19421.309723073104
04/2015,19073.974273334603
05/2015,19871.478509981072
06/2015,18803.06174059945
07/2015,19274.371650069905
08/2015,17766.411016082944
09/2015,16893.431549567576
10/2015,18759.73731591924
11/2015,19519.78688103945
12/2015,18659.172206617714
01/2016,17093.160695369686
02/2016,17406.48564352024
03/2016,17762.498977185413
04/2016,17953.123022426364
05/2016,18577.373458831244
06/2016,18418.194363404466
07/2016,19079.873196959095
08/2016,19195.23319816437
09/2016,19136.08127635771
10/2016,19240.136797350977
11/2016,20157.94186837528
12/2016,20899.763342467497
01/2017,20780.068651773036
02/2017,21789.53413301146
03/2017,21854.43445364781
04/2017,21800.07681867502
05/2017,21603.233633398693
06/2017,21390.105587101647
07/2017,21260.925082284135
08/2017,21055.24301013854
09/2017,21634.33734680558
10/2017,22433.453475211605
11/2017,22396.645829032546
12/2017,22565.301175661556
01/2018,22983.84808552865
02/2018,22416.87244660203
03/2018,21775.773056222537
04/2018,22438.710892571307
05/2018,23349.97960902087
06/2018,23313.915955172095
07/2018,23945.943036031003
08/2018,24367.098271891733
09/2018,24505.22272099932
10/2018,23296.309914014248
11/2018,23597.71815542876
12/2018,21631.966919228067
01/2019,23221.499415503935
02/2019,24078.134596162352
03/2019,24735.84656841893
04/2019,25659.280573265907
05/2019,24313.244625091676
06/2019,25363.588747197682
07/2019,26040.441923141745
08/2019,25781.36075029517
09/2019,26651.65792593349
10/2019,26732.53877682983
11/2019,27778.105541093595
12/2019,28163.254249481957
01/2020,28322.50212463834
02/2020,26167.921886880937
03/2020,22762.73873397998
04/2020,25274.544491335586
05/2020,26101.4173220723
06/2020,26551.37701969693
07/2020,26407.14848507063
08/2020,27868.77269591122
09/2020,27474.814674278823
10/2020,26805.35096744107
11/2020,29485.517744393605
12/2020,30115.532053339393
01/2021,30049.92489506642
02/2021,30835.666089381153
03/2021,32932.929573290785
04/2021,33623.49535539933
05/2021,33608.931643007585
06/2021,35130.99079747502
07/2021,35687.09121731379
08/2021,36712.59110258601
09/2021,36022.56273733498
10/2021,37867.401926010374
11/2021,38011.138026713634
12/2021,39284.79921709989
01/2022,37747.549921877326
02/2022,36227.806352738844
03/2022,38478.29689145162
04/2022,37803.16390053595
05/2022,36390.813814419475
06/2022,34035.44212030026
07/2022,37269.79348482041
08/2022,36568.66256320397
09/2022,34418.67768256037
10/2022,36104.03214150764
11/2022,37147.23446117911
12/2022,34386.931130749435
