Data,Close
07/2006,10000
08/2006,10194.349692695054
09/2006,10475.225582915074
10/2006,10833.230606137686
11/2006,10716.585662246698
12/2006,10987.487978750376
01/2007,11275.584114992906
02/2007,10992.284086231517
03/2007,11123.014461273655
04/2007,11379.965562437881
05/2007,11864.143404583147
06/2007,11788.296370765902
07/2007,11441.450449657024
08/2007,11411.22883443102
09/2007,11618.835660078932
10/2007,11861.765122463765
11/2007,11120.594548255998
12/2007,11018.849617558011
01/2008,10017.022047965884
02/2008,9842.02028084246
03/2008,9301.786242653989
04/2008,9990.892346342638
05/2008,10161.614031425868
06/2008,9150.248867124661
07/2008,9021.276073621506
08/2008,9345.89733837998
09/2008,8443.151192905569
10/2008,7578.738129227128
11/2008,7100.9422509740725
12/2008,6736.0238826455625
01/2009,6676.068672584568
02/2009,6108.808707088492
03/2009,6294.0782915628915
04/2009,7068.396613295663
05/2009,7327.303655956524
06/2009,7268.665924321759
07/2009,7910.629499561266
08/2009,8124.72478116259
09/2009,8280.894321141033
10/2009,8063.715796958078
11/2009,8266.95520735676
12/2009,8794.601630325382
01/2010,8680.236729513274
02/2010,9036.623298108385
03/2010,9688.840745923835
04/2010,9822.197335073915
05/2010,9606.856647891285
06/2010,9350.874368564717
07/2010,9523.17189528448
08/2010,9439.422997488378
09/2010,9617.451116314902
10/2010,9806.249145695907
11/2010,10203.255189445403
12/2010,10659.345466427774
01/2011,10558.438636293418
02/2011,10742.666039460697
03/2011,10457.674155509541
04/2011,10405.332369171094
05/2011,10510.792753255197
06/2011,10299.407345931419
07/2011,10261.552793443228
08/2011,9381.427696751418
09/2011,9080.562677728258
10/2011,9696.435968811533
11/2011,9801.670249421197
12/2011,10135.06492571228
01/2012,10547.116580327694
02/2012,10856.665293463853
03/2012,10988.303844136773
04/2012,10975.373838398493
05/2012,10640.884365935211
06/2012,10999.862979864733
07/2012,11428.975373680898
08/2012,11370.578255230439
09/2012,11442.931871295528
10/2012,11318.572755626623
11/2012,11467.668095411656
12/2012,11552.842262379343
01/2013,11764.515236405015
02/2013,12131.488989161759
03/2013,12653.600506501549
04/2013,12751.95119627442
05/2013,12781.823578030864
06/2013,12337.45719899182
07/2013,12732.29594874337
08/2013,12502.764355912836
09/2013,12887.59044121155
10/2013,13268.401151903749
11/2013,13481.643863292697
12/2013,13531.03082687687
01/2014,13252.24868728669
02/2014,13577.316883856316
03/2014,13671.771066914362
04/2014,13734.466946246515
05/2014,14279.567375509807
06/2014,14497.00003380907
07/2014,14618.964901909043
08/2014,15154.84943296143
09/2014,15370.110070041423
10/2014,15544.848535700268
11/2014,15853.464008155945
12/2014,15984.866288036501
01/2015,16908.52365102161
02/2015,17941.975125247794
03/2015,18454.619079485732
04/2015,18218.131249544735
05/2015,18608.68301991679
06/2015,17812.24173824996
07/2015,18321.73566962402
08/2015,16695.39581100702
09/2015,16104.311948270124
10/2015,17652.626664095173
11/2015,18230.16385439849
12/2015,17401.68952862223
01/2016,16295.206756258398
02/2016,16223.00474760229
03/2016,16674.002646239776
04/2016,16890.421255857516
05/2016,17287.11803974669
06/2016,17256.771027826755
07/2016,17980.831588113022
08/2016,18001.733212351566
09/2016,18058.814616255775
10/2016,18108.510128484664
11/2016,18776.888184984422
12/2016,19367.545664030764
01/2017,19490.667747779997
02/2017,20341.105470543636
03/2017,20403.812678251437
04/2017,20264.581308317323
05/2017,20165.934965957138
06/2017,19905.27956413806
07/2017,19896.1448770238
08/2017,19805.932541905895
09/2017,20217.83404897313
10/2017,20935.71516276995
11/2017,20961.507685439352
12/2017,21057.817251095043
01/2018,21405.1035399763
02/2018,20917.532714637477
03/2018,20282.172221215882
04/2018,20883.740829145358
05/2018,21565.599513548736
06/2018,21506.32999396248
07/2018,22005.49876730016
08/2018,22317.889963085127
09/2018,22564.3827331733
10/2018,21347.694356731045
11/2018,21577.563892518323
12/2018,19901.45221644979
01/2019,21375.46174240038
02/2019,22069.879517517227
03/2019,22704.922566675992
04/2019,23501.142584727335
05/2019,22243.28771027013
06/2019,23200.461684655584
07/2019,23735.80811366193
08/2019,23414.880636591814
09/2019,24245.46226721612
10/2019,24325.427129241503
11/2019,25297.593322279867
12/2019,25609.09059919076
01/2020,25727.677884118715
02/2020,23803.084872433737
03/2020,20619.032210113546
04/2020,22974.963174267912
05/2020,23425.38672937726
06/2020,24024.03337692595
07/2020,23871.895017813367
08/2020,25151.99120159733
09/2020,24820.66409753984
10/2020,24220.132130651436
11/2020,26571.11428351229
12/2020,27139.699432290403
01/2021,27313.118131959036
02/2021,27979.675716363832
03/2021,29724.703653925102
04/2021,30084.7634683728
05/2021,30262.458500850807
06/2021,31439.22475096758
07/2021,31614.20148443242
08/2021,32550.300887134992
09/2021,31907.20572377582
10/2021,33303.901579959114
11/2021,33262.37685868814
12/2021,34738.46866588543
01/2022,33567.08199903313
02/2022,32580.68267438675
03/2022,33567.18938921256
04/2022,32553.81551034973
05/2022,32059.126917397993
06/2022,30282.569406952247
07/2022,32944.64848928703
08/2022,32378.502851612062
09/2022,30030.24198654892
10/2022,31274.50853329488
11/2022,32210.588512010938
12/2022,30154.450486716967
01/2023,31783.171547191796
