Date,Close
05/1988,10000
06/1988,9910.9127313388
07/1988,10022.024110650289
08/1988,9549.285538448888
09/1988,9795.615257073017
10/1988,10197.46642533509
11/1988,10495.987479615429
12/1988,10551.780866687688
01/1989,10969.059307498414
02/1989,10867.044069856493
03/1989,10991.937979124583
04/1989,11367.435236684543
05/1989,11276.279029157105
06/1989,11377.154101993283
07/1989,12326.840288824726
08/1989,12201.409789754827
09/1989,12619.283170961951
10/1989,12498.390924597292
11/1989,12795.605786098049
12/1989,13355.077973792157
01/1990,12808.512133109023
02/1990,12514.710291409638
03/1990,11963.154023388537
04/1990,11488.205258807044
05/1990,12483.577055204065
06/1990,12492.594178884503
07/1990,12830.053038681855
08/1990,11568.302498779114
09/1990,10566.542400628336
10/1990,11611.10216241651
11/1990,11218.011604820991
12/1990,11256.520832900496
01/1991,11489.133131554667
02/1991,12500.50045600732
03/1991,12222.474897985261
04/1991,12315.61985315209
05/1991,12381.189169102538
06/1991,12005.297517950137
07/1991,12459.808643941526
08/1991,12253.875726146838
09/1991,12595.329541545092
10/1991,12780.029654261332
11/1991,12435.93952517839
12/1991,13191.52592600949
01/1992,12791.715225270247
02/1992,12597.330187482046
03/1992,12003.43202791734
04/1992,12236.449843473885
05/1992,12626.077369967179
06/1992,12557.021539610076
07/1992,12665.02285776334
08/1992,12714.822126828312
09/1992,12483.083915328087
10/1992,12273.722237446322
11/1992,12281.775114002203
12/1992,12474.16940833265
01/1993,12523.426333231408
02/1993,12917.797302811749
03/1993,13500.777176954725
04/1993,14014.039375478125
05/1993,14101.252295178769
06/1993,14039.545902232469
07/1993,14486.27669205963
08/1993,14967.140011785095
09/1993,14758.369892489582
10/1993,15180.16882707663
11/1993,14329.88710515276
12/1993,14950.45245568716
01/1994,15594.874601488393
02/1994,15285.789386619901
03/1994,14676.93405309112
04/1994,14896.284238777169
05/1994,14866.958746582774
06/1994,14814.17248881169
07/1994,15095.205695654568
08/1994,15376.034729038338
09/1994,15174.460869718947
10/1994,15403.961580433966
11/1994,14919.950060043562
12/1994,15157.045430724891
01/1995,14941.71922009832
02/1995,15181.449775585163
03/1995,15913.457460968064
04/1995,16376.258745184257
05/1995,16696.810984470867
06/1995,16739.840731534383
07/1995,17263.44401068695
08/1995,17048.855794621755
09/1995,17487.047336340533
10/1995,17410.36752078322
11/1995,17803.732407383806
12/1995,18519.821117226435
01/1996,18963.45265759209
02/1996,18878.41308477217
03/1996,19004.474159030287
04/1996,19380.099271754385
05/1996,19440.85772902715
06/1996,19594.90014871283
07/1996,19048.790244972188
08/1996,19295.79919191568
09/1996,19687.66315432184
10/1996,19892.87045888067
11/1996,20956.733082082334
12/1996,20883.718520436458
01/1997,20903.067730230658
02/1997,21091.231601402233
03/1997,20625.038932947384
04/1997,20839.155340141053
05/1997,22065.780160416427
06/1997,22852.01105827693
07/1997,23569.94881347612
08/1997,22193.56721227464
09/1997,23515.512072196314
10/1997,22651.926758561196
11/1997,23159.974692963402
12/1997,23929.136255645382
01/1998,24311.210965760307
02/1998,25544.33358645376
03/1998,26891.121735626355
04/1998,26791.473181704354
05/1998,26700.91496291898
06/1998,26727.699673260387
07/1998,26503.983611881515
08/1998,24138.869102532706
09/1998,24873.79595456225
10/1998,26712.03515167402
11/1998,27456.182157409687
12/1998,28777.162108731605
01/1999,28448.361819684706
02/1999,27511.74147345632
03/1999,28002.374823630904
04/1999,29159.93145675658
05/1999,28729.825492544885
06/1999,28917.586665823463
07/1999,29286.463018013077
08/1999,28885.64955529667
09/1999,28756.7532949988
10/1999,29657.867052909285
11/1999,29676.634146247747
12/1999,31028.419474865394
01/2000,29469.52357562378
02/2000,28532.071803273662
03/2000,30369.182975449155
04/2000,29924.42617643739
05/2000,29661.3923724162
06/2000,30221.83080612665
07/2000,29814.189207415544
08/2000,30580.3097785706
09/2000,30811.237101175415
10/2000,30800.880705745192
11/2000,30430.230810474808
12/2000,31179.5527549389
01/2001,30196.790454720405
02/2001,29560.49928954313
03/2001,28228.26007186591
04/2001,29327.554693505095
05/2001,29582.5092743273
06/2001,28911.7548420019
07/2001,29024.232703983424
08/2001,28645.66311242184
09/2001,27106.420046063624
10/2001,26873.52552929306
11/2001,27689.393739053638
12/2001,27824.954989981183
01/2002,27075.611091988394
02/2002,27488.797353452697
03/2002,28331.75005308058
04/2002,28268.984540312584
05/2002,28651.034437648806
06/2002,27638.21049085924
07/2002,25659.8663596884
08/2002,25927.207215899176
09/2002,23862.004301186287
10/2002,24479.17722614734
11/2002,24941.198312608773
12/2002,24939.403663315352
01/2003,24172.95991535133
02/2003,23773.153108090195
03/2003,23873.406478247347
04/2003,25413.211074251736
05/2003,26749.831831208943
06/2003,26937.844066494847
07/2003,26903.97517658441
08/2003,27271.168524250203
09/2003,27904.055457954844
10/2003,28915.74445628756
11/2003,29564.742527827355
12/2003,31141.60167663465
01/2004,31476.69017775316
02/2004,32125.355382627797
03/2004,32556.557011569123
04/2004,31840.261736638407
05/2004,32164.838439947074
06/2004,32778.985588966585
07/2004,32132.102783270977
08/2004,32732.049578561997
09/2004,33251.00554026302
10/2004,34085.02078211009
11/2004,35920.909194072614
12/2004,37282.64497859942
01/2005,36400.600552298696
02/2005,37494.81375838979
03/2005,37071.50662965105
04/2005,37084.387553770954
05/2005,37423.7054262448
06/2005,37919.32241011652
07/2005,38818.35208244646
08/2005,38941.682183202145
09/2005,39611.52795693415
10/2005,38581.03927948817
11/2005,39398.612714932264
12/2005,40053.52803463523
01/2006,41165.329467926014
02/2006,41445.38318640499
03/2006,41869.41959762169
04/2006,42670.12543331581
05/2006,41687.920530980846
06/2006,41868.69969006055
07/2006,42796.90192761606
08/2006,43984.43906220252
09/2006,44394.55400630429
10/2006,45712.13722487593
11/2006,46981.251288701635
12/2006,48142.404607297096
01/2007,48817.02060985581
02/2007,48708.02931479034
03/2007,49356.84377616949
04/2007,51138.8848232939
05/2007,51787.77317242109
06/2007,50218.26064685576
07/2007,48845.99958566987
08/2007,49530.210428879574
09/2007,51516.17991754887
10/2007,52762.0394618074
11/2007,51606.76171778363
12/2007,50675.54240264122
01/2008,48100.99127561614
02/2008,47528.79102552299
03/2008,47130.91184612669
04/2008,48415.92204543493
05/2008,48928.80059022504
06/2008,45766.743793421345
07/2008,45818.9749768599
08/2008,45808.61199556509
09/2008,42975.757402205105
10/2008,36150.773160010984
11/2008,34889.80839703352
12/2008,35542.12427230422
01/2009,32981.46705707142
02/2009,29716.902971832584
03/2009,30823.974388462924
04/2009,33021.88178143219
05/2009,35288.243121269676
06/2009,35738.449038427454
07/2009,38180.42562615839
08/2009,39238.27249792369
09/2009,40699.84135366447
10/2009,39583.19189291245
11/2009,41253.87099332605
12/2009,41278.507222127824
01/2010,40260.55351202562
02/2010,40829.48632090846
03/2010,42185.367332525726
04/2010,42050.92277700263
05/2010,39429.334194318646
06/2010,39636.020260873556
07/2010,41443.660450501106
08/2010,41571.59818187124
09/2010,43964.08376162467
10/2010,45124.341818155415
11/2010,44106.01630007846
12/2010,46131.17115009511
01/2011,45976.415242695475
02/2011,47278.75293872927
03/2011,47432.10690548249
04/2011,49479.4864733119
05/2011,49873.24243640231
06/2011,49356.246117750045
07/2011,48844.66846893065
08/2011,48373.80985739843
09/2011,46772.12685218942
10/2011,48812.202038631214
11/2011,48352.848933529225
12/2011,49371.541602104226
01/2012,49828.30639230943
02/2012,50941.152339122986
03/2012,51676.765371226524
04/2012,52096.59556850334
05/2012,49745.14877617175
06/2012,51828.67423967597
07/2012,52969.10949793875
08/2012,53305.63126378829
09/2012,54185.96250992745
10/2012,53688.545406457626
11/2012,53700.81381630182
12/2012,53216.55472510945
01/2013,55668.28413138422
02/2013,57054.500786366865
03/2013,59937.374884017016
04/2013,61710.08109045524
05/2013,58757.05259276246
06/2013,58440.91149912161
07/2013,60288.227323561216
08/2013,58626.5748717949
09/2013,60528.76640966347
10/2013,62697.15146427491
11/2013,62667.676406829436
12/2013,62962.90107115535
01/2014,61225.756734458904
02/2014,63630.77621398051
03/2014,64285.036142221754
04/2014,65239.655205498595
05/2014,66186.04151890585
06/2014,67260.67659215958
07/2014,66494.98835580275
08/2014,68458.93198201999
09/2014,66837.88921150181
10/2014,68834.93999228385
11/2014,70234.07188576175
12/2014,69945.49251248191
01/2015,70941.65610909909
02/2015,73027.2206987836
03/2015,72568.23293873662
04/2015,73314.81500219893
05/2015,72951.87574464355
06/2015,71342.0577634784
07/2015,73622.32976263463
08/2015,70405.86315772633
09/2015,69506.23116673483
10/2015,73627.39352246733
11/2015,72845.17858918692
12/2015,73373.23951046582
01/2016,72135.81916535163
02/2016,73637.69892325893
03/2016,77769.14869872609
04/2016,78542.92458016597
05/2016,78387.60846384593
06/2016,81681.59964293258
07/2016,83240.83108966611
08/2016,80813.11253487921
09/2016,80900.1149593712
10/2016,78154.4150452452
11/2016,76964.28030339009
12/2016,78659.18180229624
01/2017,80071.66016246649
02/2017,82688.63208741366
03/2017,82989.6511414233
04/2017,83828.53700813436
05/2017,86254.9398715876
06/2017,85727.18051972774
07/2017,87342.48873412599
08/2017,88049.20636691086
09/2017,88197.02231955036
10/2017,89430.75647814364
11/2017,91923.78797998978
