Date,Close
06/1994,10000
07/1994,10008.1480966213
08/1994,10330.756036055789
09/1994,10054.463969460383
10/1994,10400.170545836658
11/1994,9756.050021654044
12/1994,9807.464391972917
01/1995,9472.344621741408
02/1995,9550.956165595702
03/1995,10123.706868175723
04/1995,10567.749846070039
05/1995,10598.12139367192
06/1995,10880.495956999988
07/1995,11297.175104720718
08/1995,11225.135653403024
09/1995,11769.517454319102
10/1995,11910.211478736963
11/1995,12298.626882182973
12/1995,12475.11076836872
01/1996,12847.287717815636
02/1996,13028.158085440693
03/1996,13181.913798140282
04/1996,13311.453830634364
05/1996,13578.415395264221
06/1996,13870.252245421989
07/1996,13322.948144230595
08/1996,13489.538983349014
09/1996,14096.441607075194
10/1996,14215.750708393622
11/1996,15044.266381088377
12/1996,14889.415932151625
01/1997,15568.000463896477
02/1997,15619.854476000646
03/1997,15269.821909077953
04/1997,16191.747961481937
05/1997,17025.87290394341
06/1997,17971.89380488253
07/1997,19331.308179356223
08/1997,17747.18501639289
09/1997,19160.39816127004
10/1997,18173.44483770142
11/1997,18526.314266088728
12/1997,19012.564037877775
01/1998,19556.109908500006
02/1998,20837.63703486189
03/1998,22229.834797082567
04/1998,22738.26405622045
05/1998,22746.62892650963
06/1998,23601.351147963946
07/1998,24547.992379622123
08/1998,20770.66161932417
09/1998,20659.137994852532
10/1998,22173.93838732459
11/1998,23752.864701484745
12/1998,26027.069913970914
01/1999,27252.003646623994
02/1999,26231.333816817125
03/1999,27051.37398355465
04/1999,26884.08424966617
05/1999,26023.47975806864
06/1999,27941.747606038374
07/1999,27842.553406600542
08/1999,27732.703664023174
09/1999,27875.99425213553
10/1999,29745.396797271955
11/1999,31937.08387806767
12/1999,37731.85838743884
01/2000,35356.80078439826
02/2000,38275.84757430414
03/2000,39666.418188630625
04/2000,36814.38507648736
05/2000,34016.719624086894
06/2000,35916.26747809764
07/2000,34453.788660978105
08/2000,36543.66923269389
09/2000,32508.573349392034
10/2000,30624.642687008873
11/2000,29514.917504802772
12/2000,30473.685941245087
01/2001,29116.37182260353
02/2001,27703.45933097586
03/2001,26111.072953064515
04/2001,27333.689654712194
05/2001,27282.60240045768
06/2001,26827.20718561438
07/2001,26455.538672927647
08/2001,26058.47390914841
09/2001,23820.96756113957
10/2001,23213.246442049774
11/2001,23695.08176720277
12/2001,24053.62886828792
01/2002,23848.98280024629
02/2002,23780.634314690622
03/2002,24769.61670440781
04/2002,24713.929809999077
05/2002,24987.157573883138
06/2002,24010.551034917997
07/2002,22469.718671020022
08/2002,22561.112508846185
09/2002,21477.65091542091
10/2002,21350.73783944232
11/2002,21180.123041906914
12/2002,20441.533896146437
01/2003,19869.353052804894
02/2003,19770.1893435957
03/2003,19811.643343914588
04/2003,21127.435895883566
05/2003,22083.04609727153
06/2003,22280.690203138736
07/2003,22586.112497465863
08/2003,22891.456247973172
09/2003,23133.29981019633
10/2003,24463.181995004274
11/2003,24740.10052436543
12/2003,25573.55249336866
01/2004,25857.388002580938
02/2004,26360.710602875693
03/2004,27367.801024672382
04/2004,26445.594527984937
05/2004,26714.00797346072
06/2004,27545.86815056191
07/2004,26393.32618812541
08/2004,26726.26908013049
09/2004,27587.922019612935
10/2004,28082.161284888913
11/2004,30136.996386797437
12/2004,30831.324865376835
01/2005,30451.109957547196
02/2005,32885.44608876386
03/2005,32156.44307917569
04/2005,30798.08105336409
05/2005,31698.37524937902
06/2005,33046.80141515108
07/2005,34482.62965433445
08/2005,35562.48436499537
09/2005,37300.23882682819
10/2005,35758.01160255022
11/2005,36975.86107506942
12/2005,39308.856604812805
01/2006,42276.20908988299
02/2006,41270.18525729738
03/2006,42698.71341975062
04/2006,44172.90257261078
05/2006,41536.144535251406
06/2006,41279.87378691219
07/2006,41085.38168412572
08/2006,41205.27746972404
09/2006,40935.86489399647
10/2006,43428.21505219239
11/2006,45068.843300202185
12/2006,46559.49178917064
01/2007,47322.88579454373
02/2007,47200.35447425452
03/2007,48674.496833728284
04/2007,50487.69990290876
05/2007,52125.62125240547
06/2007,51784.898643854685
07/2007,51551.65386175936
08/2007,50914.17562553308
09/2007,54990.15543325273
10/2007,57480.389995463396
11/2007,55011.16583512465
12/2007,55470.616451523136
01/2008,49597.48849611696
02/2008,50508.39267516373
03/2008,49824.71820369451
04/2008,53133.32000786619
05/2008,54650.35757489912
06/2008,53701.31858160032
07/2008,49284.00671876862
08/2008,48069.581353341004
09/2008,40030.7672530582
10/2008,34560.60771211278
11/2008,32152.424194190455
12/2008,33082.91614825577
01/2009,30173.839696339986
02/2009,27039.428165564932
03/2009,28501.421532124008
04/2009,29702.684271215745
05/2009,31279.463775954213
06/2009,30968.333486674608
07/2009,33498.096604896964
08/2009,34138.12516402191
09/2009,35643.544378578605
10/2009,35184.4199406533
11/2009,36663.82585717937
12/2009,37689.67226750569
01/2010,35224.50179786188
02/2010,36188.65587529501
03/2010,38766.75775417276
04/2010,39256.32913261736
05/2010,35680.78507096018
06/2010,34306.12280475846
07/2010,37031.449943025975
08/2010,35355.775714193915
09/2010,39470.53446624653
10/2010,41235.577580080026
11/2010,41403.58798392213
12/2010,43653.502671735245
01/2011,43969.63469841404
02/2011,45572.42895841461
03/2011,46126.25841879878
04/2011,48527.229829604075
05/2011,47690.808265360996
06/2011,47269.69469162879
07/2011,46615.98517494949
08/2011,44012.475696755195
09/2011,41976.713751762014
10/2011,44742.419556581364
11/2011,44714.358499381
12/2011,45378.24183678799
01/2012,46010.40574825307
02/2012,48073.860755755435
03/2012,49600.82139698592
04/2012,50035.05455276119
05/2012,47736.36568868469
06/2012,49694.73417894107
07/2012,50626.937967679645
08/2012,51299.889805272986
09/2012,52436.22768714031
10/2012,51294.44282529692
11/2012,51873.88768861512
12/2012,51641.33235164359
01/2013,53775.995857848866
02/2013,54595.42447282706
03/2013,56830.38001675603
04/2013,58573.64629843046
05/2013,57806.23646781236
06/2013,58071.19349408315
07/2013,59983.505708804754
08/2013,58222.58164714028
09/2013,61761.56985267373
10/2013,63568.2577431436
11/2013,64957.81743580445
12/2013,66792.44534620947
01/2014,64936.307319408676
02/2014,68637.81239741507
03/2014,66676.90787720997
04/2014,65894.92997393322
05/2014,68243.27321134874
06/2014,69677.76379010483
07/2014,68256.24826542677
08/2014,70387.73739278727
09/2014,68964.85330388306
10/2014,69537.92607145324
11/2014,71725.6602127221
12/2014,70990.29727365274
01/2015,70845.1146050457
02/2015,74499.42476237615
03/2015,73828.69551284825
04/2015,74050.5223209093
05/2015,75475.53459499512
06/2015,74236.77939329983
07/2015,76569.45658236633
08/2015,71491.13909883422
09/2015,68855.63085889044
10/2015,73606.90244144599
11/2015,73694.47281191258
12/2015,73690.95095281144
01/2016,70513.78939613079
02/2016,69586.64315134562
03/2016,73400.49245923058
04/2016,73516.36967916289
05/2016,74987.86228111037
06/2016,77031.08454667724
07/2016,79144.15876155211
08/2016,76949.65433627003
09/2016,77480.38415218664
10/2016,75143.90511966012
11/2016,75464.14801355338
12/2016,76586.43736212971
01/2017,79312.39013213571
02/2017,81179.02476577545
03/2017,82885.89783717527
04/2017,84431.31424105154
05/2017,87979.24544456147
06/2017,88170.73030313305
07/2017,90879.89332476736
08/2017,92179.37067341305
09/2017,94516.8353261651
10/2017,98808.23606878858
11/2017,100629.68559234892
12/2017,100913.8274757047
01/2018,109027.64550870737
