Date,Close
10/2014,10000.0
11/2014,10348.495046591708
12/2014,10530.97671149341
01/2015,11286.770645670858
02/2015,11937.612086942292
03/2015,12359.134217644452
04/2015,11892.133782811608
05/2015,12391.744418189575
06/2015,11949.75192824722
07/2015,12574.783098781596
08/2015,11481.100773741024
09/2015,11069.699105691005
10/2015,12033.370488688137
11/2015,12546.598131394068
12/2015,12190.990481256016
01/2016,11630.119666183453
02/2016,11510.940543553246
03/2016,11611.6800177768
04/2016,11611.649191959365
05/2016,12108.525140663443
06/2016,12496.722180995665
07/2016,12826.813823087108
08/2016,12449.862493687278
09/2016,12503.151750092857
10/2016,12364.340579216025
11/2016,12780.221502357268
12/2016,13085.973730031084
01/2017,13282.041696556931
02/2017,13797.37315650213
03/2017,13963.588613604312
04/2017,13912.850890281474
05/2017,14121.443798494072
06/2017,13915.267828033704
07/2017,13957.490955346726
08/2017,14039.715765716885
09/2017,14418.904353280144
10/2017,15291.211420639956
11/2017,15295.719305190738
12/2017,15154.696288146812
01/2018,15763.197660292628
02/2018,15813.037471487689
03/2018,15160.832755238567
04/2018,15620.177802171944
05/2018,16582.313549915452
06/2018,16577.993797984996
07/2018,16830.484662237563
08/2018,17714.526077778846
09/2018,17998.18404950269
10/2018,16586.73632131395
11/2018,16759.433492010638
12/2018,15396.319855193504
01/2019,16321.550559200785
02/2019,17024.718878913092
03/2019,17741.637940238346
04/2019,18335.89824103611
05/2019,17773.249330976952
06/2019,18513.376623012435
07/2019,19079.893377697692
08/2019,19287.61269127369
09/2019,19385.69601437506
10/2019,19155.37769394597
11/2019,19957.819533900085
12/2019,19986.25252419832
01/2020,20845.860846459072
02/2020,19477.687395825666
03/2020,17516.87681278314
04/2020,19449.466000391854
05/2020,20084.34531708013
06/2020,20892.725699047805
07/2020,21060.085736023124
08/2020,22507.56616345431
09/2020,22209.67364651008
10/2020,21435.33915758551
11/2020,22992.46184537868
12/2020,23410.201997989072
01/2021,23860.342828461384
02/2021,23732.66677804979
03/2021,24590.276986988552
04/2021,25480.382881703863
05/2021,24961.30129560426
06/2021,25913.485091309456
07/2021,26319.14474525182
08/2021,27281.45554794966
09/2021,26841.806323861623
10/2021,28692.36563405032
11/2021,28497.763942320253
12/2021,29005.69402445547
01/2022,27163.684722084246
02/2022,26469.64514030932
03/2022,27886.093017000792
04/2022,26033.471152884027
05/2022,25566.4376012403
06/2022,24386.700597461226
07/2022,25921.23990153895
08/2022,25752.84444314926
09/2022,24475.24360486582
10/2022,26456.963892613618
11/2022,26619.803532399354
12/2022,25256.9382503011
01/2023,25129.61407330655
02/2023,24802.837556497347
03/2023,24426.447813977775
04/2023,24882.18233025319
05/2023,24330.240542639494
06/2023,25457.18406994564
07/2023,25698.382628411968
08/2023,25726.0700195663
09/2023,25302.434506170317
10/2023,24785.46648663547
11/2023,26312.837537373773
12/2023,27176.781577690876
01/2024,29253.17145180479
02/2024,31921.77948317378
03/2024,33344.60106620307
04/2024,32257.77265905498
05/2024,33655.930798740694
06/2024,35338.034352707546
07/2024,34519.195327477806
08/2024,34522.87462251091
09/2024,34776.4366323182
10/2024,35353.02175736369
11/2024,37916.49654927906
