Date,Close
11/1994,10000
12/1994,10194.060000000001
01/1995,10163.458364771219
02/1995,10611.823825803198
03/1995,10740.734090496171
04/1995,11002.978536204891
05/1995,11236.497870808915
06/1995,11693.32208408035
07/1995,12306.713151664797
08/1995,12580.785834897197
09/1995,12757.974671353088
10/1995,12211.153168269402
11/1995,12691.273568133924
12/1995,12939.081401481404
01/1996,12966.149909972255
02/1996,13275.621997677126
03/1996,13666.509629394357
04/1996,14274.609251472462
05/1996,14749.8135916168
06/1996,14378.946885641879
07/1996,13381.91312808848
08/1996,14086.509348064885
09/1996,14576.541025839948
10/1996,14505.4228043684
11/1996,15150.12677532332
12/1996,15453.154024614754
01/1997,15837.776543651462
02/1997,15711.987819879965
03/1997,15114.74246229515
04/1997,15148.593247499122
05/1997,16662.50703619533
06/1997,17713.05272175421
07/1997,18659.955774119524
08/1997,19099.292202144814
09/1997,20555.029490949433
10/1997,19833.876627613496
11/1997,19815.80124303633
12/1997,20103.33188282399
01/1998,19829.09189534202
02/1998,21306.106623111886
03/1998,22245.498616032404
04/1998,22484.63582489102
05/1998,21467.554879137577
06/1998,21252.98717461877
07/1998,19687.697200555445
08/1998,16188.264246400353
09/1998,16981.425142126132
10/1998,17652.47098080089
11/1998,18525.551373997405
12/1998,19267.721100430594
01/1999,19309.467373366973
02/1999,17709.608479305563
03/1999,17712.804254443712
04/1999,19449.886130769264
05/1999,19874.61950165262
06/1999,20702.88819029281
07/1999,20300.25803796322
08/1999,19450.414319714622
09/1999,19109.49339522934
10/1999,18788.073730403925
11/1999,19429.292075488163
12/1999,20346.18509619728
01/2000,19607.80649536086
02/2000,20068.769496118275
03/2000,20920.528921941932
04/2000,20233.833331369595
05/2000,19667.32175067742
06/2000,20196.69891876977
07/2000,20516.27901288423
08/2000,21704.979613225456
09/2000,21332.818386522304
10/2000,20892.0754089263
11/2000,20039.856443000528
12/2000,21882.522217390993
01/2001,24179.08092689182
02/2001,23217.894519685637
03/2001,22354.661322618616
04/2001,23764.484883184647
05/2001,24873.93796926495
06/2001,25548.704237999544
07/2001,25206.433258308138
08/2001,24863.754496678765
09/2001,21526.121592993084
10/2001,22423.60595755687
11/2001,24222.20138942204
12/2001,27370.206451448572
01/2002,27533.939805856604
02/2002,27563.160089245514
03/2002,30129.968166348903
04/2002,30891.240577320423
05/2002,29924.142357982913
06/2002,28010.219726559568
07/2002,24142.533891398998
08/2002,24172.3217537127
09/2002,22052.09625010573
10/2002,22538.832476688152
11/2002,24435.747079845874
12/2002,23416.674409605926
01/2003,22879.34749365619
02/2003,22089.6711659268
03/2003,22396.79739161817
04/2003,25380.825345280537
05/2003,28005.839486530745
06/2003,28627.865134339692
07/2003,29665.070861564975
08/2003,31004.3485690778
09/2003,30649.316071561207
10/2003,33106.9299847575
11/2003,34402.00062096027
12/2003,35856.48849389095
01/2004,36942.12456253296
02/2004,37728.970483624216
03/2004,38079.245840762596
04/2004,36398.47063409947
05/2004,37005.809848670455
06/2004,38479.7427316058
07/2004,36827.72005878492
08/2004,36848.48026861417
09/2004,38025.84142887118
10/2004,38676.45318522844
11/2004,41910.23751081627
12/2004,43491.91710669664
