Date,Close
11/1994,10000
12/1994,10402.599244598383
01/1995,10159.350026665606
02/1995,10491.396490910955
03/1995,10206.122116559749
04/1995,10255.2308567314
05/1995,10634.731513572004
06/1995,10974.73081765116
07/1995,11416.17852843066
08/1995,12023.853849983585
09/1995,12349.67049755639
10/1995,11636.419136924684
11/1995,12120.083260281384
12/1995,12552.478862563006
01/1996,12731.494284693275
02/1996,13110.287910280318
03/1996,13487.69389319845
04/1996,14207.984052446714
05/1996,14859.102304257138
06/1996,14373.122896554238
07/1996,13173.18378690531
08/1996,13741.04604970627
09/1996,14342.330663737504
10/1996,14316.764626013195
11/1996,14761.12008160502
12/1996,15389.68774005128
01/1997,16201.838924420908
02/1997,16773.615142484035
03/1997,16323.364373237408
04/1997,16448.950419056036
05/1997,18037.40868343398
06/1997,19390.116817827562
07/1997,20995.143327736932
08/1997,22102.56095917733
09/1997,23163.190890471822
10/1997,21944.74519521565
11/1997,21473.427713460573
12/1997,22372.933606615756
01/1998,22575.445703609203
02/1998,24203.572073594423
03/1998,25363.87457217643
04/1998,25462.87497744751
05/1998,23940.702936350524
06/1998,23873.583214937153
07/1998,22167.619598039462
08/1998,18153.03471430533
09/1998,18153.875850891094
10/1998,18173.952575238207
11/1998,19624.845554093503
12/1998,20280.807012510722
01/1999,20989.074745765538
02/1999,19889.68406554345
03/1999,20404.529603280633
04/1999,22712.23512138802
05/1999,23521.25058632037
06/1999,24805.223461337973
07/1999,23490.15546134256
08/1999,22764.411066474117
09/1999,22172.42257518515
10/1999,22241.718181428245
11/1999,23811.964398464894
12/1999,25062.301187364676
01/2000,24781.976968666397
02/2000,25565.686978748327
03/2000,27100.00870440384
04/2000,27561.019853250284
05/2000,26161.435396749577
06/2000,26154.157925678894
07/2000,27467.911283729267
08/2000,30159.24224694593
09/2000,30119.086709522384
10/2000,30716.670733236686
11/2000,28557.559182598583
12/2000,29101.822288016247
01/2001,32197.574898323386
02/2001,31068.11261645203
03/2001,31322.323067632344
04/2001,33132.60119608452
05/2001,36299.257716705724
06/2001,37283.96366546229
07/2001,35628.761595306554
08/2001,33597.4629642673
09/2001,29173.47949888594
10/2001,30689.000917506713
11/2001,33687.17632255573
12/2001,38432.49873058755
01/2002,39450.44557770404
02/2002,39428.38543974158
03/2002,42739.40538413044
04/2002,42437.421140054765
05/2002,39448.654124831824
06/2002,34748.306384407406
07/2002,30538.187106375633
08/2002,30420.351541414835
09/2002,27676.077550806935
10/2002,28275.47330691059
11/2002,30460.602635494095
12/2002,27631.117505556755
01/2003,26175.679833157206
02/2003,25351.945407726693
03/2003,25437.76389250254
04/2003,28215.628448965213
05/2003,29313.63675378581
06/2003,31000.7603350162
07/2003,32433.387461424754
08/2003,35110.89228244109
09/2003,32548.66820794257
10/2003,35249.35782818709
11/2003,35491.918909291366
12/2003,35129.23620525194
01/2004,36911.97470345551
02/2004,37594.937040787496
03/2004,38546.30386017342
04/2004,37699.41313571459
05/2004,37539.575511654664
06/2004,39172.892269996846
07/2004,37852.44551972805
08/2004,37648.56715027203
09/2004,37918.2542880165
10/2004,37573.61287014885
11/2004,39005.949637869526
12/2004,39509.00282039105
01/2005,40044.201177509545
02/2005,40306.690850740066
03/2005,40559.472090055366
04/2005,38790.423255840215
05/2005,43437.45084124562
06/2005,45764.259660626056
07/2005,48267.14537825666
08/2005,46971.225283330474
09/2005,47325.743253458524
10/2005,45628.26653766744
11/2005,48446.408475889744
12/2005,48296.89415560525
01/2006,49922.7630748858
02/2006,50664.61614238788
03/2006,51335.02057439364
04/2006,49958.4431661469
05/2006,46861.75718191643
06/2006,47287.585079149205
07/2006,45909.98674517945
08/2006,46514.5427534925
09/2006,47798.52990120301
10/2006,49910.42960046453
11/2006,49639.23889390936
12/2006,50051.94620011846
01/2007,52333.690846396305
02/2007,51494.55277516078
03/2007,51580.253334388326
04/2007,51968.32879969494
05/2007,54928.33654122829
06/2007,53480.572427894935
07/2007,48967.01685574836
08/2007,49036.82121108588
09/2007,47784.38046187494
10/2007,47554.42325175369
11/2007,43357.14722086793
12/2007,42862.87907275724
01/2008,41077.72661731709
02/2008,38482.16666212784
03/2008,36553.54730990258
04/2008,38974.852689040126
05/2008,40537.16159255105
06/2008,35063.48100009915
07/2008,36280.14380915903
08/2008,40396.76777288546
09/2008,37837.94573544876
10/2008,33110.48319364874
11/2008,30121.550891607323
12/2008,29430.941380375723
01/2009,28317.88509186222
02/2009,24586.587828350992
03/2009,26597.023483323745
04/2009,34318.05880516296
05/2009,35349.60752997947
06/2009,35164.71157817706
07/2009,39176.2148959666
08/2009,41767.39259804075
09/2009,43572.7196750264
10/2009,40008.7126203017
11/2009,40888.22813611525
12/2009,45944.85134192654
01/2010,46213.720127805405
02/2010,49913.77894554866
03/2010,54339.35405993504
04/2010,58434.970236828594
05/2010,57875.806999261855
06/2010,53331.58335491205
07/2010,54044.03826852746
08/2010,51675.35561081119
09/2010,53556.988372823726
10/2010,54835.31229151736
11/2010,60317.93314768175
12/2010,63574.22180040572
01/2011,62671.956686078
02/2011,65071.27196405206
03/2011,64390.947582064255
04/2011,62840.076473385416
05/2011,63663.39412030738
06/2011,61995.80743688926
07/2011,60540.29140420016
08/2011,54560.765011049865
09/2011,51700.371166789126
10/2011,57232.335576576486
11/2011,59593.884691501946
12/2011,62067.47736975368
01/2012,65118.28013209987
02/2012,66060.84237065726
03/2012,67611.9998840124
04/2012,67518.72712523561
05/2012,66713.6353651753
06/2012,68218.98977797231
07/2012,68834.61995695731
08/2012,69593.6838696039
09/2012,69947.4984807934
10/2012,69121.29031119934
11/2012,70220.36820747597
12/2012,71516.59389694862
01/2013,74653.49899971284
02/2013,77773.2830313692
03/2013,83803.8648897059
04/2013,82363.2478361526
05/2013,86404.45188016098
06/2013,84871.27155364897
07/2013,89336.29058751496
08/2013,86472.88770005517
09/2013,89543.66065780731
10/2013,92003.10583956563
11/2013,95237.38497980859
12/2013,96111.45690014603
01/2014,94957.67302430997
02/2014,97370.72466608151
03/2014,98578.6994491529
