Date,Close
11/1994,10000
12/1994,10299.431555335645
01/1995,10029.265514674376
02/1995,10017.859314005253
03/1995,9868.283290165984
04/1995,9829.93191431559
05/1995,10214.412746527356
06/1995,10223.56618110505
07/1995,10456.143816911655
08/1995,10370.281305864466
09/1995,10713.276845565219
10/1995,10331.217055789586
11/1995,10089.071829495359
12/1995,10426.368717697636
01/1996,10591.112095525228
02/1996,11108.736560547164
03/1996,11317.772452629757
04/1996,11525.759983293108
05/1996,11947.332507418843
06/1996,11860.589938108453
07/1996,11473.560290425115
08/1996,11566.647901109534
09/1996,11561.349225173797
10/1996,11862.631738198414
11/1996,12069.893896132719
12/1996,12692.004824979498
01/1997,13267.652647985931
02/1997,13983.692287575743
03/1997,14493.4156942681
04/1997,14190.943335136704
05/1997,14658.511323566485
06/1997,15051.823381749671
07/1997,15449.321260270164
08/1997,15939.362796252313
09/1997,16404.729646688356
10/1997,16034.349064835671
11/1997,15417.941545766527
12/1997,15875.961573867187
01/1998,16712.10523269978
02/1998,17925.31941265716
03/1998,19694.86279817244
04/1998,20220.585900654212
05/1998,20755.86551524951
06/1998,20102.023333359488
07/1998,19892.19289374091
08/1998,17542.94534767011
09/1998,15886.182255904101
10/1998,15674.936849596756
11/1998,16470.577390374292
12/1998,16537.705686948753
01/1999,16754.938491562545
02/1999,17237.671426353234
03/1999,17968.590781330407
04/1999,19100.453904678
05/1999,19144.813786839273
06/1999,19558.59182898675
07/1999,19507.525746936557
08/1999,19984.41546706747
09/1999,19636.43127932623
10/1999,19702.12578476994
11/1999,20318.655248137544
12/1999,21584.9618903295
01/2000,21940.528369504205
02/2000,22680.49765224079
03/2000,23005.725882558272
04/2000,22892.107924120854
05/2000,22428.064033223578
06/2000,22689.176111259978
07/2000,23199.770020402855
08/2000,24077.183511869276
09/2000,23961.521922929278
10/2000,23871.719109445185
11/2000,23196.80909217306
12/2000,23192.448467767183
01/2001,24073.274251367824
02/2001,23849.685594747672
03/2001,23032.371525922958
04/2001,24005.09500117733
05/2001,25045.352878070447
06/2001,24001.403635828996
07/2001,23261.573716901235
08/2001,22498.22867389103
09/2001,19440.47287327301
10/2001,20344.487318901512
11/2001,21792.00868018261
12/2001,22408.607120012406
01/2002,22581.37312813251
02/2002,22932.401053993355
03/2002,24102.32737207795
04/2002,24401.85931611934
05/2002,24120.70896349236
06/2002,21762.679302705008
07/2002,19832.303825999497
08/2002,19432.901013538434
09/2002,17035.113398897047
10/2002,17687.09434125574
11/2002,18615.325824506905
12/2002,17379.622914024007
01/2003,16503.81205067461
02/2003,15696.265924204028
03/2003,15390.933769120293
04/2003,17308.24187889967
05/2003,18364.807190242256
06/2003,19449.155528689756
07/2003,20660.178764008895
08/2003,22206.27622799526
09/2003,21708.736491571202
10/2003,23529.930669380108
11/2003,23552.588315013574
12/2003,23660.343887024694
01/2004,25482.828305760493
02/2004,26736.678857469804
03/2004,26686.653268884358
04/2004,26764.445692064466
05/2004,26243.682823227402
06/2004,27194.975278712314
07/2004,26493.10364153093
08/2004,26353.727331962866
09/2004,27010.720730147288
10/2004,27155.337941333135
11/2004,28569.59372339318
12/2004,29636.2472900744
01/2005,31508.649136341537
02/2005,32782.927539966826
03/2005,32475.910326500292
04/2005,31151.259084359433
05/2005,33082.27883027553
06/2005,34453.26955703004
07/2005,36062.10957321307
08/2005,36805.25152474159
09/2005,38113.562334057766
10/2005,36275.98941911765
11/2005,38222.576255734115
12/2005,40194.52115551585
01/2006,42689.70853863643
02/2006,44832.978890447754
03/2006,46335.89049349759
04/2006,47382.30688324963
